county_fips,county_name,year,heatwave_events_started,heatwave_days,first_event_start_date,last_event_end_date,longest_event_duration_days,event_durations,event_ids
48303,Lubbock,2017,24,73,2017-01-09,2017-12-21,8,"2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,8",LUBBOCK_2017_001;LUBBOCK_2017_002;LUBBOCK_2017_003;LUBBOCK_2017_004;LUBBOCK_2017_005;LUBBOCK_2017_006;LUBBOCK_2017_007;LUBBOCK_2017_008;LUBBOCK_2017_009;LUBBOCK_2017_010;LUBBOCK_2017_011;LUBBOCK_2017_012;LUBBOCK_2017_013;LUBBOCK_2017_014;LUBBOCK_2017_015;LUBBOCK_2017_016;LUBBOCK_2017_017;LUBBOCK_2017_018;LUBBOCK_2017_019;LUBBOCK_2017_020;LUBBOCK_2017_021;LUBBOCK_2017_022;LUBBOCK_2017_023;LUBBOCK_2017_024
48303,Lubbock,2018,16,51,2018-01-09,2018-11-06,8,"2,2,2,2,2,2,2,2,2,3,3,4,5,5,5,8",LUBBOCK_2018_001;LUBBOCK_2018_002;LUBBOCK_2018_003;LUBBOCK_2018_004;LUBBOCK_2018_005;LUBBOCK_2018_006;LUBBOCK_2018_007;LUBBOCK_2018_008;LUBBOCK_2018_009;LUBBOCK_2018_010;LUBBOCK_2018_011;LUBBOCK_2018_012;LUBBOCK_2018_013;LUBBOCK_2018_014;LUBBOCK_2018_015;LUBBOCK_2018_016
48303,Lubbock,2019,19,59,2019-01-06,2019-12-25,8,"2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,5,7,8",LUBBOCK_2019_001;LUBBOCK_2019_002;LUBBOCK_2019_003;LUBBOCK_2019_004;LUBBOCK_2019_005;LUBBOCK_2019_006;LUBBOCK_2019_007;LUBBOCK_2019_008;LUBBOCK_2019_009;LUBBOCK_2019_010;LUBBOCK_2019_011;LUBBOCK_2019_012;LUBBOCK_2019_013;LUBBOCK_2019_014;LUBBOCK_2019_015;LUBBOCK_2019_016;LUBBOCK_2019_017;LUBBOCK_2019_018;LUBBOCK_2019_019
48303,Lubbock,2020,17,53,2020-01-13,2020-12-10,7,"2,2,2,2,2,2,2,2,3,3,3,3,3,3,5,7,7",LUBBOCK_2020_001;LUBBOCK_2020_002;LUBBOCK_2020_003;LUBBOCK_2020_004;LUBBOCK_2020_005;LUBBOCK_2020_006;LUBBOCK_2020_007;LUBBOCK_2020_008;LUBBOCK_2020_009;LUBBOCK_2020_010;LUBBOCK_2020_011;LUBBOCK_2020_012;LUBBOCK_2020_013;LUBBOCK_2020_014;LUBBOCK_2020_015;LUBBOCK_2020_016;LUBBOCK_2020_017
48303,Lubbock,2021,18,55,2021-02-02,2021-12-29,7,"2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,7",LUBBOCK_2021_001;LUBBOCK_2021_002;LUBBOCK_2021_003;LUBBOCK_2021_004;LUBBOCK_2021_005;LUBBOCK_2021_006;LUBBOCK_2021_007;LUBBOCK_2021_008;LUBBOCK_2021_009;LUBBOCK_2021_010;LUBBOCK_2021_011;LUBBOCK_2021_012;LUBBOCK_2021_013;LUBBOCK_2021_014;LUBBOCK_2021_015;LUBBOCK_2021_016;LUBBOCK_2021_017;LUBBOCK_2021_018
48303,Lubbock,2022,20,62,2022-02-15,2023-01-02,7,"2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,7",LUBBOCK_2022_001;LUBBOCK_2022_002;LUBBOCK_2022_003;LUBBOCK_2022_004;LUBBOCK_2022_005;LUBBOCK_2022_006;LUBBOCK_2022_007;LUBBOCK_2022_008;LUBBOCK_2022_009;LUBBOCK_2022_010;LUBBOCK_2022_011;LUBBOCK_2022_012;LUBBOCK_2022_013;LUBBOCK_2022_014;LUBBOCK_2022_015;LUBBOCK_2022_016;LUBBOCK_2022_017;LUBBOCK_2022_018;LUBBOCK_2022_019;LUBBOCK_2022_020
48303,Lubbock,2023,21,77,2023-01-09,2023-12-23,10,"2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,5,6,6,10",LUBBOCK_2023_001;LUBBOCK_2023_002;LUBBOCK_2023_003;LUBBOCK_2023_004;LUBBOCK_2023_005;LUBBOCK_2023_006;LUBBOCK_2023_007;LUBBOCK_2023_008;LUBBOCK_2023_009;LUBBOCK_2023_010;LUBBOCK_2023_011;LUBBOCK_2023_012;LUBBOCK_2023_013;LUBBOCK_2023_014;LUBBOCK_2023_015;LUBBOCK_2023_016;LUBBOCK_2023_017;LUBBOCK_2023_018;LUBBOCK_2023_019;LUBBOCK_2023_020;LUBBOCK_2023_021
48303,Lubbock,2024,24,81,2024-01-31,2024-12-30,9,"2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,5,6,6,6,9",LUBBOCK_2024_001;LUBBOCK_2024_002;LUBBOCK_2024_003;LUBBOCK_2024_004;LUBBOCK_2024_005;LUBBOCK_2024_006;LUBBOCK_2024_007;LUBBOCK_2024_008;LUBBOCK_2024_009;LUBBOCK_2024_010;LUBBOCK_2024_011;LUBBOCK_2024_012;LUBBOCK_2024_013;LUBBOCK_2024_014;LUBBOCK_2024_015;LUBBOCK_2024_016;LUBBOCK_2024_017;LUBBOCK_2024_018;LUBBOCK_2024_019;LUBBOCK_2024_020;LUBBOCK_2024_021;LUBBOCK_2024_022;LUBBOCK_2024_023;LUBBOCK_2024_024
48303,Lubbock,2025,25,87,2025-02-02,2025-12-27,7,"2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,5,6,6,6,6,7",LUBBOCK_2025_001;LUBBOCK_2025_002;LUBBOCK_2025_003;LUBBOCK_2025_004;LUBBOCK_2025_005;LUBBOCK_2025_006;LUBBOCK_2025_007;LUBBOCK_2025_008;LUBBOCK_2025_009;LUBBOCK_2025_010;LUBBOCK_2025_011;LUBBOCK_2025_012;LUBBOCK_2025_013;LUBBOCK_2025_014;LUBBOCK_2025_015;LUBBOCK_2025_016;LUBBOCK_2025_017;LUBBOCK_2025_018;LUBBOCK_2025_019;LUBBOCK_2025_020;LUBBOCK_2025_021;LUBBOCK_2025_022;LUBBOCK_2025_023;LUBBOCK_2025_024;LUBBOCK_2025_025
48453,Travis (Austin),2015,5,15,2015-01-27,2015-12-12,4,"2,3,3,3,4",TRAVIS_2015_001;TRAVIS_2015_002;TRAVIS_2015_003;TRAVIS_2015_004;TRAVIS_2015_005
