county_fips,county_name,calendar_month,analysis_year,threshold_value_f,n_reference_values,window_method,definition_id,percentile,reference_method
48061,Cameron (Brownsville),8,2025,99.40435675988367,1426,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),9,2025,95.29708157718056,1380,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),10,2025,87.92397191630275,1426,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),11,2025,77.91336472695001,1380,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),12,2025,72.93470939291072,1426,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,1,2015,47.8508396989375,1116,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,2,2015,53.81856376345,1017,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,3,2015,61.2679856633125,1116,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,4,2015,68.702878173,1080,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,5,2015,77.411336232625,1116,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,6,2015,83.87902660542139,1080,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,7,2015,85.62433333830842,1116,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,8,2015,84.4162129072323,1116,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,9,2015,79.70421619869043,1080,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,10,2015,70.15078654199999,1116,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,11,2015,57.32051014245,1080,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,12,2015,48.20237396025,1116,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,1,2016,47.82148392775001,1147,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,2,2016,53.8180619013,1045,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,3,2016,61.234134673975,1147,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,4,2016,68.578700498825,1110,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,5,2016,77.30078985745,1147,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,6,2016,83.82220710058373,1110,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,7,2016,85.59569838251699,1147,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,8,2016,84.36659296711007,1147,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,9,2016,79.64198155639998,1110,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,10,2016,70.12485265635001,1147,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,11,2016,57.239663122775,1110,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,12,2016,48.20804053045,1147,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48141,El Paso,1,2017,47.7718094254,1178,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
