county_fips,county_name,analysis_days,temp_imputed_days,pct_analysis_days_imputed,native_analysis_days,fully_imputed_county
48223,Hopkins,4018,1,0.0,4017,False
48217,Hill,4018,0,0.0,4018,False
48189,Hale,4018,0,0.0,4018,False
48203,Harrison,4018,0,0.0,4018,False
48201,Harris,4018,0,0.0,4018,False
48191,Hall,4018,0,0.0,4018,False
48205,Hartley,4018,1,0.0,4017,False
48213,Henderson,4018,0,0.0,4018,False
48215,Hidalgo,4018,0,0.0,4018,False
48219,Hockley,4018,0,0.0,4018,False
48187,Guadalupe,4018,0,0.0,4018,False
48153,Floyd,4018,1,0.0,4017,False
48171,Gillespie,4018,0,0.0,4018,False
48167,Galveston,4018,0,0.0,4018,False
48279,Lamb,4018,0,0.0,4018,False
48253,Jones,4018,0,0.0,4018,False
48263,Kent,4018,0,0.0,4018,False
48265,Kerr,4018,0,0.0,4018,False
48267,Kimble,4018,0,0.0,4018,False
48297,Live Oak,4018,0,0.0,4018,False
48273,Kleberg,4018,0,0.0,4018,False
48291,Liberty,4018,2,0.0,4016,False
48269,King,4018,0,0.0,4018,False
48299,Llano,4018,0,0.0,4018,False
48303,Lubbock,4018,0,0.0,4018,False
48305,Lynn,4018,0,0.0,4018,False
48309,McLennan,4018,0,0.0,4018,False
48375,Potter,4018,0,0.0,4018,False
48371,Pecos,4018,0,0.0,4018,False
48369,Parmer,4018,0,0.0,4018,False
48359,Oldham,4018,0,0.0,4018,False
48355,Nueces,4018,0,0.0,4018,False
48349,Navarro,4018,0,0.0,4018,False
48339,Montgomery,4018,0,0.0,4018,False
48345,Motley,4018,0,0.0,4018,False
48329,Midland,4018,0,0.0,4018,False
48337,Montague,4018,1,0.0,4017,False
48319,Mason,4018,1,0.0,4017,False
48321,Matagorda,4018,0,0.0,4018,False
48423,Smith,4018,0,0.0,4018,False
48401,Rusk,4018,0,0.0,4018,False
48437,Swisher,4018,0,0.0,4018,False
48433,Stonewall,4018,0,0.0,4018,False
48441,Taylor,4018,0,0.0,4018,False
48439,Tarrant,4018,0,0.0,4018,False
48465,Val Verde,4018,0,0.0,4018,False
48445,Terry,4018,0,0.0,4018,False
48451,Tom Green,4018,0,0.0,4018,False
48453,Travis,4018,0,0.0,4018,False
48457,Tyler,4018,0,0.0,4018,False
48459,Upshur,4018,0,0.0,4018,False
