run_id,county_fips,ehf_assessment_period_start,ehf_assessment_period_end,event_duration_days,event_id,onset_year,seq,event_definition_type
181.0,48007,2023-06-13,2023-06-13,1,48_007_2023_001_EHF_TX_WALKFORWARD,2023,1,positive_ehf_assessment_period
182.0,48007,2023-06-15,2023-07-05,21,48_007_2023_002_EHF_TX_WALKFORWARD,2023,2,positive_ehf_assessment_period
183.0,48007,2023-07-10,2023-07-28,19,48_007_2023_003_EHF_TX_WALKFORWARD,2023,3,positive_ehf_assessment_period
184.0,48007,2023-08-01,2023-08-22,22,48_007_2023_004_EHF_TX_WALKFORWARD,2023,4,positive_ehf_assessment_period
185.0,48007,2023-08-26,2023-08-31,6,48_007_2023_005_EHF_TX_WALKFORWARD,2023,5,positive_ehf_assessment_period
186.0,48007,2023-09-05,2023-09-15,11,48_007_2023_006_EHF_TX_WALKFORWARD,2023,6,positive_ehf_assessment_period
187.0,48007,2023-09-22,2023-09-26,5,48_007_2023_007_EHF_TX_WALKFORWARD,2023,7,positive_ehf_assessment_period
188.0,48007,2024-05-23,2024-05-30,8,48_007_2024_001_EHF_TX_WALKFORWARD,2024,1,positive_ehf_assessment_period
189.0,48007,2024-06-03,2024-06-05,3,48_007_2024_002_EHF_TX_WALKFORWARD,2024,2,positive_ehf_assessment_period
190.0,48007,2024-06-10,2024-06-18,9,48_007_2024_003_EHF_TX_WALKFORWARD,2024,3,positive_ehf_assessment_period
191.0,48007,2024-06-26,2024-07-07,12,48_007_2024_004_EHF_TX_WALKFORWARD,2024,4,positive_ehf_assessment_period
192.0,48007,2024-07-09,2024-07-10,2,48_007_2024_005_EHF_TX_WALKFORWARD,2024,5,positive_ehf_assessment_period
193.0,48007,2024-07-17,2024-07-19,3,48_007_2024_006_EHF_TX_WALKFORWARD,2024,6,positive_ehf_assessment_period
194.0,48007,2024-07-31,2024-08-02,3,48_007_2024_007_EHF_TX_WALKFORWARD,2024,7,positive_ehf_assessment_period
195.0,48007,2024-08-08,2024-08-25,18,48_007_2024_008_EHF_TX_WALKFORWARD,2024,8,positive_ehf_assessment_period
196.0,48007,2024-09-20,2024-09-23,4,48_007_2024_009_EHF_TX_WALKFORWARD,2024,9,positive_ehf_assessment_period
197.0,48007,2025-06-05,2025-06-10,6,48_007_2025_001_EHF_TX_WALKFORWARD,2025,1,positive_ehf_assessment_period
198.0,48007,2025-06-20,2025-06-20,1,48_007_2025_002_EHF_TX_WALKFORWARD,2025,2,positive_ehf_assessment_period
199.0,48007,2025-07-05,2025-07-06,2,48_007_2025_003_EHF_TX_WALKFORWARD,2025,3,positive_ehf_assessment_period
200.0,48007,2025-07-09,2025-07-09,1,48_007_2025_004_EHF_TX_WALKFORWARD,2025,4,positive_ehf_assessment_period
201.0,48007,2025-07-12,2025-07-16,5,48_007_2025_005_EHF_TX_WALKFORWARD,2025,5,positive_ehf_assessment_period
202.0,48007,2025-07-20,2025-07-24,5,48_007_2025_006_EHF_TX_WALKFORWARD,2025,6,positive_ehf_assessment_period
203.0,48007,2025-08-03,2025-08-03,1,48_007_2025_007_EHF_TX_WALKFORWARD,2025,7,positive_ehf_assessment_period
204.0,48007,2025-08-08,2025-08-09,2,48_007_2025_008_EHF_TX_WALKFORWARD,2025,8,positive_ehf_assessment_period
205.0,48007,2025-08-14,2025-08-18,5,48_007_2025_009_EHF_TX_WALKFORWARD,2025,9,positive_ehf_assessment_period
206.0,48007,2025-08-29,2025-09-01,4,48_007_2025_010_EHF_TX_WALKFORWARD,2025,10,positive_ehf_assessment_period
207.0,48007,2025-09-06,2025-09-06,1,48_007_2025_011_EHF_TX_WALKFORWARD,2025,11,positive_ehf_assessment_period
208.0,48007,2025-09-24,2025-09-24,1,48_007_2025_012_EHF_TX_WALKFORWARD,2025,12,positive_ehf_assessment_period
