county_fips,year,month,classified_assessment_dates
48065,2025,6,1
48065,2025,7,3
48065,2025,8,9
48067,2015,7,13
48067,2015,8,8
48067,2016,7,12
48067,2016,8,6
48067,2017,7,5
48067,2018,6,2
48067,2018,7,11
48067,2018,8,5
48067,2019,8,14
48067,2019,9,3
48067,2020,7,2
48067,2021,7,1
48067,2021,8,3
48067,2022,6,4
48067,2022,7,24
48067,2022,8,11
48067,2023,6,1
48067,2023,7,10
48067,2023,8,24
48067,2023,9,3
48067,2024,6,2
48067,2024,7,3
48067,2024,8,5
48067,2025,7,4
48067,2025,8,7
48069,2015,8,2
48069,2016,6,4
48069,2016,7,14
48069,2017,6,6
48069,2017,7,4
48069,2018,6,3
48069,2018,7,7
48069,2018,8,2
48069,2019,7,5
48069,2019,8,17
48069,2020,6,6
48069,2020,7,14
48069,2020,8,11
48069,2021,6,7
48069,2022,6,9
48069,2022,7,29
48069,2022,8,7
48069,2023,6,6
48069,2023,7,15
48069,2023,8,21
48069,2024,6,10
48069,2024,7,9
48069,2024,8,22
48069,2025,6,5
48069,2025,7,4
48069,2025,8,5
48071,2015,7,8
48071,2015,8,10
48071,2016,7,3
48071,2016,8,10
48071,2016,9,1
48071,2017,7,1
48071,2017,8,8
48071,2018,7,5
48071,2018,8,3
48071,2018,9,1
48071,2019,6,1
48071,2019,7,1
48071,2019,8,13
48071,2019,9,1
48071,2020,7,3
48071,2020,8,5
48071,2020,9,3
48071,2021,6,2
48071,2021,7,1
48071,2021,8,4
48071,2022,6,4
48071,2022,7,5
48071,2023,6,4
48071,2023,7,22
48071,2023,8,30
48071,2023,9,8
48071,2024,6,3
48071,2024,7,7
48071,2024,8,21
48071,2025,7,2
48071,2025,8,3
48073,2015,7,7
48073,2015,8,7
48073,2016,7,12
48073,2016,8,12
48073,2018,7,14
48073,2018,8,8
48073,2019,8,8
48073,2020,8,4
48073,2022,6,6
48073,2022,7,19
48073,2022,8,11
48073,2023,7,12
48073,2023,8,27
48073,2023,9,4
48073,2024,7,3
48073,2024,8,5
48073,2025,8,5
48075,2015,7,5
48075,2015,8,5
48075,2016,7,7
48075,2016,8,5
48075,2017,7,7
48075,2018,6,2
48075,2018,7,8
48075,2018,8,6
48075,2018,9,1
48075,2019,7,5
48075,2019,8,15
48075,2020,6,2
48075,2020,7,15
48075,2020,8,9
48075,2021,6,1
48075,2021,8,5
48075,2021,9,3
48075,2022,5,2
48075,2022,6,12
48075,2022,7,28
48075,2022,8,13
48075,2023,6,3
48075,2023,7,12
48075,2023,8,22
48075,2023,9,3
48075,2024,6,7
48075,2024,7,10
48075,2024,8,23
48075,2024,9,2
48075,2025,7,5
48075,2025,8,4
48077,2015,8,7
48077,2016,7,3
48077,2016,8,12
48077,2017,7,5
48077,2018,6,3
48077,2018,7,11
48077,2018,8,4
48077,2019,8,12
48077,2020,7,7
48077,2020,8,11
48077,2022,6,7
48077,2022,7,26
48077,2022,8,10
48077,2023,6,7
48077,2023,7,16
48077,2023,8,26
48077,2023,9,6
48077,2024,6,4
48077,2024,7,5
48077,2024,8,19
48077,2025,8,1
48079,2015,7,4
48079,2015,8,3
48079,2016,6,6
48079,2016,7,20
48079,2016,8,3
48079,2017,6,11
48079,2017,7,4
48079,2018,6,11
48079,2018,7,9
48079,2019,7,5
48079,2019,8,16
48079,2020,6,5
48079,2020,7,17
48079,2020,8,12
48079,2021,6,8
48079,2021,8,4
48079,2022,6,8
48079,2022,7,29
48079,2022,8,9
48079,2023,6,9
48079,2023,7,19
48079,2023,8,21
48079,2023,9,2
48079,2024,6,10
48079,2024,7,9
48079,2024,8,21
48079,2025,5,1
48079,2025,8,5
48081,2015,8,9
48081,2016,7,7
48081,2016,8,9
48081,2018,6,7
48081,2019,8,7
48081,2020,7,6
48081,2020,8,8
48081,2020,9,1
48081,2022,5,2
48081,2022,6,1
48081,2022,7,23
48081,2022,8,7
48081,2023,6,11
48081,2023,7,6
48081,2023,8,20
48081,2023,9,3
48081,2024,6,5
48081,2024,7,7
48081,2024,8,20
48083,2015,7,10
48083,2015,8,12
48083,2015,9,3
48083,2016,7,21
48083,2016,8,13
48083,2017,6,3
48083,2017,7,8
48083,2018,5,4
48083,2018,6,12
48083,2018,7,24
48083,2018,8,14
48083,2019,7,5
48083,2019,8,23
48083,2020,7,18
48083,2020,8,16
48083,2020,9,2
48083,2021,7,2
48083,2021,8,4
48083,2022,5,5
48083,2022,6,13
48083,2022,7,27
48083,2022,8,12
48083,2023,6,11
48083,2023,7,22
48083,2023,8,28
48083,2023,9,9
48083,2024,6,4
48083,2024,7,6
48083,2024,8,23
48083,2025,8,1
48085,2015,7,10
48085,2015,8,8
48085,2015,9,2
48085,2016,7,5
48085,2016,8,11
48085,2017,7,5
48085,2018,6,3
48085,2018,7,18
48085,2018,8,1
48085,2019,7,3
48085,2019,8,16
48085,2020,7,7
48085,2020,8,12
48085,2021,7,3
48085,2021,8,2
48085,2021,9,2
48085,2022,6,8
48085,2022,7,28
48085,2022,8,16
48085,2023,6,5
48085,2023,7,15
48085,2023,8,27
48085,2023,9,5
48085,2024,6,6
48085,2024,7,9
48085,2024,8,24
48085,2025,7,8
48085,2025,8,11
48087,2015,7,1
48087,2015,8,4
48087,2015,9,1
48087,2016,7,6
48087,2016,8,7
48087,2017,6,1
48087,2017,7,14
48087,2018,7,6
48087,2019,7,3
48087,2019,8,10
48087,2020,7,11
48087,2020,8,6
48087,2022,6,4
48087,2022,7,20
48087,2022,8,7
48087,2023,6,2
48087,2023,7,12
48087,2023,8,17
48087,2024,6,4
48087,2024,7,7
48087,2024,8,18
48087,2025,8,2
48089,2015,7,14
48089,2015,8,15
48089,2016,7,17
48089,2016,8,13
48089,2016,9,1
48089,2017,7,11
48089,2017,8,13
48089,2018,6,5
48089,2018,7,11
48089,2018,8,15
48089,2019,6,2
48089,2019,7,8
48089,2019,8,21
48089,2020,7,10
48089,2020,8,9
48089,2020,9,4
48089,2022,6,20
48089,2022,7,27
48089,2022,8,15
48089,2023,6,16
48089,2023,7,27
48089,2023,8,31
48089,2023,9,14
48089,2024,6,4
48089,2024,7,6
48089,2024,8,19
48089,2024,9,1
48089,2025,8,7
48091,2015,8,10
48091,2015,9,4
48091,2016,7,18
48091,2016,8,5
48091,2017,6,2
48091,2017,7,20
48091,2017,8,12
48091,2018,6,14
48091,2018,7,18
48091,2018,8,18
48091,2019,7,3
48091,2019,8,28
48091,2019,9,4
48091,2020,7,16
48091,2020,8,17
48091,2020,9,3
48091,2022,6,13
48091,2022,7,29
48091,2022,8,13
48091,2023,6,12
48091,2023,7,25
48091,2023,8,31
48091,2023,9,15
48091,2024,5,1
48091,2024,6,5
48091,2024,7,6
48091,2024,8,18
48091,2024,9,1
48091,2025,8,12
48093,2015,7,2
48093,2015,8,9
48093,2015,9,1
48093,2016,7,17
48093,2016,8,13
48093,2017,7,7
48093,2017,8,5
48093,2018,6,9
48093,2018,7,21
48093,2018,8,3
48093,2019,7,3
48093,2019,8,20
48093,2020,7,13
48093,2020,8,15
48093,2020,9,1
48093,2021,7,4
48093,2021,8,6
48093,2022,5,6
48093,2022,6,18
48093,2022,7,30
48093,2022,8,13
48093,2022,9,1
48093,2023,6,15
48093,2023,7,29
48093,2023,8,29
48093,2023,9,14
48093,2024,6,6
48093,2024,7,12
48093,2024,8,26
48093,2025,8,9
48093,2025,9,1
48095,2015,7,3
48095,2015,8,5
48095,2016,7,11
48095,2016,8,8
48095,2017,6,2
48095,2017,7,4
48095,2018,6,6
48095,2018,7,22
48095,2019,8,17
48095,2020,7,13
48095,2020,8,14
48095,2020,9,2
48095,2022,5,3
48095,2022,6,8
48095,2022,7,20
48095,2022,8,10
48095,2023,6,12
48095,2023,7,17
48095,2023,8,24
48095,2023,9,6
48095,2024,6,4
48095,2024,7,5
48095,2024,8,18
48097,2015,8,7
48097,2016,8,8
48097,2017,7,2
48097,2018,6,2
48097,2018,7,11
48097,2019,8,11
48097,2020,7,2
48097,2020,8,3
48097,2022,6,3
48097,2022,7,26
48097,2022,8,9
48097,2023,6,4
48097,2023,7,11
48097,2023,8,24
48097,2023,9,4
48097,2024,7,4
48097,2024,8,17
48097,2025,7,1
48097,2025,8,2
48099,2015,7,10
48099,2015,8,19
48099,2015,9,3
48099,2016,7,20
48099,2016,8,14
48099,2017,6,5
48099,2017,7,19
48099,2017,8,11
48099,2018,6,10
48099,2018,7,24
48099,2018,8,17
48099,2019,7,3
48099,2019,8,21
48099,2020,7,14
48099,2020,8,17
48099,2020,9,1
48099,2021,8,1
48099,2022,6,17
