county_fips,year,classified_assessment_dates
48239,2022,54
48239,2023,85
48239,2024,31
48239,2025,10
48241,2015,33
48241,2016,42
48241,2017,19
48241,2018,16
48241,2019,19
48241,2020,23
48241,2021,5
48241,2022,59
48241,2023,76
48241,2024,26
48241,2025,4
48243,2015,26
48243,2016,36
48243,2017,18
48243,2018,46
48243,2019,36
48243,2020,55
48243,2021,18
48243,2022,34
48243,2023,62
48243,2024,48
48243,2025,19
48245,2015,27
48245,2016,37
48245,2017,17
48245,2018,28
48245,2019,34
48245,2020,21
48245,2021,22
48245,2022,39
48245,2023,74
48245,2024,36
48245,2025,5
48247,2015,5
48247,2016,22
48247,2017,11
48247,2018,7
48247,2019,21
48247,2020,17
48247,2022,28
48247,2023,67
48247,2024,19
48247,2025,2
48249,2015,6
48249,2016,23
48249,2017,19
48249,2018,3
48249,2019,36
48249,2020,18
48249,2022,24
48249,2023,64
48249,2024,21
48249,2025,8
48251,2015,9
48251,2016,10
48251,2017,2
48251,2018,23
48251,2019,12
48251,2020,12
48251,2022,48
48251,2023,51
48251,2024,13
48253,2015,7
48253,2016,12
48253,2017,7
48253,2018,18
48253,2019,15
48253,2020,20
48253,2021,1
48253,2022,43
48253,2023,51
48253,2024,35
48255,2015,12
48255,2016,22
48255,2017,14
48255,2018,14
48255,2019,21
48255,2020,24
48255,2022,40
48255,2023,78
48255,2024,19
48255,2025,9
48257,2015,15
48257,2016,18
48257,2017,2
48257,2018,31
48257,2019,20
48257,2020,10
48257,2022,51
48257,2023,40
48257,2024,18
48257,2025,2
48259,2015,19
48259,2016,26
48259,2017,20
48259,2018,65
48259,2019,63
48259,2020,30
48259,2021,16
48259,2022,90
48259,2023,101
48259,2024,49
48259,2025,30
48261,2015,9
48261,2016,24
48261,2017,22
48261,2018,28
48261,2019,40
48261,2020,27
48261,2021,10
48261,2022,28
48261,2023,72
48261,2024,32
48261,2025,19
48263,2015,20
48263,2016,28
48263,2017,21
48263,2018,41
48263,2019,33
48263,2020,31
48263,2021,5
48263,2022,65
48263,2023,56
48263,2024,45
48263,2025,14
48265,2015,17
48265,2016,26
48265,2017,9
48265,2018,33
48265,2019,28
48265,2020,32
48265,2022,50
48265,2023,76
48265,2024,35
48265,2025,3
48267,2015,24
48267,2016,41
48267,2017,24
