county_fips,county_name,climate_division,climdiv_id,temperature_imputation_pct,fully_imputed_county,data_complete,report_card
48089,Colorado,South Central,4107,0.0,False,True,county_profiles/48089/fig08_report_card_48089.png
48091,Comal,South Central,4107,7.8,False,True,county_profiles/48091/fig08_report_card_48091.png
48123,DeWitt,South Central,4107,1.4,False,True,county_profiles/48123/fig08_report_card_48123.png
48149,Fayette,South Central,4107,0.6,False,True,county_profiles/48149/fig08_report_card_48149.png
48175,Goliad,South Central,4107,0.7,False,True,county_profiles/48175/fig08_report_card_48175.png
48177,Gonzales,South Central,4107,0.0,False,True,county_profiles/48177/fig08_report_card_48177.png
48187,Guadalupe,South Central,4107,0.0,False,True,county_profiles/48187/fig08_report_card_48187.png
48209,Hays,South Central,4107,0.7,False,True,county_profiles/48209/fig08_report_card_48209.png
48255,Karnes,South Central,4107,100.0,True,False,county_profiles/48255/fig08_report_card_48255.png
48273,Kleberg,South Central,4107,0.0,False,True,county_profiles/48273/fig08_report_card_48273.png
48285,Lavaca,South Central,4107,0.8,False,True,county_profiles/48285/fig08_report_card_48285.png
48287,Lee,South Central,4107,2.2,False,True,county_profiles/48287/fig08_report_card_48287.png
48325,Medina,South Central,4107,0.5,False,True,county_profiles/48325/fig08_report_card_48325.png
48355,Nueces,South Central,4107,0.0,False,True,county_profiles/48355/fig08_report_card_48355.png
48391,Refugio,South Central,4107,3.6,False,True,county_profiles/48391/fig08_report_card_48391.png
48409,San Patricio,South Central,4107,6.4,False,True,county_profiles/48409/fig08_report_card_48409.png
48453,Travis,South Central,4107,0.0,False,True,county_profiles/48453/fig08_report_card_48453.png
48477,Washington,South Central,4107,0.3,False,True,county_profiles/48477/fig08_report_card_48477.png
48493,Wilson,South Central,4107,61.7,False,False,county_profiles/48493/fig08_report_card_48493.png
48039,Brazoria,Upper Coast,4108,0.0,False,True,county_profiles/48039/fig08_report_card_48039.png
48057,Calhoun,Upper Coast,4108,0.1,False,True,county_profiles/48057/fig08_report_card_48057.png
48071,Chambers,Upper Coast,4108,0.3,False,True,county_profiles/48071/fig08_report_card_48071.png
48157,Fort Bend,Upper Coast,4108,0.2,False,True,county_profiles/48157/fig08_report_card_48157.png
48167,Galveston,Upper Coast,4108,0.0,False,True,county_profiles/48167/fig08_report_card_48167.png
48201,Harris,Upper Coast,4108,0.0,False,True,county_profiles/48201/fig08_report_card_48201.png
48239,Jackson,Upper Coast,4108,100.0,True,False,county_profiles/48239/fig08_report_card_48239.png
48245,Jefferson,Upper Coast,4108,0.0,False,True,county_profiles/48245/fig08_report_card_48245.png
48291,Liberty,Upper Coast,4108,0.0,False,True,county_profiles/48291/fig08_report_card_48291.png
48321,Matagorda,Upper Coast,4108,0.0,False,True,county_profiles/48321/fig08_report_card_48321.png
48361,Orange,Upper Coast,4108,2.5,False,True,county_profiles/48361/fig08_report_card_48361.png
48469,Victoria,Upper Coast,4108,0.0,False,True,county_profiles/48469/fig08_report_card_48469.png
48481,Wharton,Upper Coast,4108,0.0,False,True,county_profiles/48481/fig08_report_card_48481.png
48013,Atascosa,South Texas,4109,0.0,False,True,county_profiles/48013/fig08_report_card_48013.png
48047,Brooks,South Texas,4109,70.2,False,False,county_profiles/48047/fig08_report_card_48047.png
48127,Dimmit,South Texas,4109,1.6,False,True,county_profiles/48127/fig08_report_card_48127.png
48131,Duval,South Texas,4109,0.7,False,True,county_profiles/48131/fig08_report_card_48131.png
48163,Frio,South Texas,4109,48.8,False,False,county_profiles/48163/fig08_report_card_48163.png
48247,Jim Hogg,South Texas,4109,100.0,True,False,county_profiles/48247/fig08_report_card_48247.png
48249,Jim Wells,South Texas,4109,0.0,False,True,county_profiles/48249/fig08_report_card_48249.png
48261,Kenedy,South Texas,4109,33.0,False,False,county_profiles/48261/fig08_report_card_48261.png
48283,La Salle,South Texas,4109,0.7,False,True,county_profiles/48283/fig08_report_card_48283.png
48297,Live Oak,South Texas,4109,0.0,False,True,county_profiles/48297/fig08_report_card_48297.png
48323,Maverick,South Texas,4109,72.4,False,False,county_profiles/48323/fig08_report_card_48323.png
48311,McMullen,South Texas,4109,0.1,False,True,county_profiles/48311/fig08_report_card_48311.png
48427,Starr,South Texas,4109,2.1,False,True,county_profiles/48427/fig08_report_card_48427.png
48479,Webb,South Texas,4109,0.0,False,True,county_profiles/48479/fig08_report_card_48479.png
48505,Zapata,South Texas,4109,78.0,False,False,county_profiles/48505/fig08_report_card_48505.png
48507,Zavala,South Texas,4109,100.0,True,False,county_profiles/48507/fig08_report_card_48507.png
48061,Cameron,Lower Valley,4110,0.0,False,True,county_profiles/48061/fig08_report_card_48061.png
48215,Hidalgo,Lower Valley,4110,0.0,False,True,county_profiles/48215/fig08_report_card_48215.png
48489,Willacy,Lower Valley,4110,30.0,False,False,county_profiles/48489/fig08_report_card_48489.png
