stratum,stratum_label,construct_id,counties,median_annual_classified_days,p25_annual_classified_days,p75_annual_classified_days,median_annual_event_count,median_cumulative_classified_days,classified_days_per_1000_valid,warm_season_rate_per_1000,shoulder_rate_per_1000,cool_season_rate_per_1000,pct_days_june_september,long_events_per_100_county_years,pct_classified_days_imputed
any_observed,Counties with any observed temperature,REL_TX_P85_D5_W15,232,20.0,12.0,35.0,3.0,272.5,72.733,110.145,90.005,41.646,50.58,16.967,8.47
any_observed,Counties with any observed temperature,REL_TX_P90_D2_W15,232,33.0,24.0,49.0,10.0,403.0,106.711,120.433,118.718,93.368,37.69,8.19,7.68
any_observed,Counties with any observed temperature,REL_TX_P90_D3_W15,232,23.0,15.0,36.0,5.0,297.0,79.231,101.277,92.413,59.884,42.69,8.19,7.81
any_observed,Counties with any observed temperature,REL_TX_P90_D5_W15,232,11.0,5.0,21.0,2.0,162.0,44.158,67.97,54.037,24.753,51.41,8.19,7.86
imputation_lt_20pct,Counties with less than 20% imputation,ABS_TX_A80_D2,197,184.0,168.0,206.0,14.0,2040.0,517.766,967.137,694.858,154.761,62.39,201.984,1.64
imputation_lt_20pct,Counties with less than 20% imputation,ABS_TX_A80_D3,197,177.0,160.0,199.0,10.0,1941.0,497.101,964.732,668.465,123.765,64.82,201.984,1.65
imputation_lt_20pct,Counties with less than 20% imputation,ABS_TX_A80_D5,197,164.0,149.0,186.0,6.0,1815.0,462.502,959.705,602.944,79.841,69.31,201.984,1.66
imputation_lt_20pct,Counties with less than 20% imputation,ABS_TX_A90_D2,197,99.0,83.0,115.0,10.0,1092.0,273.514,714.344,177.658,9.613,87.23,170.374,1.66
imputation_lt_20pct,Counties with less than 20% imputation,ABS_TX_A90_D3,197,94.0,78.0,111.0,8.0,1043.0,260.039,695.099,149.687,4.979,89.28,170.374,1.68
imputation_lt_20pct,Counties with less than 20% imputation,ABS_TX_A90_D5,197,87.0,69.0,105.0,5.0,962.0,238.202,652.61,112.427,2.317,91.51,170.374,1.7
imputation_lt_20pct,Counties with less than 20% imputation,HYB_TX_P80_D2_A80_W15,197,53.0,35.0,78.0,14.0,608.0,161.373,233.321,228.278,90.067,48.29,27.78,1.29
imputation_lt_20pct,Counties with less than 20% imputation,HYB_TX_P80_D2_A90_W15,197,33.0,17.0,54.0,8.0,412.0,103.952,232.005,132.106,8.141,74.54,25.381,1.14
imputation_lt_20pct,Counties with less than 20% imputation,HYB_TX_P80_D3_A80_W15,197,41.0,24.0,65.0,8.0,492.0,130.84,206.851,190.452,59.295,52.8,27.78,1.29
imputation_lt_20pct,Counties with less than 20% imputation,HYB_TX_P80_D3_A90_W15,197,27.0,12.0,46.0,5.0,345.0,88.464,205.64,105.951,3.62,77.64,25.381,1.16
imputation_lt_20pct,Counties with less than 20% imputation,HYB_TX_P80_D5_A80_W15,197,25.0,12.0,44.0,3.0,323.0,87.436,156.782,131.064,25.844,59.89,27.78,1.19
imputation_lt_20pct,Counties with less than 20% imputation,HYB_TX_P80_D5_A90_W15,197,17.0,5.0,34.0,2.0,243.0,64.884,155.897,72.011,1.194,80.25,25.381,1.02
imputation_lt_20pct,Counties with less than 20% imputation,HYB_TX_P85_D2_A80_W15,197,40.0,25.0,62.0,11.0,482.0,127.077,180.135,176.601,74.429,47.35,18.182,1.23
imputation_lt_20pct,Counties with less than 20% imputation,HYB_TX_P85_D2_A90_W15,197,24.0,12.0,44.0,6.0,323.0,82.853,179.73,112.955,7.357,72.45,17.12,1.04
imputation_lt_20pct,Counties with less than 20% imputation,HYB_TX_P85_D3_A80_W15,197,29.0,17.0,50.0,6.0,376.0,99.49,155.832,143.114,46.65,52.31,18.182,1.25
imputation_lt_20pct,Counties with less than 20% imputation,HYB_TX_P85_D3_A90_W15,197,19.0,7.0,37.0,4.0,262.0,68.542,155.496,88.684,3.131,75.77,17.12,1.05
imputation_lt_20pct,Counties with less than 20% imputation,HYB_TX_P85_D5_A80_W15,197,16.0,7.0,31.0,2.0,234.0,62.999,113.43,91.996,19.141,60.14,18.182,1.12
imputation_lt_20pct,Counties with less than 20% imputation,HYB_TX_P85_D5_A90_W15,197,11.0,0.0,25.0,2.0,181.0,47.938,113.207,57.051,0.894,78.87,17.12,0.92
