construct_id,construct_family,month,season,classified_days,valid_daily_observations,counties,classified_days_per_1000_valid,month_name,short_label,percentile,duration_days,absolute_gate_f,threshold_window,day_label,denominator_definition
HYB_TX_P90_D2_A90_W15,hybrid,9,warm,9352,83820,254,111.572,Sep,TX-P90-D2+A90,90.0,2,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A90_W15,hybrid,10,shoulder,6729,86614,254,77.69,Oct,TX-P90-D2+A90,90.0,2,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A90_W15,hybrid,11,cool,336,83820,254,4.009,Nov,TX-P90-D2+A90,90.0,2,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A90_W15,hybrid,12,cool,11,86614,254,0.127,Dec,TX-P90-D2+A90,90.0,2,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A80_W15,hybrid,1,cool,410,86614,254,4.734,Jan,TX-P90-D3+A80,90.0,3,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A80_W15,hybrid,2,cool,2367,78994,254,29.964,Feb,TX-P90-D3+A80,90.0,3,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A80_W15,hybrid,3,cool,4756,86614,254,54.91,Mar,TX-P90-D3+A80,90.0,3,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A80_W15,hybrid,4,cool,1588,83820,254,18.945,Apr,TX-P90-D3+A80,90.0,3,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A80_W15,hybrid,5,shoulder,7143,86614,254,82.469,May,TX-P90-D3+A80,90.0,3,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A80_W15,hybrid,6,warm,6918,83820,254,82.534,Jun,TX-P90-D3+A80,90.0,3,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A80_W15,hybrid,7,warm,9144,86614,254,105.572,Jul,TX-P90-D3+A80,90.0,3,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A80_W15,hybrid,8,warm,10820,86614,254,124.922,Aug,TX-P90-D3+A80,90.0,3,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D3_A80_W15,hybrid,9,warm,7452,83820,254,88.905,Sep,TX-P90-D3+A80,90.0,3,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
