construct_id,construct_family,short_label,reader_name,legacy_definition_id,percentile,duration_days,absolute_gate_f,threshold_window,day_label,median_annual_classified_days,p25_annual_classified_days,p75_annual_classified_days,median_annual_event_count,p25_annual_event_count,p75_annual_event_count,max_annual_event_count,median_cumulative_classified_days_per_county,counties_with_any_classified_day,median_event_duration_days,p75_event_duration_days,max_event_duration_days,pct_days_june_september,pct_days_may_and_october,pct_days_november_april,peak_month,classified_days_per_1000_valid,valid_daily_observations,pct_classified_days_imputed,classified_county_dates_QA,events_QA
HYB_TX_P80_D5_A90_W15,hybrid,TX-P80-D5+A90,"County-specific 80th-percentile Tmax event with a 90 degF absolute gate, minimum duration five days",TMAX_P80_5D_F90,80.0,5,90.0,w15,hybrid heat-event day,16.0,5.0,34.0,2.0,1.0,4.0,12,238.5,254,7.0,11.0,69,80.34,18.92,0.74,Aug,63.665,1020572,16.69,64975,7239
HYB_TX_P85_D2_A90_W15,hybrid,TX-P85-D2+A90,"County-specific 85th-percentile Tmax event with a 90 degF absolute gate, minimum duration two days",TMAX_P85_2D_F90,85.0,2,90.0,w15,hybrid heat-event day,23.0,11.0,42.0,6.0,3.0,9.0,25,315.5,254,3.0,5.0,66,72.64,23.29,4.07,Aug,80.302,1020572,15.3,81954,18569
HYB_TX_P85_D3_A90_W15,hybrid,TX-P85-D3+A90,"County-specific 85th-percentile Tmax event with a 90 degF absolute gate, minimum duration three days",TMAX_P85_3D_F90,85.0,3,90.0,w15,hybrid heat-event day,18.0,7.0,36.0,4.0,2.0,6.0,17,255.0,254,4.0,7.0,66,75.77,22.24,1.99,Aug,66.674,1020572,15.83,68046,11615
HYB_TX_P85_D5_A90_W15,hybrid,TX-P85-D5+A90,"County-specific 85th-percentile Tmax event with a 90 degF absolute gate, minimum duration five days",TMAX_P85_5D_F90,85.0,5,90.0,w15,hybrid heat-event day,11.0,0.0,24.0,2.0,0.0,3.0,9,174.0,254,7.0,10.0,66,78.77,20.48,0.75,Aug,46.549,1020572,15.96,47507,5526
HYB_TX_P90_D2_A90_W15,hybrid,TX-P90-D2+A90,"County-specific 90th-percentile Tmax event with a 90 degF absolute gate, minimum duration two days",TMAX_P90_2D_F90,90.0,2,90.0,w15,hybrid heat-event day,14.0,6.0,29.0,4.0,2.0,8.0,20,218.0,254,3.0,5.0,47,70.26,25.0,4.74,Aug,56.786,1020572,14.38,57954,14366
HYB_TX_P90_D3_A90_W15,hybrid,TX-P90-D3+A90,"County-specific 90th-percentile Tmax event with a 90 degF absolute gate, minimum duration three days",TMAX_P90_3D_F90,90.0,3,90.0,w15,hybrid heat-event day,11.0,3.0,23.75,2.0,1.0,5.0,16,168.0,254,4.0,6.0,47,73.86,23.85,2.3,Aug,45.512,1020572,14.94,46448,8613
HYB_TX_P90_D5_A90_W15,hybrid,TX-P90-D5+A90,"County-specific 90th-percentile Tmax event with a 90 degF absolute gate, minimum duration five days",TMAX_P90_5D_F90,90.0,5,90.0,w15,hybrid heat-event day,5.0,0.0,15.0,1.0,0.0,2.0,9,105.5,253,6.0,9.0,47,77.27,21.91,0.82,Aug,29.336,1020572,15.32,29939,3723
ABS_TX_A80_D2,absolute,TX->80-D2,Daily maximum temperature above 80 degF for at least two consecutive days,TMAX_ABS80_2D,,2,80.0,none,absolute hot-spell day,184.0,168.0,205.75,13.0,11.0,16.0,25,2040.0,254,4.0,8.0,243,62.48,22.8,14.71,Jul,518.036,1020572,17.89,528693,37261
ABS_TX_A80_D3,absolute,TX->80-D3,Daily maximum temperature above 80 degF for at least three consecutive days,TMAX_ABS80_3D,,3,80.0,none,absolute hot-spell day,177.0,160.25,198.75,10.0,8.0,11.0,19,1958.5,254,6.0,12.0,243,64.85,22.84,12.31,Jul,497.975,1020572,18.05,508219,27024
ABS_TX_A80_D5,absolute,TX->80-D5,Daily maximum temperature above 80 degF for at least five consecutive days,TMAX_ABS80_5D,,5,80.0,none,absolute hot-spell day,165.0,149.25,186.0,6.0,5.0,7.0,14,1825.0,254,10.0,23.0,243,69.27,22.18,8.54,Jul,463.894,1020572,18.23,473437,16744
ABS_TX_A90_D2,absolute,TX->90-D2,Daily maximum temperature above 90 degF for at least two consecutive days,TMAX_ABS90_2D,,2,90.0,none,absolute hot-spell day,100.0,84.0,115.0,10.0,8.0,12.0,23,1104.0,254,5.0,11.0,148,87.58,10.88,1.54,Jul,274.974,1020572,18.48,280631,27360
ABS_TX_A90_D3,absolute,TX->90-D3,Daily maximum temperature above 90 degF for at least three consecutive days,TMAX_ABS90_3D,,3,90.0,none,absolute hot-spell day,96.0,79.0,111.0,7.0,6.0,9.0,15,1066.0,254,7.0,14.0,148,89.51,9.69,0.8,Jul,262.383,1020572,18.84,267781,20935
ABS_TX_A90_D5,absolute,TX->90-D5,Daily maximum temperature above 90 degF for at least five consecutive days,TMAX_ABS90_5D,,5,90.0,none,absolute hot-spell day,88.0,70.0,106.0,5.0,4.0,6.0,13,977.5,254,11.0,19.0,148,91.7,7.92,0.38,Jul,241.181,1020572,19.19,246143,14619
