county_fips,relative_construct,hybrid_construct,label,percentile,duration_days,absolute_gate_f,cumulative_classified_days_no_gate,cumulative_classified_days_with_gate,cumulative_events_no_gate,classified_days_lost,pct_retained,county_name,pct_analysis_days_imputed,fully_imputed_county,analysis_days,native_analysis_days
48191,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,799,593,247,206,74.22,Hall,0.0,False,4018,4018
48193,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,884,682,202,202,77.15,Hamilton,61.0,False,4018,1569
48195,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,794,554,253,240,69.77,Hansford,0.2,False,4018,4011
48197,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,756,477,212,279,63.1,Hardeman,100.0,True,4018,0
48199,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1075,815,250,260,75.81,Hardin,1.3,False,4018,3965
48201,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1228,1036,267,192,84.36,Harris,0.0,False,4018,4018
48203,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,909,608,216,301,66.89,Harrison,0.0,False,4018,4018
48205,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1016,627,277,389,61.71,Hartley,0.0,False,4018,4017
48207,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,743,578,213,165,77.79,Haskell,11.8,False,4018,3543
48209,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,827,644,194,183,77.87,Hays,0.7,False,4018,3988
48211,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,732,454,209,278,62.02,Hemphill,100.0,True,4018,0
48213,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,740,506,173,234,68.38,Henderson,0.0,False,4018,4018
48215,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1200,1198,242,2,99.83,Hidalgo,0.0,False,4018,4018
48217,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,897,650,192,247,72.46,Hill,0.0,False,4018,4018
48219,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,573,390,194,183,68.06,Hockley,0.0,False,4018,4018
48221,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,919,689,214,230,74.97,Hood,0.5,False,4018,3998
48223,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,685,438,183,247,63.94,Hopkins,0.0,False,4018,4017
48225,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,798,555,185,243,69.55,Houston,0.1,False,4018,4013
48227,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,767,599,214,168,78.1,Howard,0.7,False,4018,3991
48229,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1350,987,319,363,73.11,Hudspeth,0.1,False,4018,4013
48231,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,884,555,219,329,62.78,Hunt,0.0,False,4018,4018
48233,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1035,689,283,346,66.57,Hutchinson,0.0,False,4018,4018
48235,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,927,722,236,205,77.89,Irion,22.7,False,4018,3104
48237,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,667,494,193,173,74.06,Jack,6.3,False,4018,3763
48239,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1060,817,199,243,77.08,Jackson,100.0,True,4018,0
48241,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,815,578,209,237,70.92,Jasper,5.7,False,4018,3790
48243,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1089,720,259,369,66.12,Jeff Davis,0.0,False,4018,4018
48245,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,970,646,203,324,66.6,Jefferson,0.0,False,4018,4018
48247,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,555,526,134,29,94.77,Jim Hogg,100.0,True,4018,0
48249,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,932,871,206,61,93.45,Jim Wells,0.0,False,4018,4018
48251,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,598,399,146,199,66.72,Johnson,0.1,False,4018,4015
48253,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,755,576,208,179,76.29,Jones,0.0,False,4018,4018
48255,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,730,604,147,126,82.74,Karnes,100.0,True,4018,0
48257,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,744,489,199,255,65.73,Kaufman,0.6,False,4018,3993
48259,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1221,963,242,258,78.87,Kendall,0.8,False,4018,3984
48261,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,1218,1153,266,65,94.66,Kenedy,33.0,False,4018,2693
48263,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,987,785,265,202,79.53,Kent,0.0,False,4018,4018
48265,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,906,647,197,259,71.41,Kerr,0.0,False,4018,4018
48267,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,982,799,212,183,81.36,Kimble,0.0,False,4018,4018
