county_fips,county_name,climate_division,year,valid_days_full_year,valid_days_in_junsep,candidate_exceedance_days,heatwave_days_full_year,heatwave_days_in_junsep,heatwave_days_flagged_suspicious,number_of_events,pct_full_year_days_classified,pct_junsep_days_classified,pct_valid_days_heatwave_PRIMARY,primary_denominator_basis,pct_candidate_removed_by_persistence,mean_event_duration,max_event_duration,mean_event_peak_hi_proxy,annual_peak_hi_proxy,annual_cumulative_exceedance,first_event_start,last_event_end,first_to_last_event_span_days,n_events_reaching_hi100,n_events_reaching_hi103,definition_id,construct_label,metric,reference_method,season,floor_variable,floor_value,minimum_duration,comparison_operator
48303,Lubbock,High Plains (4101),2018,365,122,12,9,9,0,4,2.47,7.38,7.38,in_season_junsep,25.0,2.25,3,96.94,97.95,8.45,2018-06-05,2018-08-28,85,0,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2019,365,122,21,19,19,0,6,5.21,15.57,15.57,in_season_junsep,9.52,3.17,6,96.85,102.56,47.01,2019-07-18,2019-09-27,72,2,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2020,366,122,19,14,14,0,3,3.83,11.48,11.48,in_season_junsep,26.32,4.67,7,98.72,101.73,37.99,2020-07-08,2020-09-26,81,2,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2021,365,122,15,11,11,0,3,3.01,9.02,9.02,in_season_junsep,26.67,3.67,7,97.89,102.55,25.18,2021-06-07,2021-09-20,106,1,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2022,365,122,16,11,11,0,4,3.01,9.02,9.02,in_season_junsep,31.25,2.75,3,96.68,99.09,14.73,2022-06-10,2022-09-18,101,0,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2023,365,122,44,39,39,0,12,10.68,31.97,31.97,in_season_junsep,11.36,3.25,6,97.9,105.37,102.45,2023-06-19,2023-09-29,103,3,1,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2024,366,122,28,24,24,0,8,6.56,19.67,19.67,in_season_junsep,14.29,3.0,6,98.5,100.7,58.73,2024-06-06,2024-09-20,107,3,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48303,Lubbock,High Plains (4101),2025,365,122,16,11,11,0,5,3.01,9.02,9.02,in_season_junsep,31.25,2.2,3,98.05,100.28,23.1,2025-06-16,2025-09-22,99,1,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2015,365,122,8,2,2,0,1,0.55,1.64,1.64,in_season_junsep,75.0,2.0,2,101.36,101.36,1.22,2015-06-12,2015-06-13,2,1,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2016,366,122,23,20,20,0,4,5.46,16.39,16.39,in_season_junsep,13.04,5.0,7,103.03,104.82,33.52,2016-06-12,2016-09-23,104,4,2,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2017,365,122,15,11,11,0,5,3.01,9.02,9.02,in_season_junsep,26.67,2.2,3,103.95,106.53,12.64,2017-07-02,2017-09-21,82,4,4,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2018,365,122,13,10,10,0,3,2.74,8.2,8.2,in_season_junsep,23.08,3.33,5,103.73,105.56,5.85,2018-06-23,2018-08-29,68,3,2,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2019,365,122,23,19,19,0,4,5.21,15.57,15.57,in_season_junsep,17.39,4.75,12,103.85,106.75,45.15,2019-08-17,2019-09-30,45,4,2,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2020,366,122,11,7,7,0,2,1.91,5.74,5.74,in_season_junsep,36.36,3.5,5,107.27,108.22,23.75,2020-08-11,2020-09-01,22,2,2,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2021,365,122,21,15,15,0,5,4.11,12.3,12.3,in_season_junsep,28.57,3.0,5,103.12,105.38,27.96,2021-06-09,2021-09-20,104,5,3,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2022,365,122,46,41,41,0,10,11.23,33.61,33.61,in_season_junsep,10.87,4.1,11,104.34,108.36,65.66,2022-06-06,2022-09-20,107,9,7,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2023,365,122,47,41,41,0,8,11.23,33.61,33.61,in_season_junsep,12.77,5.12,12,105.7,109.13,105.19,2023-06-15,2023-09-25,103,8,7,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2024,366,122,20,14,14,0,3,3.83,11.48,11.48,in_season_junsep,30.0,4.67,7,105.51,109.03,30.35,2024-06-24,2024-09-21,90,3,2,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48453,Travis (Austin),South Central (4107),2025,365,122,3,2,2,0,1,0.55,1.64,1.64,in_season_junsep,33.33,2.0,2,101.13,101.13,5.29,2025-09-22,2025-09-23,2,1,0,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
