role,artifact,path,exists,size_bytes,md5,n_rows,n_cols
current_run_output,TMAX_P80_3D/county_month_summary_w15.csv,outputs\extreme_temp_tests\runs\TMAX_P80_3D\tables\county_month_summary_w15.csv,True,531766,2e76f4557d093649a676eea8228fc3fe,21439.0,8.0
current_run_output,TMAX_P80_3D/county_year_summary_month.csv,outputs\extreme_temp_tests\runs\TMAX_P80_3D\tables\county_year_summary_month.csv,True,145978,d54a62308a0f0b9bf89ca4968be60ced,2793.0,9.0
current_run_output,TMAX_P80_3D/county_year_summary_month_pm7.csv,outputs\extreme_temp_tests\runs\TMAX_P80_3D\tables\county_year_summary_month_pm7.csv,True,145704,5a94ed924a9b1b54e1cb0ccba964ee15,2793.0,9.0
current_run_output,TMAX_P80_3D/county_year_summary_w05.csv,outputs\extreme_temp_tests\runs\TMAX_P80_3D\tables\county_year_summary_w05.csv,True,146087,eb9130e3a194833b807b023fc8ac8e89,2792.0,9.0
current_run_output,TMAX_P80_3D/county_year_summary_w15.csv,outputs\extreme_temp_tests\runs\TMAX_P80_3D\tables\county_year_summary_w15.csv,True,145927,58842aa64735d4590a6da764e832990d,2791.0,9.0
current_run_output,TMAX_P80_3D/daily_heatwave_days_month.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_3D\tables\daily_heatwave_days_month.csv.gz,True,1333499,deb1da60cbf302fc794711d8835d593a,170846.0,9.0
current_run_output,TMAX_P80_3D/daily_heatwave_days_month_pm7.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_3D\tables\daily_heatwave_days_month_pm7.csv.gz,True,1264242,a7ebf882ca665bfc3d9f42de63ac3d25,162192.0,9.0
current_run_output,TMAX_P80_3D/daily_heatwave_days_w05.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_3D\tables\daily_heatwave_days_w05.csv.gz,True,1866274,4c28670916d55ab745c3da1b1c7c24f6,176247.0,9.0
current_run_output,TMAX_P80_3D/daily_heatwave_days_w15.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_3D\tables\daily_heatwave_days_w15.csv.gz,True,1768416,ee2490071ff5d88dea171bbb85ef1f71,171965.0,9.0
current_run_output,TMAX_P80_3D/heatwave_events_month.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_3D\tables\heatwave_events_month.csv.gz,True,504132,67c002f19f080401e30d15b97f04a37c,31956.0,10.0
current_run_output,TMAX_P80_3D/heatwave_events_month_pm7.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_3D\tables\heatwave_events_month_pm7.csv.gz,True,483150,f0126b27414106636fca13b78527d4b0,30604.0,10.0
current_run_output,TMAX_P80_3D/heatwave_events_w05.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_3D\tables\heatwave_events_w05.csv.gz,True,526231,917ffdf0be141b27504cbdaf34dd4604,33190.0,10.0
current_run_output,TMAX_P80_3D/heatwave_events_w15.csv.gz,outputs\extreme_temp_tests\runs\TMAX_P80_3D\tables\heatwave_events_w15.csv.gz,True,515085,c6d3702c1b17354c535e8a2d7f68e56d,32503.0,10.0
current_run_output,TMAX_P80_3D/run_summary_month.json,outputs\extreme_temp_tests\runs\TMAX_P80_3D\tables\run_summary_month.json,True,1258,485a85186a7119de2435cf3041d0a31f,,
