run_a,run_b,jaccard,n_axes_differing,axes_differing,single_axis,metric_a,metric_b,percentile_a,percentile_b,duration_a,duration_b,window_a,window_b
TMAX_P90_2D__w15,MHI_P90_2D__month_pm7,0.3417,2,metric+window,,TMAX,MHI,90,90,2,2,w15,month_pm7
TMAX_P85_2D__w15,TMAX_P95_2D__month,0.3421,2,percentile+window,,TMAX,TMAX,85,95,2,2,w15,month
TMIN_P90_2D__month_pm7,TMIN_P95_3D__month_pm7,0.3426,2,percentile+duration,,TMIN,TMIN,90,95,2,3,month_pm7,month_pm7
TMAX_P90_2D__month,MHI_P90_2D__w15,0.3446,2,metric+window,,TMAX,MHI,90,90,2,2,month,w15
TMAX_P90_3D__month_pm7,MHI_P90_3D__month,0.3459,2,metric+window,,TMAX,MHI,90,90,3,3,month_pm7,month
TMAX_P90_2D__month,MHI_P90_2D__w05,0.3463,2,metric+window,,TMAX,MHI,90,90,2,2,month,w05
TMAX_P90_2D__month,MHI_P90_3D__month,0.3467,2,metric+duration,,TMAX,MHI,90,90,2,3,month,month
TMAX_P90_2D__w05,MHI_P90_2D__month,0.3471,2,metric+window,,TMAX,MHI,90,90,2,2,w05,month
TMAX_P90_2D__w15,MHI_P90_2D__month,0.3486,2,metric+window,,TMAX,MHI,90,90,2,2,w15,month
TMAX_P90_3D__month,MHI_P90_3D__month_pm7,0.3493,2,metric+window,,TMAX,MHI,90,90,3,3,month,month_pm7
TMIN_P85_2D__month_pm7,TMIN_P95_2D__w15,0.3495,2,percentile+window,,TMIN,TMIN,85,95,2,2,month_pm7,w15
TMAX_P85_2D__month,TMAX_P95_2D__w15,0.3499,2,percentile+window,,TMAX,TMAX,85,95,2,2,month,w15
TMIN_P90_2D__w15,TMIN_P95_3D__w15,0.3501,2,percentile+duration,,TMIN,TMIN,90,95,2,3,w15,w15
TMAX_P90_3D__w05,MHI_P90_3D__w15,0.3508,2,metric+window,,TMAX,MHI,90,90,3,3,w05,w15
TMAX_P85_3D__w15,TMAX_P95_3D__w05,0.3523,2,percentile+window,,TMAX,TMAX,85,95,3,3,w15,w05
TMAX_P90_3D__w15,MHI_P90_3D__w05,0.3526,2,metric+window,,TMAX,MHI,90,90,3,3,w15,w05
TMIN_P90_2D__month,TMIN_P95_3D__month,0.3539,2,percentile+duration,,TMIN,TMIN,90,95,2,3,month,month
TMAX_P85_3D__w15,MHI_P90_3D__w15,0.3542,2,metric+percentile,,TMAX,MHI,85,90,3,3,w15,w15
TMAX_P85_3D__month_pm7,MHI_P90_3D__month_pm7,0.3548,2,metric+percentile,,TMAX,MHI,85,90,3,3,month_pm7,month_pm7
TMIN_P85_2D__month_pm7,TMIN_P95_2D__month,0.3555,2,percentile+window,,TMIN,TMIN,85,95,2,2,month_pm7,month
TMAX_P85_3D__month_pm7,TMAX_P95_3D__w05,0.3555,2,percentile+window,,TMAX,TMAX,85,95,3,3,month_pm7,w05
TMAX_P90_2D__w15,TMAX_P95_3D__w15,0.3588,2,percentile+duration,,TMAX,TMAX,90,95,2,3,w15,w15
TMAX_P90_2D__month,TMAX_P95_3D__month,0.3599,2,percentile+duration,,TMAX,TMAX,90,95,2,3,month,month
TMIN_P95_3D__w15,MHI_P90_3D__w15,0.3608,2,metric+percentile,,TMIN,MHI,95,90,3,3,w15,w15
TMIN_P95_3D__month_pm7,MHI_P90_3D__month_pm7,0.3609,2,metric+percentile,,TMIN,MHI,95,90,3,3,month_pm7,month_pm7
TMIN_P85_2D__month,TMIN_P95_2D__w05,0.3632,2,percentile+window,,TMIN,TMIN,85,95,2,2,month,w05
TMAX_P85_3D__w05,MHI_P90_3D__w05,0.3634,2,metric+percentile,,TMAX,MHI,85,90,3,3,w05,w05
TMIN_P95_3D__month,MHI_P90_3D__month,0.3643,2,metric+percentile,,TMIN,MHI,95,90,3,3,month,month
TMIN_P95_3D__w05,MHI_P90_3D__w05,0.3651,2,metric+percentile,,TMIN,MHI,95,90,3,3,w05,w05
TMIN_P90_2D__w05,TMIN_P95_3D__w05,0.3682,2,percentile+duration,,TMIN,TMIN,90,95,2,3,w05,w05
TMAX_P85_2D__month_pm7,TMAX_P95_2D__w15,0.3688,2,percentile+window,,TMAX,TMAX,85,95,2,2,month_pm7,w15
TMAX_P85_3D__month,MHI_P90_3D__month,0.3705,2,metric+percentile,,TMAX,MHI,85,90,3,3,month,month
TMIN_P85_2D__w15,TMIN_P95_2D__w05,0.3722,2,percentile+window,,TMIN,TMIN,85,95,2,2,w15,w05
TMAX_P95_2D__month_pm7,TMAX_P85_3D__month_pm7,0.3722,2,percentile+duration,,TMAX,TMAX,95,85,2,3,month_pm7,month_pm7
TMIN_P95_2D__month_pm7,TMIN_P85_3D__month_pm7,0.3727,2,percentile+duration,,TMIN,TMIN,95,85,2,3,month_pm7,month_pm7
TMAX_P85_2D__month_pm7,TMAX_P95_2D__month,0.3729,2,percentile+window,,TMAX,TMAX,85,95,2,2,month_pm7,month
TMAX_P90_3D__w05,TMAX_P95_3D__month_pm7,0.3758,2,percentile+window,,TMAX,TMAX,90,95,3,3,w05,month_pm7
TMIN_P85_2D__month_pm7,TMIN_P95_2D__w05,0.3765,2,percentile+window,,TMIN,TMIN,85,95,2,2,month_pm7,w05
TMAX_P85_2D__month,TMAX_P95_2D__w05,0.3826,2,percentile+window,,TMAX,TMAX,85,95,2,2,month,w05
TMAX_P90_2D__w05,MHI_P90_2D__w15,0.3829,2,metric+window,,TMAX,MHI,90,90,2,2,w05,w15
TMAX_P90_2D__w05,TMAX_P95_3D__w05,0.3837,2,percentile+duration,,TMAX,TMAX,90,95,2,3,w05,w05
TMAX_P90_2D__month_pm7,MHI_P90_2D__month,0.384,2,metric+window,,TMAX,MHI,90,90,2,2,month_pm7,month
TMAX_P90_2D__w15,MHI_P90_2D__w05,0.3843,2,metric+window,,TMAX,MHI,90,90,2,2,w15,w05
TMIN_P95_2D__w15,TMIN_P85_3D__w15,0.3859,2,percentile+duration,,TMIN,TMIN,95,85,2,3,w15,w15
TMIN_P95_2D__month,TMIN_P85_3D__month,0.3859,2,percentile+duration,,TMIN,TMIN,95,85,2,3,month,month
TMAX_P90_2D__month,MHI_P90_2D__month_pm7,0.3882,2,metric+window,,TMAX,MHI,90,90,2,2,month,month_pm7
TMIN_P95_2D__w15,MHI_P90_2D__w15,0.3885,2,metric+percentile,,TMIN,MHI,95,90,2,2,w15,w15
TMAX_P85_2D__w15,TMAX_P95_2D__w05,0.3908,2,percentile+window,,TMAX,TMAX,85,95,2,2,w15,w05
TMIN_P95_2D__month_pm7,MHI_P90_2D__month_pm7,0.3934,2,metric+percentile,,TMIN,MHI,95,90,2,2,month_pm7,month_pm7
TMIN_P95_2D__w05,MHI_P90_2D__w05,0.3947,2,metric+percentile,,TMIN,MHI,95,90,2,2,w05,w05
TMAX_P85_2D__w15,MHI_P90_2D__w15,0.3962,2,metric+percentile,,TMAX,MHI,85,90,2,2,w15,w15
TMAX_P85_2D__month_pm7,MHI_P90_2D__month_pm7,0.3967,2,metric+percentile,,TMAX,MHI,85,90,2,2,month_pm7,month_pm7
TMIN_P95_2D__month,MHI_P90_2D__month,0.397,2,metric+percentile,,TMIN,MHI,95,90,2,2,month,month
TMIN_P90_3D__w05,MHI_P90_3D__month_pm7,0.3973,2,metric+window,,TMIN,MHI,90,90,3,3,w05,month_pm7
TMIN_P90_3D__month_pm7,MHI_P90_3D__w05,0.3974,2,metric+window,,TMIN,MHI,90,90,3,3,month_pm7,w05
TMAX_P95_2D__month,TMAX_P85_3D__month,0.3975,2,percentile+duration,,TMAX,TMAX,95,85,2,3,month,month
TMAX_P85_2D__month_pm7,TMAX_P95_2D__w05,0.401,2,percentile+window,,TMAX,TMAX,85,95,2,2,month_pm7,w05
TMAX_P95_2D__w15,TMAX_P85_3D__w15,0.4013,2,percentile+duration,,TMAX,TMAX,95,85,2,3,w15,w15
TMIN_P90_3D__month,MHI_P90_3D__w05,0.4025,2,metric+window,,TMIN,MHI,90,90,3,3,month,w05
TMAX_P90_3D__w15,TMAX_P95_3D__month_pm7,0.4032,2,percentile+window,,TMAX,TMAX,90,95,3,3,w15,month_pm7
TMIN_P90_3D__w05,TMIN_P95_3D__month_pm7,0.4041,2,percentile+window,,TMIN,TMIN,90,95,3,3,w05,month_pm7
TMIN_P90_3D__month_pm7,MHI_P90_3D__w15,0.4048,2,metric+window,,TMIN,MHI,90,90,3,3,month_pm7,w15
TMIN_P95_2D__w05,TMIN_P85_3D__w05,0.405,2,percentile+duration,,TMIN,TMIN,95,85,2,3,w05,w05
TMAX_P85_2D__w05,MHI_P90_2D__w05,0.4054,2,metric+percentile,,TMAX,MHI,85,90,2,2,w05,w05
TMIN_P90_3D__w05,MHI_P90_3D__month,0.406,2,metric+window,,TMIN,MHI,90,90,3,3,w05,month
TMAX_P90_3D__month,TMAX_P95_3D__month_pm7,0.4083,2,percentile+window,,TMAX,TMAX,90,95,3,3,month,month_pm7
TMIN_P90_3D__w15,MHI_P90_3D__month_pm7,0.4085,2,metric+window,,TMIN,MHI,90,90,3,3,w15,month_pm7
TMIN_P90_3D__month,MHI_P90_3D__w15,0.4089,2,metric+window,,TMIN,MHI,90,90,3,3,month,w15
TMAX_P85_2D__month,MHI_P90_2D__month,0.4113,2,metric+percentile,,TMAX,MHI,85,90,2,2,month,month
TMIN_P85_3D__month_pm7,MHI_P90_3D__month_pm7,0.413,2,metric+percentile,,TMIN,MHI,85,90,3,3,month_pm7,month_pm7
TMAX_P90_2D__w05,TMAX_P95_2D__month_pm7,0.4131,2,percentile+window,,TMAX,TMAX,90,95,2,2,w05,month_pm7
TMIN_P90_3D__w15,MHI_P90_3D__month,0.4142,2,metric+window,,TMIN,MHI,90,90,3,3,w15,month
TMIN_P90_2D__w15,MHI_P90_3D__w15,0.4197,2,metric+duration,,TMIN,MHI,90,90,2,3,w15,w15
TMIN_P90_2D__month_pm7,MHI_P90_3D__month_pm7,0.4219,2,metric+duration,,TMIN,MHI,90,90,2,3,month_pm7,month_pm7
TMIN_P90_2D__w05,MHI_P90_3D__w05,0.4226,2,metric+duration,,TMIN,MHI,90,90,2,3,w05,w05
TMIN_P90_3D__month,TMIN_P95_3D__month_pm7,0.4231,2,percentile+window,,TMIN,TMIN,90,95,3,3,month,month_pm7
TMIN_P85_3D__w15,MHI_P90_3D__w15,0.4232,2,metric+percentile,,TMIN,MHI,85,90,3,3,w15,w15
TMAX_P95_2D__w05,TMAX_P85_3D__w05,0.4243,2,percentile+duration,,TMAX,TMAX,95,85,2,3,w05,w05
TMAX_P90_3D__w05,TMAX_P95_3D__month,0.4255,2,percentile+window,,TMAX,TMAX,90,95,3,3,w05,month
TMAX_P95_2D__w05,TMAX_P95_3D__month_pm7,0.4268,2,duration+window,,TMAX,TMAX,95,95,2,3,w05,month_pm7
MHI_P90_2D__w15,TMIN_P90_3D__w15,0.4277,2,metric+duration,,MHI,TMIN,90,90,2,3,w15,w15
TMIN_P85_3D__w05,MHI_P90_3D__w05,0.4279,2,metric+percentile,,TMIN,MHI,85,90,3,3,w05,w05
MHI_P90_2D__w05,TMIN_P90_3D__w05,0.4284,2,metric+duration,,MHI,TMIN,90,90,2,3,w05,w05
TMIN_P90_2D__w05,MHI_P90_2D__month_pm7,0.4302,2,metric+window,,TMIN,MHI,90,90,2,2,w05,month_pm7
TMIN_P90_3D__w15,TMIN_P95_3D__month_pm7,0.4303,2,percentile+window,,TMIN,TMIN,90,95,3,3,w15,month_pm7
TMIN_P85_3D__month,MHI_P90_3D__month,0.432,2,metric+percentile,,TMIN,MHI,85,90,3,3,month,month
TMIN_P90_2D__month_pm7,MHI_P90_2D__w05,0.4335,2,metric+window,,TMIN,MHI,90,90,2,2,month_pm7,w05
TMIN_P90_2D__month,MHI_P90_3D__month,0.4348,2,metric+duration,,TMIN,MHI,90,90,2,3,month,month
TMIN_P90_3D__w05,TMIN_P95_3D__month,0.4349,2,percentile+window,,TMIN,TMIN,90,95,3,3,w05,month
MHI_P90_2D__month_pm7,TMIN_P90_3D__month_pm7,0.4353,2,metric+duration,,MHI,TMIN,90,90,2,3,month_pm7,month_pm7
TMIN_P90_2D__w05,TMIN_P95_2D__month_pm7,0.4361,2,percentile+window,,TMIN,TMIN,90,95,2,2,w05,month_pm7
MHI_P90_2D__month,TMIN_P90_3D__month,0.4397,2,metric+duration,,MHI,TMIN,90,90,2,3,month,month
TMIN_P90_2D__w05,MHI_P90_2D__month,0.4404,2,metric+window,,TMIN,MHI,90,90,2,2,w05,month
TMAX_P90_2D__w15,TMAX_P95_2D__month_pm7,0.4405,2,percentile+window,,TMAX,TMAX,90,95,2,2,w15,month_pm7
TMIN_P90_2D__month,MHI_P90_2D__w05,0.4406,2,metric+window,,TMIN,MHI,90,90,2,2,month,w05
TMIN_P90_3D__month,TMIN_P95_3D__w15,0.441,2,percentile+window,,TMIN,TMIN,90,95,3,3,month,w15
TMIN_P90_2D__w15,MHI_P90_2D__month_pm7,0.4416,2,metric+window,,TMIN,MHI,90,90,2,2,w15,month_pm7
TMIN_P90_2D__month_pm7,MHI_P90_2D__w15,0.4418,2,metric+window,,TMIN,MHI,90,90,2,2,month_pm7,w15
TMIN_P90_3D__w05,TMIN_P95_3D__w15,0.4447,2,percentile+window,,TMIN,TMIN,90,95,3,3,w05,w15
TMAX_P90_3D__month,TMAX_P95_3D__w15,0.4459,2,percentile+window,,TMAX,TMAX,90,95,3,3,month,w15
TMIN_P90_2D__month,MHI_P90_2D__w15,0.4473,2,metric+window,,TMIN,MHI,90,90,2,2,month,w15
TMIN_P90_2D__w15,MHI_P90_2D__month,0.4486,2,metric+window,,TMIN,MHI,90,90,2,2,w15,month
TMAX_P90_2D__month,TMAX_P95_2D__month_pm7,0.4501,2,percentile+window,,TMAX,TMAX,90,95,2,2,month,month_pm7
TMAX_P90_3D__w05,TMAX_P95_3D__w15,0.4523,2,percentile+window,,TMAX,TMAX,90,95,3,3,w05,w15
TMAX_P90_3D__w15,TMAX_P95_3D__month,0.4538,2,percentile+window,,TMAX,TMAX,90,95,3,3,w15,month
TMIN_P90_3D__w15,MHI_P90_3D__w05,0.4548,2,metric+window,,TMIN,MHI,90,90,3,3,w15,w05
TMIN_P90_3D__w05,MHI_P90_3D__w15,0.4556,2,metric+window,,TMIN,MHI,90,90,3,3,w05,w15
TMIN_P85_2D__month_pm7,MHI_P90_2D__month_pm7,0.4563,2,metric+percentile,,TMIN,MHI,85,90,2,2,month_pm7,month_pm7
TMIN_P90_3D__month_pm7,TMIN_P95_3D__w15,0.457,2,percentile+window,,TMIN,TMIN,90,95,3,3,month_pm7,w15
TMIN_P95_2D__w05,TMIN_P95_3D__month_pm7,0.4611,2,duration+window,,TMIN,TMIN,95,95,2,3,w05,month_pm7
TMAX_P90_2D__w05,TMAX_P95_2D__month,0.4615,2,percentile+window,,TMAX,TMAX,90,95,2,2,w05,month
TMIN_P90_3D__month,MHI_P90_3D__month_pm7,0.4618,2,metric+window,,TMIN,MHI,90,90,3,3,month,month_pm7
TMIN_P90_3D__w15,TMIN_P95_3D__month,0.462,2,percentile+window,,TMIN,TMIN,90,95,3,3,w15,month
TMAX_P95_2D__w05,TMAX_P95_3D__month,0.4624,2,duration+window,,TMAX,TMAX,95,95,2,3,w05,month
TMIN_P90_2D__month,TMIN_P95_2D__month_pm7,0.4625,2,percentile+window,,TMIN,TMIN,90,95,2,2,month,month_pm7
TMIN_P90_2D__w15,TMIN_P95_2D__month_pm7,0.4628,2,percentile+window,,TMIN,TMIN,90,95,2,2,w15,month_pm7
TMIN_P90_3D__month,TMIN_P95_3D__w05,0.4652,2,percentile+window,,TMIN,TMIN,90,95,3,3,month,w05
TMIN_P90_3D__month_pm7,MHI_P90_3D__month,0.4659,2,metric+window,,TMIN,MHI,90,90,3,3,month_pm7,month
TMIN_P90_2D__w05,TMIN_P95_2D__month,0.4687,2,percentile+window,,TMIN,TMIN,90,95,2,2,w05,month
TMAX_P95_2D__w15,TMAX_P95_3D__month_pm7,0.4696,2,duration+window,,TMAX,TMAX,95,95,2,3,w15,month_pm7
MHI_P90_2D__w05,MHI_P90_3D__month_pm7,0.4707,2,duration+window,,MHI,MHI,90,90,2,3,w05,month_pm7
TMIN_P85_2D__w15,MHI_P90_2D__w15,0.4711,2,metric+percentile,,TMIN,MHI,85,90,2,2,w15,w15
TMAX_P90_3D__month,TMAX_P95_3D__w05,0.4741,2,percentile+window,,TMAX,TMAX,90,95,3,3,month,w05
TMAX_P90_3D__month_pm7,TMAX_P95_3D__w15,0.4742,2,percentile+window,,TMAX,TMAX,90,95,3,3,month_pm7,w15
TMIN_P85_2D__month,MHI_P90_2D__month,0.4766,2,metric+percentile,,TMIN,MHI,85,90,2,2,month,month
TMIN_P85_2D__w05,MHI_P90_2D__w05,0.4767,2,metric+percentile,,TMIN,MHI,85,90,2,2,w05,w05
TMIN_P90_3D__month_pm7,TMIN_P95_3D__w05,0.4803,2,percentile+window,,TMIN,TMIN,90,95,3,3,month_pm7,w05
TMIN_P90_2D__w05,TMIN_P95_2D__w15,0.4808,2,percentile+window,,TMIN,TMIN,90,95,2,2,w05,w15
TMIN_P95_2D__w05,TMIN_P95_3D__month,0.4831,2,duration+window,,TMIN,TMIN,95,95,2,3,w05,month
TMIN_P90_2D__month,TMIN_P95_2D__w15,0.4841,2,percentile+window,,TMIN,TMIN,90,95,2,2,month,w15
TMAX_P85_2D__month_pm7,TMAX_P90_3D__month_pm7,0.4886,2,percentile+duration,,TMAX,TMAX,85,90,2,3,month_pm7,month_pm7
TMAX_P90_2D__w15,TMAX_P95_2D__month,0.4894,2,percentile+window,,TMAX,TMAX,90,95,2,2,w15,month
TMAX_P90_2D__month,TMAX_P95_2D__w15,0.4906,2,percentile+window,,TMAX,TMAX,90,95,2,2,month,w15
TMIN_P90_2D__w15,MHI_P90_2D__w05,0.492,2,metric+window,,TMIN,MHI,90,90,2,2,w15,w05
MHI_P90_2D__w05,MHI_P90_3D__month,0.493,2,duration+window,,MHI,MHI,90,90,2,3,w05,month
TMIN_P90_2D__w05,MHI_P90_2D__w15,0.4935,2,metric+window,,TMIN,MHI,90,90,2,2,w05,w15
TMAX_P90_2D__w05,TMAX_P95_2D__w15,0.4937,2,percentile+window,,TMAX,TMAX,90,95,2,2,w05,w15
MHI_P90_2D__w15,MHI_P90_3D__month_pm7,0.4954,2,duration+window,,MHI,MHI,90,90,2,3,w15,month_pm7
TMAX_P95_2D__month_pm7,TMAX_P95_3D__w05,0.4956,2,duration+window,,TMAX,TMAX,95,95,2,3,month_pm7,w05
TMIN_P90_2D__w15,TMIN_P95_2D__month,0.4958,2,percentile+window,,TMIN,TMIN,90,95,2,2,w15,month
TMIN_P90_3D__month_pm7,TMIN_P95_3D__month,0.4963,2,percentile+window,,TMIN,TMIN,90,95,3,3,month_pm7,month
TMAX_P90_3D__month_pm7,TMAX_P95_3D__w05,0.4967,2,percentile+window,,TMAX,TMAX,90,95,3,3,month_pm7,w05
TMAX_P95_2D__w15,TMAX_P95_3D__month,0.4972,2,duration+window,,TMAX,TMAX,95,95,2,3,w15,month
TMIN_P90_2D__month,MHI_P90_2D__month_pm7,0.4977,2,metric+window,,TMIN,MHI,90,90,2,2,month,month_pm7
TMAX_P95_2D__month,TMAX_P95_3D__w05,0.4991,2,duration+window,,TMAX,TMAX,95,95,2,3,month,w05
TMIN_P90_2D__month_pm7,TMIN_P95_2D__w15,0.5011,2,percentile+window,,TMIN,TMIN,90,95,2,2,month_pm7,w15
TMIN_P85_2D__month_pm7,TMIN_P90_3D__month_pm7,0.5012,2,percentile+duration,,TMIN,TMIN,85,90,2,3,month_pm7,month_pm7
TMIN_P90_2D__month_pm7,MHI_P90_2D__month,0.5014,2,metric+window,,TMIN,MHI,90,90,2,2,month_pm7,month
TMAX_P85_2D__w15,TMAX_P90_3D__w15,0.5016,2,percentile+duration,,TMAX,TMAX,85,90,2,3,w15,w15
TMIN_P85_2D__w15,TMIN_P90_3D__w15,0.5023,2,percentile+duration,,TMIN,TMIN,85,90,2,3,w15,w15
TMAX_P95_2D__month,TMAX_P95_3D__w15,0.5038,2,duration+window,,TMAX,TMAX,95,95,2,3,month,w15
MHI_P90_2D__month,MHI_P90_3D__w05,0.5058,2,duration+window,,MHI,MHI,90,90,2,3,month,w05
MHI_P90_2D__month_pm7,MHI_P90_3D__w05,0.5059,2,duration+window,,MHI,MHI,90,90,2,3,month_pm7,w05
TMIN_P90_2D__month,TMIN_P95_2D__w05,0.5065,2,percentile+window,,TMIN,TMIN,90,95,2,2,month,w05
TMIN_P95_2D__w15,TMIN_P95_3D__month_pm7,0.5077,2,duration+window,,TMIN,TMIN,95,95,2,3,w15,month_pm7
TMAX_P85_2D__month,TMAX_P90_3D__month,0.5081,2,percentile+duration,,TMAX,TMAX,85,90,2,3,month,month
MHI_P90_2D__month,MHI_P90_3D__w15,0.5083,2,duration+window,,MHI,MHI,90,90,2,3,month,w15
TMIN_P85_2D__month,TMIN_P90_3D__month,0.5112,2,percentile+duration,,TMIN,TMIN,85,90,2,3,month,month
TMIN_P95_2D__month,TMIN_P95_3D__w05,0.5114,2,duration+window,,TMIN,TMIN,95,95,2,3,month,w05
TMIN_P85_2D__w05,TMIN_P90_3D__w05,0.5122,2,percentile+duration,,TMIN,TMIN,85,90,2,3,w05,w05
TMAX_P95_2D__month_pm7,TMAX_P95_3D__w15,0.5126,2,duration+window,,TMAX,TMAX,95,95,2,3,month_pm7,w15
TMIN_P95_2D__month_pm7,TMIN_P95_3D__w05,0.5131,2,duration+window,,TMIN,TMIN,95,95,2,3,month_pm7,w05
MHI_P90_2D__w15,MHI_P90_3D__month,0.5136,2,duration+window,,MHI,MHI,90,90,2,3,w15,month
TMAX_P90_2D__w05,TMAX_P90_3D__month_pm7,0.5138,2,duration+window,,TMAX,TMAX,90,90,2,3,w05,month_pm7
MHI_P90_2D__month_pm7,MHI_P90_3D__w15,0.5141,2,duration+window,,MHI,MHI,90,90,2,3,month_pm7,w15
TMAX_P90_2D__month_pm7,TMAX_P95_2D__w15,0.5151,2,percentile+window,,TMAX,TMAX,90,95,2,2,month_pm7,w15
TMAX_P85_2D__w05,TMAX_P90_3D__w05,0.5156,2,percentile+duration,,TMAX,TMAX,85,90,2,3,w05,w05
TMIN_P90_3D__w15,TMIN_P95_3D__w05,0.516,2,percentile+window,,TMIN,TMIN,90,95,3,3,w15,w05
TMAX_P90_2D__month,TMAX_P95_2D__w05,0.5175,2,percentile+window,,TMAX,TMAX,90,95,2,2,month,w05
TMAX_P95_2D__month_pm7,TMAX_P90_3D__month_pm7,0.5217,2,percentile+duration,,TMAX,TMAX,95,90,2,3,month_pm7,month_pm7
TMIN_P90_2D__month_pm7,TMIN_P95_2D__w05,0.5221,2,percentile+window,,TMIN,TMIN,90,95,2,2,month_pm7,w05
TMIN_P95_2D__month,TMIN_P95_3D__w15,0.5232,2,duration+window,,TMIN,TMIN,95,95,2,3,month,w15
TMIN_P95_2D__month_pm7,TMIN_P90_3D__month_pm7,0.5236,2,percentile+duration,,TMIN,TMIN,95,90,2,3,month_pm7,month_pm7
TMAX_P90_3D__month_pm7,TMAX_P85_3D__w05,0.5241,2,percentile+window,,TMAX,TMAX,90,85,3,3,month_pm7,w05
TMIN_P95_2D__w15,TMIN_P95_3D__month,0.5257,2,duration+window,,TMIN,TMIN,95,95,2,3,w15,month
TMAX_P90_3D__month_pm7,TMAX_P95_3D__month,0.5306,2,percentile+window,,TMAX,TMAX,90,95,3,3,month_pm7,month
TMIN_P95_2D__month,TMIN_P90_3D__month,0.5318,2,percentile+duration,,TMIN,TMIN,95,90,2,3,month,month
TMIN_P95_2D__month_pm7,TMIN_P95_3D__w15,0.5318,2,duration+window,,TMIN,TMIN,95,95,2,3,month_pm7,w15
TMIN_P95_2D__w15,TMIN_P90_3D__w15,0.5334,2,percentile+duration,,TMIN,TMIN,95,90,2,3,w15,w15
TMAX_P90_2D__month_pm7,TMAX_P95_2D__w05,0.5363,2,percentile+window,,TMAX,TMAX,90,95,2,2,month_pm7,w05
TMAX_P90_2D__w05,TMAX_P90_3D__month,0.5375,2,duration+window,,TMAX,TMAX,90,90,2,3,w05,month
TMIN_P90_2D__month_pm7,TMIN_P95_2D__month,0.5382,2,percentile+window,,TMIN,TMIN,90,95,2,2,month_pm7,month
TMAX_P90_2D__w15,TMAX_P90_3D__month_pm7,0.5406,2,duration+window,,TMAX,TMAX,90,90,2,3,w15,month_pm7
TMAX_P95_2D__month,TMAX_P90_3D__month,0.5422,2,percentile+duration,,TMAX,TMAX,95,90,2,3,month,month
TMAX_P90_3D__w15,TMAX_P95_3D__w05,0.544,2,percentile+window,,TMAX,TMAX,90,95,3,3,w15,w05
TMAX_P95_2D__w15,TMAX_P90_3D__w15,0.545,2,percentile+duration,,TMAX,TMAX,95,90,2,3,w15,w15
TMIN_P95_2D__w05,TMIN_P90_3D__w05,0.5482,2,percentile+duration,,TMIN,TMIN,95,90,2,3,w05,w05
TMAX_P90_3D__month_pm7,TMAX_P85_3D__w15,0.5527,2,percentile+window,,TMAX,TMAX,90,85,3,3,month_pm7,w15
TMIN_P90_2D__w05,TMIN_P90_3D__month_pm7,0.553,2,duration+window,,TMIN,TMIN,90,90,2,3,w05,month_pm7
TMIN_P90_2D__w15,TMIN_P95_2D__w05,0.5536,2,percentile+window,,TMIN,TMIN,90,95,2,2,w15,w05
TMAX_P90_2D__month_pm7,TMAX_P85_2D__w05,0.5547,2,percentile+window,,TMAX,TMAX,90,85,2,2,month_pm7,w05
TMAX_P90_2D__month_pm7,TMAX_P90_3D__w05,0.5559,2,duration+window,,TMAX,TMAX,90,90,2,3,month_pm7,w05
TMAX_P90_2D__month,TMAX_P90_3D__w05,0.5572,2,duration+window,,TMAX,TMAX,90,90,2,3,month,w05
TMAX_P90_3D__month,TMAX_P85_3D__w05,0.5573,2,percentile+window,,TMAX,TMAX,90,85,3,3,month,w05
TMAX_P90_2D__w15,TMAX_P90_3D__month,0.5584,2,duration+window,,TMAX,TMAX,90,90,2,3,w15,month
TMIN_P90_3D__month_pm7,TMIN_P85_3D__w05,0.5594,2,percentile+window,,TMIN,TMIN,90,85,3,3,month_pm7,w05
TMAX_P85_2D__w05,TMAX_P85_3D__month_pm7,0.5626,2,duration+window,,TMAX,TMAX,85,85,2,3,w05,month_pm7
TMAX_P90_2D__month,TMAX_P90_3D__w15,0.5629,2,duration+window,,TMAX,TMAX,90,90,2,3,month,w15
TMAX_P95_2D__w05,TMAX_P90_3D__w05,0.5656,2,percentile+duration,,TMAX,TMAX,95,90,2,3,w05,w05
TMAX_P90_2D__month_pm7,TMAX_P95_2D__month,0.567,2,percentile+window,,TMAX,TMAX,90,95,2,2,month_pm7,month
TMAX_P90_2D__month_pm7,TMAX_P90_3D__w15,0.5679,2,duration+window,,TMAX,TMAX,90,90,2,3,month_pm7,w15
TMIN_P90_2D__w05,TMIN_P90_3D__month,0.5688,2,duration+window,,TMIN,TMIN,90,90,2,3,w05,month
TMAX_P90_3D__w15,TMAX_P85_3D__month,0.5732,2,percentile+window,,TMAX,TMAX,90,85,3,3,w15,month
TMAX_P95_2D__w05,TMAX_P95_3D__w15,0.576,2,duration+window,,TMAX,TMAX,95,95,2,3,w05,w15
TMIN_P95_2D__w05,TMIN_P95_3D__w15,0.578,2,duration+window,,TMIN,TMIN,95,95,2,3,w05,w15
TMAX_P90_2D__w15,TMAX_P95_2D__w05,0.5796,2,percentile+window,,TMAX,TMAX,90,95,2,2,w15,w05
TMAX_P90_3D__w05,TMAX_P85_3D__month,0.5798,2,percentile+window,,TMAX,TMAX,90,85,3,3,w05,month
TMAX_P85_2D__w05,TMAX_P85_3D__month,0.5801,2,duration+window,,TMAX,TMAX,85,85,2,3,w05,month
