run_a,run_b,jaccard,n_axes_differing,axes_differing,single_axis,metric_a,metric_b,percentile_a,percentile_b,duration_a,duration_b,window_a,window_b
TMAX_P85_3D__w15,TMAX_P85_3D__month,0.6794,1,window,window,TMAX,TMAX,85,85,3,3,w15,month
TMAX_P90_2D__w15,TMAX_P90_2D__month,0.6818,1,window,window,TMAX,TMAX,90,90,2,2,w15,month
TMIN_P90_2D__w05,TMIN_P90_2D__month_pm7,0.6821,1,window,window,TMIN,TMIN,90,90,2,2,w05,month_pm7
TMIN_P90_2D__w05,TMIN_P85_2D__w05,0.6833,1,percentile,percentile,TMIN,TMIN,90,85,2,2,w05,w05
TMAX_P95_2D__month_pm7,TMAX_P95_3D__month_pm7,0.6836,1,duration,duration,TMAX,TMAX,95,95,2,3,month_pm7,month_pm7
TMAX_P95_2D__w15,TMAX_P95_3D__w15,0.6871,1,duration,duration,TMAX,TMAX,95,95,2,3,w15,w15
TMAX_P90_2D__w05,TMAX_P85_2D__w05,0.6876,1,percentile,percentile,TMAX,TMAX,90,85,2,2,w05,w05
TMIN_P90_2D__w05,TMIN_P90_2D__month,0.6904,1,window,window,TMIN,TMIN,90,90,2,2,w05,month
TMAX_P85_2D__w05,TMAX_P85_2D__month,0.691,1,window,window,TMAX,TMAX,85,85,2,2,w05,month
TMIN_P95_2D__w15,TMIN_P95_3D__w15,0.6933,1,duration,duration,TMIN,TMIN,95,95,2,3,w15,w15
TMIN_P90_3D__w15,TMIN_P90_3D__month_pm7,0.6942,1,window,window,TMIN,TMIN,90,90,3,3,w15,month_pm7
TMAX_P95_2D__month,TMAX_P95_3D__month,0.6952,1,duration,duration,TMAX,TMAX,95,95,2,3,month,month
TMIN_P95_2D__month_pm7,TMIN_P95_3D__month_pm7,0.6964,1,duration,duration,TMIN,TMIN,95,95,2,3,month_pm7,month_pm7
TMIN_P95_2D__w05,TMIN_P95_3D__w05,0.6975,1,duration,duration,TMIN,TMIN,95,95,2,3,w05,w05
