axis,contrast_pair,from_run,to_run,from_value,to_value,days_from,days_to,days_ratio_hi_over_lo,pct_change,jaccard
percentile,85 vs 90,TMIN_P90_3D__month_pm7,TMIN_P85_3D__month_pm7,90,85,87272,138124,1.5827,58.3,0.6318
percentile,85 vs 90,TMIN_P90_3D__w15,TMIN_P85_3D__w15,90,85,91133,143020,1.5694,56.9,0.6372
percentile,85 vs 90,TMIN_P90_3D__month,TMIN_P85_3D__month,90,85,93161,145237,1.559,55.9,0.6414
percentile,85 vs 90,TMAX_P90_3D__month,TMAX_P85_3D__month,90,85,80451,124531,1.5479,54.8,0.646
percentile,85 vs 90,TMAX_P90_3D__w15,TMAX_P85_3D__w15,90,85,80755,124812,1.5456,54.6,0.647
percentile,85 vs 90,TMIN_P90_3D__w05,TMIN_P85_3D__w05,90,85,95876,148116,1.5449,54.5,0.6473
percentile,85 vs 90,TMAX_P90_2D__month_pm7,TMAX_P85_2D__month_pm7,90,85,97478,148222,1.5206,52.1,0.6576
percentile,85 vs 90,TMAX_P90_3D__w05,TMAX_P85_3D__w05,90,85,85949,130118,1.5139,51.4,0.6605
percentile,85 vs 90,TMIN_P90_2D__month_pm7,TMIN_P85_2D__month_pm7,90,85,115028,174134,1.5138,51.4,0.6606
percentile,85 vs 90,TMIN_P90_2D__w15,TMIN_P85_2D__w15,90,85,121777,181444,1.49,49.0,0.6712
percentile,85 vs 90,TMIN_P90_2D__month,TMIN_P85_2D__month,90,85,122363,182251,1.4894,48.9,0.6714
percentile,85 vs 90,TMAX_P90_2D__w15,TMAX_P85_2D__w15,90,85,108359,161004,1.4858,48.6,0.673
percentile,85 vs 90,TMAX_P90_2D__month,TMAX_P85_2D__month,90,85,106769,158349,1.4831,48.3,0.6743
percentile,85 vs 90,TMIN_P90_2D__w05,TMIN_P85_2D__w05,90,85,127906,187198,1.4636,46.4,0.6833
percentile,85 vs 90,TMAX_P90_2D__w05,TMAX_P85_2D__w05,90,85,114603,166682,1.4544,45.4,0.6876
window,month_pm7 vs w05,TMAX_P95_3D__month_pm7,TMAX_P95_3D__w05,month_pm7,w05,32851,43977,1.3387,33.9,0.5468
window,month_pm7 vs w05,MHI_P90_3D__month_pm7,MHI_P90_3D__w05,month_pm7,w05,71012,82824,1.1663,16.6,0.5725
window,month vs w05,TMAX_P95_3D__month,TMAX_P95_3D__w05,month,w05,38426,43977,1.1445,14.4,0.5733
window,month_pm7 vs w05,TMIN_P95_3D__month_pm7,TMIN_P95_3D__w05,month_pm7,w05,39412,47099,1.195,19.5,0.5806
window,month_pm7 vs w05,TMAX_P95_2D__month_pm7,TMAX_P95_2D__w05,month_pm7,w05,48059,62917,1.3092,30.9,0.5807
window,month vs w05,MHI_P90_3D__month,MHI_P90_3D__w05,month,w05,79886,82824,1.0368,3.7,0.5846
window,month vs w05,TMIN_P95_3D__month,TMIN_P95_3D__w05,month,w05,43309,47099,1.0875,8.8,0.5943
window,month_pm7 vs w15,MHI_P90_3D__month_pm7,MHI_P90_3D__w15,month_pm7,w15,71012,77785,1.0954,9.5,0.6002
window,month_pm7 vs w05,MHI_P90_2D__month_pm7,MHI_P90_2D__w05,month_pm7,w05,99482,116802,1.1741,17.4,0.6021
window,month_pm7 vs w15,TMAX_P95_3D__month_pm7,TMAX_P95_3D__w15,month_pm7,w15,32851,38876,1.1834,18.3,0.6024
