run_id,definition_id,def_number,user_item,metric,metric_label,percentile,min_duration,window_key,window_label,window_order,counties_total,counties_with_any_heatwave_day,heatwave_days_QA_pooled,heatwave_events_QA_pooled,per_county_heatwave_days_median,per_county_heatwave_days_q25,per_county_heatwave_days_q75,per_county_heatwave_days_min,per_county_heatwave_days_max,event_duration_median_days,event_duration_q75_days,event_duration_max_days,pct_heatwave_days_jun_sep,pct_heatwave_days_imputed,artifact_county_days_set_missing,artifact_handling,baseline,season,absolute_floor,comparison_op,analysis_years,runtime_seconds
TMIN_P90_2D__w15,TMIN_P90_2D,4,2,TMIN,daily minimum temperature,90,2,w15,centered 15-day window (+/-7 days),2,254,254,121777,34951,471.0,369.0,564.0,92,1115,3.0,4.0,48,42.67,18.42,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,3.7
TMIN_P90_2D__month,TMIN_P90_2D,4,2,TMIN,daily minimum temperature,90,2,month,calendar-month bucket,3,254,254,122363,34419,473.0,372.5,571.75,74,1083,3.0,4.0,48,43.18,18.61,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,3.3
TMIN_P90_2D__month_pm7,TMIN_P90_2D,4,2,TMIN,daily minimum temperature,90,2,month_pm7,calendar month +/- 7 days,4,254,254,115028,32499,444.0,341.25,534.75,72,1008,3.0,4.0,48,45.07,18.41,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,6.0
TMIN_P90_3D__w05,TMIN_P90_3D,11,9,TMIN,daily minimum temperature,90,3,w05,centered 5-day window (+/-2 days),1,254,254,95876,20621,362.5,278.25,458.5,76,965,4.0,5.0,48,45.38,19.56,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.5
TMIN_P90_3D__w15,TMIN_P90_3D,11,9,TMIN,daily minimum temperature,90,3,w15,centered 15-day window (+/-7 days),2,254,254,91133,19629,348.5,265.0,433.5,80,953,4.0,5.0,48,45.89,19.5,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.6
TMIN_P90_3D__month,TMIN_P90_3D,11,9,TMIN,daily minimum temperature,90,3,month,calendar-month bucket,3,254,254,93161,19818,360.0,277.25,441.0,54,955,4.0,5.0,48,46.31,19.72,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.4
TMIN_P90_3D__month_pm7,TMIN_P90_3D,11,9,TMIN,daily minimum temperature,90,3,month_pm7,calendar month +/- 7 days,4,254,254,87272,18621,334.5,253.0,414.75,48,876,4.0,5.0,48,48.52,19.5,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,4.3
TMIN_P95_2D__w05,TMIN_P95_2D,8,6,TMIN,daily minimum temperature,95,2,w05,centered 5-day window (+/-2 days),1,254,254,67525,21010,254.0,190.25,325.0,29,728,3.0,4.0,48,44.01,17.94,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.5
TMIN_P95_2D__w15,TMIN_P95_2D,8,6,TMIN,daily minimum temperature,95,2,w15,centered 15-day window (+/-7 days),2,254,254,61496,19215,231.0,169.25,298.5,17,682,3.0,4.0,48,45.0,17.91,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.3
TMIN_P95_2D__month,TMIN_P95_2D,8,6,TMIN,daily minimum temperature,95,2,month,calendar-month bucket,3,254,254,61903,19193,234.0,174.0,295.0,17,673,3.0,4.0,48,45.01,17.74,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.2
TMIN_P95_2D__month_pm7,TMIN_P95_2D,8,6,TMIN,daily minimum temperature,95,2,month_pm7,calendar month +/- 7 days,4,254,254,56590,17579,213.5,149.5,272.75,13,631,3.0,4.0,48,47.93,17.42,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,3.8
TMIN_P95_3D__w05,TMIN_P95_3D,15,13,TMIN,daily minimum temperature,95,3,w05,centered 5-day window (+/-2 days),1,254,254,47099,10797,172.0,122.0,235.75,19,616,4.0,5.0,48,47.83,19.21,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,1.6
TMIN_P95_3D__w15,TMIN_P95_3D,15,13,TMIN,daily minimum temperature,95,3,w15,centered 15-day window (+/-7 days),2,254,254,42638,9786,156.0,105.5,211.5,7,580,4.0,5.0,48,48.8,19.26,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,1.6
TMIN_P95_3D__month,TMIN_P95_3D,15,13,TMIN,daily minimum temperature,95,3,month,calendar-month bucket,3,254,254,43309,9896,156.5,114.25,214.0,13,569,4.0,5.0,48,48.86,18.96,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,1.6
TMIN_P95_3D__month_pm7,TMIN_P95_3D,15,13,TMIN,daily minimum temperature,95,3,month_pm7,calendar month +/- 7 days,4,254,254,39412,8990,141.5,99.5,193.75,13,523,4.0,5.0,48,52.19,18.6,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.3
