county_fips,year,classified_dates,events_started
48085,2024,23,5
48085,2025,3,1
48087,2015,7,2
48087,2016,3,1
48087,2017,16,3
48087,2018,5,1
48087,2019,3,1
48087,2020,7,2
48087,2022,7,2
48087,2023,16,4
48087,2024,13,2
48089,2016,4,1
48089,2018,8,1
48089,2021,3,1
48089,2022,42,4
48089,2023,72,6
48089,2024,3,1
48091,2015,8,2
48091,2016,3,1
48091,2017,17,4
48091,2018,38,5
48091,2019,21,4
48091,2020,19,4
48091,2021,4,1
48091,2022,36,5
48091,2023,72,7
48091,2024,15,4
48091,2025,3,1
48093,2015,4,1
48093,2016,3,1
48093,2017,10,1
48093,2018,31,4
48093,2019,26,4
48093,2020,19,3
48093,2022,69,6
48093,2023,94,9
48093,2024,57,6
48093,2025,16,3
48095,2015,8,2
48095,2017,9,1
48095,2018,18,4
48095,2019,17,4
48095,2020,19,3
48095,2021,4,1
48095,2022,36,6
48095,2023,68,10
48095,2024,29,5
48095,2025,3,1
48097,2015,3,1
48097,2018,20,5
48097,2020,3,1
48097,2022,44,6
48097,2023,41,7
48097,2024,5,1
48099,2015,16,3
48099,2016,10,3
48099,2017,17,5
48099,2018,37,4
48099,2019,20,3
48099,2020,22,4
48099,2022,51,5
48099,2023,65,10
48099,2024,24,6
48099,2025,3,1
48101,2015,14,3
48101,2016,9,2
48101,2017,4,1
48101,2018,21,4
48101,2019,14,4
48101,2020,15,4
48101,2021,3,1
48101,2022,48,9
48101,2023,47,9
48101,2024,24,4
48101,2025,4,1
48103,2015,14,2
48103,2016,11,3
48103,2017,13,3
48103,2018,16,4
48103,2019,26,6
48103,2020,25,5
48103,2021,7,2
48103,2022,15,5
48103,2023,74,7
48103,2024,30,7
48103,2025,7,2
48105,2015,17,3
48105,2016,23,6
48105,2017,15,4
48105,2018,27,5
48105,2019,40,6
48105,2020,22,4
48105,2021,8,2
48105,2022,25,5
48105,2023,68,6
48105,2024,21,4
48105,2025,3,1
48107,2015,9,2
48107,2016,11,3
48107,2017,18,4
48107,2018,18,4
48107,2019,26,6
48107,2020,32,6
48107,2021,4,1
48107,2022,41,5
48107,2023,41,8
48107,2024,39,7
48107,2025,5,1
48109,2015,6,2
48109,2016,4,1
48109,2017,3,1
48109,2018,3,1
48109,2019,12,3
48109,2020,20,4
48109,2021,12,3
48109,2022,6,2
48109,2023,26,4
48109,2024,4,1
48111,2015,15,3
48111,2016,21,5
48111,2017,27,6
48111,2018,13,3
48111,2019,31,8
48111,2020,29,5
48111,2021,22,6
48111,2022,24,5
48111,2023,44,6
48111,2024,44,8
48111,2025,5,1
48113,2015,7,2
48113,2016,5,1
48113,2017,5,1
48113,2018,32,5
48113,2019,17,3
48113,2020,6,2
48113,2021,5,1
48113,2022,43,6
48113,2023,50,8
48113,2024,11,3
48113,2025,3,1
48115,2015,6,2
48115,2016,8,2
48115,2017,13,2
48115,2018,15,4
48115,2019,23,6
48115,2020,20,3
48115,2021,4,1
48115,2022,19,4
48115,2023,53,10
48115,2024,21,4
48115,2025,4,1
48117,2015,9,2
