county_fips,year,month,classified_dates
48057,2019,6,5
48057,2019,7,3
48057,2019,9,3
48057,2020,6,7
48057,2020,7,3
48057,2020,8,7
48057,2022,6,13
48057,2022,7,7
48057,2022,9,3
48057,2023,6,14
48057,2023,7,20
48057,2023,8,29
48057,2023,9,27
48057,2024,6,8
48057,2024,7,3
48057,2024,8,12
48057,2024,9,11
48057,2025,8,9
48057,2025,9,6
48059,2015,8,6
48059,2015,9,3
48059,2016,9,3
48059,2017,9,9
48059,2018,6,12
48059,2018,7,9
48059,2019,8,3
48059,2019,9,8
48059,2020,7,6
48059,2020,8,9
48059,2021,9,3
48059,2022,6,17
48059,2022,7,15
48059,2022,8,4
48059,2022,9,8
48059,2023,6,9
48059,2023,7,8
48059,2023,8,23
48059,2023,9,14
48059,2024,6,6
48059,2024,7,3
48059,2024,8,10
48059,2025,9,3
48061,2015,9,3
48061,2016,6,1
48061,2016,7,14
48061,2016,8,11
48061,2016,9,17
48061,2017,6,12
48061,2017,7,3
48061,2017,9,8
48061,2018,6,10
48061,2018,7,15
48061,2018,8,4
48061,2018,9,3
48061,2019,6,5
48061,2019,7,12
48061,2019,8,16
48061,2019,9,7
48061,2020,6,3
48061,2020,7,8
48061,2020,8,8
48061,2020,9,3
48061,2021,8,2
48061,2021,9,12
48061,2022,6,4
48061,2022,7,22
48061,2022,8,7
48061,2023,6,22
48061,2023,7,23
48061,2023,8,25
48061,2023,9,28
48061,2024,6,17
48061,2025,6,3
48061,2025,7,1
48061,2025,8,4
48061,2025,9,3
48063,2015,6,6
48063,2015,7,8
48063,2015,8,8
48063,2015,9,7
48063,2016,7,5
48063,2016,8,11
48063,2018,6,9
48063,2018,7,8
48063,2018,9,3
48063,2019,9,9
48063,2022,6,16
48063,2022,7,25
48063,2022,8,3
48063,2022,9,7
48063,2023,8,21
48063,2023,9,8
48063,2024,9,3
48065,2015,9,5
48065,2016,7,4
48065,2017,6,4
48065,2018,6,3
48065,2018,7,6
48065,2019,8,9
48065,2019,9,3
48065,2020,6,4
48065,2020,7,9
48065,2020,8,6
48065,2020,9,3
48065,2021,9,4
48065,2022,6,5
48065,2022,7,6
48065,2022,9,3
48065,2023,7,6
48065,2023,8,15
48065,2023,9,18
48065,2024,7,2
48065,2024,8,17
48065,2024,9,9
48065,2025,8,4
48067,2015,6,5
48067,2015,8,7
48067,2015,9,6
48067,2016,7,4
48067,2016,9,3
48067,2018,6,7
48067,2018,7,3
48067,2018,9,3
48067,2019,9,12
48067,2022,6,5
48067,2022,7,21
48067,2022,8,3
48067,2022,9,4
48067,2023,8,20
48067,2023,9,3
48067,2025,9,5
48069,2015,9,3
48069,2016,6,3
48069,2016,7,8
48069,2017,6,7
48069,2018,6,3
48069,2018,7,5
48069,2019,7,3
48069,2019,8,11
48069,2020,7,10
48069,2020,8,6
48069,2020,9,3
48069,2022,6,6
48069,2022,7,8
48069,2023,7,12
48069,2023,8,11
48069,2023,9,7
48069,2024,6,6
48069,2024,7,2
48069,2024,8,15
48069,2024,9,3
48069,2025,8,5
48071,2015,7,3
48071,2015,8,9
48071,2016,9,4
48071,2018,9,3
48071,2019,6,6
48071,2021,6,3
48071,2022,9,5
48071,2023,7,5
48071,2023,8,24
48071,2023,9,16
48071,2024,8,4
48073,2018,6,14
48073,2018,7,8
48073,2019,9,4
48073,2022,6,15
48073,2022,7,10
48073,2022,9,7
48073,2023,7,6
48073,2023,8,26
48073,2023,9,7
48075,2015,8,4
48075,2015,9,8
48075,2016,9,3
48075,2017,6,4
48075,2017,9,6
48075,2018,7,6
48075,2019,8,8
48075,2019,9,7
48075,2020,6,5
48075,2020,7,12
48075,2020,8,8
48075,2021,6,5
48075,2021,9,11
48075,2022,6,13
48075,2022,7,22
48075,2022,8,5
48075,2022,9,8
48075,2023,6,3
48075,2023,7,10
48075,2023,8,16
48075,2023,9,12
48075,2024,6,4
48075,2024,8,17
48075,2024,9,8
48075,2025,8,4
48077,2016,9,3
48077,2017,9,3
48077,2018,6,9
48077,2018,7,6
48077,2019,9,5
48077,2020,6,3
48077,2020,8,4
48077,2022,6,17
48077,2022,7,15
48077,2022,8,3
48077,2022,9,8
48077,2023,6,10
48077,2023,7,8
48077,2023,8,23
48077,2023,9,15
48077,2024,6,3
48077,2024,8,9
48077,2024,9,3
48079,2015,9,9
48079,2016,6,4
48079,2016,7,11
48079,2017,6,5
48079,2017,9,7
48079,2018,7,5
48079,2019,7,3
48079,2019,8,7
48079,2019,9,4
48079,2020,7,11
