run_id,event_id,county_fips,county_name,start_date,end_date,event_duration_days,pct_event_days_imputed,county_temperature_imputation_pct,tmax_stations_min,tmax_stations_median,tmin_stations_min,min_exceedance_degF_in_event,median_exceedance_degF_in_event,figure,disposition
TMAX_P90_3D__w15,48_259_2023_006_TMAX_P90_3D,48259,Kendall,2023-07-09,2023-08-21,44,0.0,0.8,2.0,2.0,2.0,0.54,5.04,fig10_long_event_TMAX_P90_3D__w15_48_259_2023_006_TMAX_P90_3D.png,"RETAINED - inspected, not deleted"
TMAX_P90_3D__w15,48_321_2023_009_TMAX_P90_3D,48321,Matagorda,2023-07-09,2023-08-21,44,0.0,0.0,2.0,3.0,2.0,0.36,2.64,fig10_long_event_TMAX_P90_3D__w15_48_321_2023_009_TMAX_P90_3D.png,"RETAINED - inspected, not deleted"
TMAX_P95_2D__w15,48_199_2023_011_TMAX_P95_2D,48199,Hardin,2023-07-16,2023-08-28,44,0.0,1.3,1.0,1.0,1.0,0.89,6.03,fig10_long_event_TMAX_P95_2D__w15_48_199_2023_011_TMAX_P95_2D.png,"RETAINED - inspected, not deleted"
TMAX_P95_3D__w15,48_199_2023_006_TMAX_P95_3D,48199,Hardin,2023-07-16,2023-08-28,44,0.0,1.3,1.0,1.0,1.0,0.89,6.03,fig10_long_event_TMAX_P95_3D__w15_48_199_2023_006_TMAX_P95_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_239_2023_010_TMAX_P85_2D,48239,Jackson,2023-07-10,2023-08-21,43,100.0,100.0,,,,0.678,3.304,fig10_long_event_TMAX_P85_2D__w15_48_239_2023_010_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_469_2023_012_TMAX_P85_2D,48469,Victoria,2023-07-10,2023-08-21,43,0.0,0.0,3.0,3.0,3.0,0.015,1.98,fig10_long_event_TMAX_P85_2D__w15_48_469_2023_012_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_239_2023_010_TMAX_P85_3D,48239,Jackson,2023-07-10,2023-08-21,43,100.0,100.0,,,,0.678,3.304,fig10_long_event_TMAX_P85_3D__w15_48_239_2023_010_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_469_2023_010_TMAX_P85_3D,48469,Victoria,2023-07-10,2023-08-21,43,0.0,0.0,3.0,3.0,3.0,0.015,1.98,fig10_long_event_TMAX_P85_3D__w15_48_469_2023_010_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P90_2D__w15,48_239_2023_013_TMAX_P90_2D,48239,Jackson,2023-07-10,2023-08-21,43,100.0,100.0,,,,0.042,2.762,fig10_long_event_TMAX_P90_2D__w15_48_239_2023_013_TMAX_P90_2D.png,"RETAINED - inspected, not deleted"
TMAX_P90_3D__w15,48_239_2023_010_TMAX_P90_3D,48239,Jackson,2023-07-10,2023-08-21,43,100.0,100.0,,,,0.042,2.762,fig10_long_event_TMAX_P90_3D__w15_48_239_2023_010_TMAX_P90_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_395_2023_016_TMAX_P85_2D,48395,Robertson,2023-07-17,2023-08-27,42,0.0,5.3,1.0,1.0,1.0,0.622,4.05,fig10_long_event_TMAX_P85_2D__w15_48_395_2023_016_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_395_2023_009_TMAX_P85_3D,48395,Robertson,2023-07-17,2023-08-27,42,0.0,5.3,1.0,1.0,1.0,0.622,4.05,fig10_long_event_TMAX_P85_3D__w15_48_395_2023_009_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
MHI_P85_2D__w15,48_259_2022_014_MHI_P85_2D,48259,Kendall,2022-07-01,2022-08-09,40,0.0,0.8,1.0,1.0,1.0,0.214,9.223,fig10_long_event_MHI_P85_2D__w15_48_259_2022_014_MHI_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_007_2023_015_TMAX_P85_2D,48007,Aransas,2023-08-24,2023-09-30,38,0.0,0.2,2.0,3.0,3.0,0.54,3.169,fig10_long_event_TMAX_P85_2D__w15_48_007_2023_015_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_409_2023_017_TMAX_P85_2D,48409,San Patricio,2023-08-25,2023-10-01,38,2.6,6.4,1.0,1.0,1.0,0.584,3.635,fig10_long_event_TMAX_P85_2D__w15_48_409_2023_017_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_007_2023_009_TMAX_P85_3D,48007,Aransas,2023-08-24,2023-09-30,38,0.0,0.2,2.0,3.0,3.0,0.54,3.169,fig10_long_event_TMAX_P85_3D__w15_48_007_2023_009_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_409_2023_012_TMAX_P85_3D,48409,San Patricio,2023-08-25,2023-10-01,38,2.6,6.4,1.0,1.0,1.0,0.584,3.635,fig10_long_event_TMAX_P85_3D__w15_48_409_2023_012_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P90_2D__w15,48_007_2023_015_TMAX_P90_2D,48007,Aransas,2023-07-15,2023-08-21,38,0.0,0.2,2.0,3.0,3.0,0.06,1.77,fig10_long_event_TMAX_P90_2D__w15_48_007_2023_015_TMAX_P90_2D.png,"RETAINED - inspected, not deleted"
TMAX_P90_2D__w15,48_007_2023_016_TMAX_P90_2D,48007,Aransas,2023-08-24,2023-09-30,38,0.0,0.2,2.0,3.0,3.0,0.18,2.595,fig10_long_event_TMAX_P90_2D__w15_48_007_2023_016_TMAX_P90_2D.png,"RETAINED - inspected, not deleted"
TMAX_P90_3D__w15,48_007_2023_011_TMAX_P90_3D,48007,Aransas,2023-07-15,2023-08-21,38,0.0,0.2,2.0,3.0,3.0,0.06,1.77,fig10_long_event_TMAX_P90_3D__w15_48_007_2023_011_TMAX_P90_3D.png,"RETAINED - inspected, not deleted"
TMAX_P90_3D__w15,48_007_2023_012_TMAX_P90_3D,48007,Aransas,2023-08-24,2023-09-30,38,0.0,0.2,2.0,3.0,3.0,0.18,2.595,fig10_long_event_TMAX_P90_3D__w15_48_007_2023_012_TMAX_P90_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_057_2023_016_TMAX_P85_2D,48057,Calhoun,2023-07-16,2023-08-21,37,0.0,0.1,2.0,3.0,2.0,0.06,1.087,fig10_long_event_TMAX_P85_2D__w15_48_057_2023_016_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_291_2023_012_TMAX_P85_2D,48291,Liberty,2023-07-10,2023-08-15,37,0.0,0.0,3.0,3.0,3.0,0.287,3.132,fig10_long_event_TMAX_P85_2D__w15_48_291_2023_012_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_2D__w15,48_319_2022_011_TMAX_P85_2D,48319,Mason,2022-07-01,2022-08-06,37,0.0,0.0,2.0,2.0,2.0,0.065,1.966,fig10_long_event_TMAX_P85_2D__w15_48_319_2022_011_TMAX_P85_2D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_057_2023_012_TMAX_P85_3D,48057,Calhoun,2023-07-16,2023-08-21,37,0.0,0.1,2.0,3.0,2.0,0.06,1.087,fig10_long_event_TMAX_P85_3D__w15_48_057_2023_012_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_291_2023_008_TMAX_P85_3D,48291,Liberty,2023-07-10,2023-08-15,37,0.0,0.0,3.0,3.0,3.0,0.287,3.132,fig10_long_event_TMAX_P85_3D__w15_48_291_2023_008_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P85_3D__w15,48_319_2022_009_TMAX_P85_3D,48319,Mason,2022-07-01,2022-08-06,37,0.0,0.0,2.0,2.0,2.0,0.065,1.966,fig10_long_event_TMAX_P85_3D__w15_48_319_2022_009_TMAX_P85_3D.png,"RETAINED - inspected, not deleted"
TMAX_P90_2D__w15,48_319_2023_011_TMAX_P90_2D,48319,Mason,2023-07-09,2023-08-14,37,0.0,0.0,2.0,2.0,2.0,0.54,4.455,fig10_long_event_TMAX_P90_2D__w15_48_319_2023_011_TMAX_P90_2D.png,"RETAINED - inspected, not deleted"
