state,run_id,definition_id,metric,percentile,minimum_duration,window,event_id,county_fips,county_name,climate_division,start_date,end_date,event_duration_days,months_touched,event_crosses_month,event_crosses_year,peak_day_date,peak_metric_value,peak_day_threshold_value,days_in_event,imputed_days_in_event,pct_event_days_imputed,temperature_imputation_pct,fully_imputed_county,data_complete,review_reason,disposition
TX,TMAX_P90_2D__w15,TMAX_P90_2D,TMAX,90,2,w15,48_053_2023_013_TMAX_P90_2D,48053,Burnet,Edwards Plateau,2023-07-29,2023-08-22,25,2,True,False,2023-08-18,106.46,100.04,25,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P90_2D__w15,TMAX_P90_2D,TMAX,90,2,w15,48_261_2023_012_TMAX_P90_2D,48261,Kenedy,South Texas,2023-06-10,2023-07-04,25,2,True,False,2023-06-22,111.02,98.09,25,0,0.0,33.0,False,False,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P90_2D__w15,TMAX_P90_2D,TMAX,90,2,w15,48_469_2023_014_TMAX_P90_2D,48469,Victoria,Upper Coast,2023-07-28,2023-08-21,25,2,True,False,2023-08-16,105.98,99.68,25,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P90_3D__w15,TMAX_P90_3D,TMAX,90,3,w15,48_053_2023_010_TMAX_P90_3D,48053,Burnet,Edwards Plateau,2023-07-29,2023-08-22,25,2,True,False,2023-08-18,106.46,100.04,25,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P90_3D__w15,TMAX_P90_3D,TMAX,90,3,w15,48_261_2023_010_TMAX_P90_3D,48261,Kenedy,South Texas,2023-06-10,2023-07-04,25,2,True,False,2023-06-22,111.02,98.09,25,0,0.0,33.0,False,False,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P90_3D__w15,TMAX_P90_3D,TMAX,90,3,w15,48_469_2023_010_TMAX_P90_3D,48469,Victoria,Upper Coast,2023-07-28,2023-08-21,25,2,True,False,2023-08-16,105.98,99.68,25,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P95_2D__w15,TMAX_P95_2D,TMAX,95,2,w15,48_321_2023_009_TMAX_P95_2D,48321,Matagorda,Upper Coast,2023-07-28,2023-08-21,25,2,True,False,2023-08-16,103.4,95.96,25,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P95_3D__w15,TMAX_P95_3D,TMAX,95,3,w15,48_321_2023_007_TMAX_P95_3D,48321,Matagorda,Upper Coast,2023-07-28,2023-08-21,25,2,True,False,2023-08-16,103.4,95.96,25,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_2D__w15,TMIN_P85_2D,TMIN,85,2,w15,48_133_2022_010_TMIN_P85_2D,48133,Eastland,North Central,2022-07-17,2022-08-10,25,2,True,False,2022-07-20,79.98,73.94,25,25,100.0,100.0,True,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_2D__w15,TMIN_P85_2D,TMIN,85,2,w15,48_165_2022_012_TMIN_P85_2D,48165,Gaines,High Plains,2022-07-18,2022-08-11,25,2,True,False,2022-07-20,77.99,69.98,25,0,0.0,0.2,False,True,long event,"RETAINED - flagged for review, not deleted"
