county_fips,ehf85_c2,n_positive_reference_ehf_values,n_distinct_reference_years_with_positive_ehf,severity_quality_flag
48275,5.883618480461977,554,31,ok
48277,5.936394444444434,588,31,ok
48279,8.019526360368069,512,34,ok
48281,3.6811083333332766,562,29,ok
48283,2.170202777777755,592,32,ok
48285,2.079944612866539,567,30,ok
48287,2.4685408665128037,664,31,ok
48289,3.0883944444444626,547,30,ok
48291,2.186140999999956,584,32,ok
48293,2.7723104081947496,605,32,ok
48295,7.644444135802538,539,34,ok
48297,2.002209027777763,632,30,ok
48299,3.0683333333333347,487,30,ok
48301,5.06371179963175,600,33,ok
48303,8.6304694444444,490,34,ok
48305,6.693158333333251,564,33,ok
48307,3.7814605308095532,582,32,ok
48309,2.5881475115741615,606,30,ok
48311,1.9740611111110646,577,30,ok
48313,2.4537500000000145,511,30,ok
48315,4.724311111111088,549,32,ok
48317,4.848290104935133,591,32,ok
48319,3.7069145833333312,560,28,ok
48321,1.2395737847222241,556,34,ok
48323,2.8918023210270816,508,32,ok
48325,1.7959500000000572,598,31,ok
48327,4.335092872928731,579,32,ok
48329,6.496466145833414,571,32,ok
48331,2.33870099946121,598,29,ok
48333,3.490978797397187,559,31,ok
48335,5.24242372240102,502,31,ok
48337,5.421041666666625,642,29,ok
48339,3.039209201388871,556,31,ok
48341,7.2091112841986424,501,35,ok
48343,4.564121527777839,586,30,ok
48345,8.747523699812302,551,32,ok
48347,3.2413666666666985,545,32,ok
48349,3.3427384259260253,610,32,ok
48351,3.016983333333328,553,34,ok
48353,6.525624999999958,515,30,ok
48355,0.8430860840436766,594,31,ok
48357,8.214177105183705,537,35,ok
48359,6.139749097222283,550,35,ok
48361,2.080062499999909,556,33,ok
48363,6.914990277777658,580,26,ok
48365,4.275138888888875,543,29,ok
48367,4.553589930555559,590,33,ok
48369,7.349272222222225,513,32,ok
48371,4.834352199074065,583,34,ok
48373,3.579659082373295,598,32,ok
48375,7.5477708333334,520,33,ok
48377,6.040138888888848,561,33,ok
48379,4.469028819444467,560,31,ok
48381,6.366609660629869,542,34,ok
48383,5.512163888888919,537,32,ok
48385,2.341567708333415,556,32,ok
48387,5.262834722222236,573,30,ok
48389,7.1198364197529855,556,34,ok
48391,1.6191478162699464,497,32,ok
48393,6.413995359442443,544,36,ok
48395,2.5495500795326067,592,28,ok
48397,3.7525411056627194,598,30,ok
48399,4.073467708333198,572,29,ok
48401,4.488977083333437,567,30,ok
48403,3.501970020415387,572,31,ok
48405,3.096904719820808,563,31,ok
48407,2.815773063626268,609,29,ok
48409,1.2833333333333203,602,33,ok
48411,3.4665312499999708,566,32,ok
48413,4.235635239727416,584,30,ok
48415,4.864412756486228,524,33,ok
48417,5.631676996521035,560,30,ok
48419,4.76486805555557,540,29,ok
48421,5.693527125050099,526,34,ok
48423,3.7442089248185533,541,32,ok
48425,4.800516666666769,585,30,ok
48427,1.8635342592592465,600,30,ok
48429,5.0201561323205235,588,31,ok
48431,5.405483381838985,585,34,ok
48433,5.2854666666667045,593,32,ok
48435,3.367291666666618,544,33,ok
48437,7.585520833333115,516,31,ok
48439,4.509043020597093,602,31,ok
48441,4.823501080246818,593,32,ok
48443,3.913703041835032,592,30,ok
48445,7.326999999999916,541,33,ok
48447,5.855704317176488,614,32,ok
48449,4.707666666666679,621,31,ok
48451,4.858088580246939,583,31,ok
48453,1.9454085888889376,598,30,ok
48455,3.1588061335667343,584,32,ok
48457,3.066908333333252,557,31,ok
48459,4.661953124999945,556,29,ok
48461,5.53443157019404,525,30,ok
48463,2.1539786144516526,589,31,ok
48465,3.3579962962962737,615,33,ok
48467,4.35825000000008,602,30,ok
48469,1.6012777777777571,581,33,ok
48471,2.8058840277777333,615,32,ok
48473,1.924347377155864,614,31,ok
48475,6.68703750000007,547,33,ok
48477,2.228593749999999,575,30,ok
48479,2.3512444444441467,555,30,ok
48481,1.845737499999997,562,33,ok
48483,7.248086526373726,539,32,ok
48485,7.051466666666692,565,33,ok
48487,5.641109492651772,557,33,ok
48489,1.553404924675268,516,32,ok
48491,2.1568975308641525,585,29,ok
48493,1.690661573080844,554,29,ok
48495,7.5039805555555334,563,33,ok
48497,4.963345309115461,556,31,ok
48499,3.798277893518575,584,29,ok
48501,7.156967191602379,564,31,ok
48503,5.361638470455373,573,31,ok
48505,1.719121871844542,507,30,ok
48507,2.227622222222188,582,28,ok
