state,def_number,definition_id,metric,metric_label,percentile,minimum_duration_days,window,window_label,reference_method,comparison_op,season_rule,absolute_floor,status,threshold_degF_median,threshold_degF_p5,threshold_degF_p95,threshold_degF_median_jun_sep,threshold_degF_median_dec_feb,threshold_degF_summer_minus_winter,baseline_obs_per_threshold_median,threshold_rows_low_n_ref,threshold_rows_total,heatwave_days_QA_pooled_2015_2025,heatwave_events_QA_pooled_2015_2025,per_county_days_median,per_county_days_q25,per_county_days_q75,per_county_days_min,per_county_days_max,event_duration_days_median,event_duration_days_max,events_at_or_over_review_length,pct_heatwave_days_in_jun_sep,rate_jun_sep_per_1000_eligible,rate_oct_may_per_1000_eligible,peak_month_by_rate,pct_heatwave_days_imputed,counties_with_any_heatwave_day
TX,4,TMIN_P90_2D,TMIN,daily minimum temperature,90,2,month,calendar-month bucket,walk_forward_1979_to_Yminus1,>,year_round,none,tested,64.9,40.0,77.0,74.5,48.0,26.5,1240.0,0.0,33528.0,122363.0,34419.0,473.0,372.0,571.0,74.0,1083.0,3.0,48.0,29.0,43.18,155.01,102.29,Aug,18.61,254.0
TX,4,TMIN_P90_2D,TMIN,daily minimum temperature,90,2,month_pm7,calendar month +/- 7 days,walk_forward_1979_to_Yminus1,>,year_round,none,tested,65.0,40.6,77.0,74.6,48.8,25.9,1809.0,0.0,33528.0,115028.0,32499.0,444.0,341.0,534.0,72.0,1008.0,3.0,48.0,29.0,45.07,152.09,92.96,Aug,18.41,254.0
TX,11,TMIN_P90_3D,TMIN,daily minimum temperature,90,3,w05,centered 5-day window (+/-2 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,64.5,39.5,77.0,74.5,48.0,26.5,205.0,0.0,1022604.0,95876.0,20621.0,362.0,278.0,458.0,76.0,965.0,4.0,48.0,20.0,45.38,127.65,77.04,Aug,19.56,254.0
TX,11,TMIN_P90_3D,TMIN,daily minimum temperature,90,3,w15,centered 15-day window (+/-7 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,64.8,39.9,77.0,74.5,48.0,26.5,615.0,0.0,1022604.0,91133.0,19629.0,348.0,265.0,433.0,80.0,953.0,4.0,48.0,19.0,45.89,122.69,72.55,Aug,19.5,254.0
TX,11,TMIN_P90_3D,TMIN,daily minimum temperature,90,3,month,calendar-month bucket,walk_forward_1979_to_Yminus1,>,year_round,none,tested,64.9,40.0,77.0,74.5,48.0,26.5,1240.0,0.0,33528.0,93161.0,19818.0,360.0,277.0,441.0,54.0,955.0,4.0,48.0,29.0,46.31,126.57,73.59,Aug,19.72,254.0
TX,11,TMIN_P90_3D,TMIN,daily minimum temperature,90,3,month_pm7,calendar month +/- 7 days,walk_forward_1979_to_Yminus1,>,year_round,none,tested,65.0,40.6,77.0,74.6,48.8,25.9,1809.0,0.0,33528.0,87272.0,18621.0,334.0,253.0,414.0,48.0,876.0,4.0,48.0,29.0,48.52,124.24,66.09,Aug,19.5,254.0
TX,8,TMIN_P95_2D,TMIN,daily minimum temperature,95,2,w05,centered 5-day window (+/-2 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,66.6,42.2,78.1,75.5,52.1,23.4,205.0,0.0,1022604.0,67525.0,21010.0,254.0,190.0,325.0,29.0,728.0,3.0,48.0,3.0,44.01,87.19,55.62,Aug,17.94,254.0
TX,8,TMIN_P95_2D,TMIN,daily minimum temperature,95,2,w15,centered 15-day window (+/-7 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,66.9,42.7,78.1,75.6,52.6,23.0,615.0,0.0,1022604.0,61496.0,19215.0,231.0,169.0,298.0,17.0,682.0,3.0,48.0,4.0,45.0,81.19,49.76,Aug,17.91,254.0
TX,8,TMIN_P95_2D,TMIN,daily minimum temperature,95,2,month,calendar-month bucket,walk_forward_1979_to_Yminus1,>,year_round,none,tested,67.0,43.1,78.1,75.8,52.6,23.2,1240.0,0.0,33528.0,61903.0,19193.0,234.0,174.0,295.0,17.0,673.0,3.0,48.0,7.0,45.01,81.74,50.08,Aug,17.74,254.0
TX,8,TMIN_P95_2D,TMIN,daily minimum temperature,95,2,month_pm7,calendar month +/- 7 days,walk_forward_1979_to_Yminus1,>,year_round,none,tested,67.7,44.1,78.1,75.9,53.1,22.9,1809.0,0.0,33528.0,56590.0,17579.0,213.0,149.0,272.0,13.0,631.0,3.0,48.0,8.0,47.93,79.56,43.36,Aug,17.42,254.0
TX,15,TMIN_P95_3D,TMIN,daily minimum temperature,95,3,w05,centered 5-day window (+/-2 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,66.6,42.2,78.1,75.5,52.1,23.4,205.0,0.0,1022604.0,47099.0,10797.0,172.0,122.0,235.0,19.0,616.0,4.0,48.0,3.0,47.83,66.09,36.15,Aug,19.21,254.0
TX,15,TMIN_P95_3D,TMIN,daily minimum temperature,95,3,w15,centered 15-day window (+/-7 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,66.9,42.7,78.1,75.6,52.6,23.0,615.0,0.0,1022604.0,42638.0,9786.0,156.0,105.0,211.0,7.0,580.0,4.0,48.0,4.0,48.8,61.04,32.12,Aug,19.26,254.0
TX,15,TMIN_P95_3D,TMIN,daily minimum temperature,95,3,month,calendar-month bucket,walk_forward_1979_to_Yminus1,>,year_round,none,tested,67.0,43.1,78.1,75.8,52.6,23.2,1240.0,0.0,33528.0,43309.0,9896.0,156.0,114.0,214.0,13.0,569.0,4.0,48.0,7.0,48.86,62.08,32.58,Aug,18.96,254.0
TX,15,TMIN_P95_3D,TMIN,daily minimum temperature,95,3,month_pm7,calendar month +/- 7 days,walk_forward_1979_to_Yminus1,>,year_round,none,tested,67.7,44.1,78.1,75.9,53.1,22.9,1809.0,0.0,33528.0,39412.0,8990.0,141.0,99.0,193.0,13.0,523.0,4.0,48.0,8.0,52.19,60.35,27.72,Aug,18.6,254.0
TX,,MHI_P85_3D,MHI,daily-mean heat index,85,3,w05,centered 5-day window (+/-2 days),,,,,"NOT TESTED - never run; not zero, not interpolated",,,,,,,,,,,,,,,,,,,,,,,,,
TX,,MHI_P95_3D,MHI,daily-mean heat index,95,3,w05,centered 5-day window (+/-2 days),,,,,"NOT TESTED - never run; not zero, not interpolated",,,,,,,,,,,,,,,,,,,,,,,,,
TX,,MHI_P85_3D,MHI,daily-mean heat index,85,3,w15,centered 15-day window (+/-7 days),,,,,"NOT TESTED - never run; not zero, not interpolated",,,,,,,,,,,,,,,,,,,,,,,,,
TX,,MHI_P95_3D,MHI,daily-mean heat index,95,3,w15,centered 15-day window (+/-7 days),,,,,"NOT TESTED - never run; not zero, not interpolated",,,,,,,,,,,,,,,,,,,,,,,,,
TX,,MHI_P85_3D,MHI,daily-mean heat index,85,3,month,calendar-month bucket,,,,,"NOT TESTED - never run; not zero, not interpolated",,,,,,,,,,,,,,,,,,,,,,,,,
TX,,MHI_P95_3D,MHI,daily-mean heat index,95,3,month,calendar-month bucket,,,,,"NOT TESTED - never run; not zero, not interpolated",,,,,,,,,,,,,,,,,,,,,,,,,
TX,,MHI_P85_3D,MHI,daily-mean heat index,85,3,month_pm7,calendar month +/- 7 days,,,,,"NOT TESTED - never run; not zero, not interpolated",,,,,,,,,,,,,,,,,,,,,,,,,
TX,,MHI_P95_3D,MHI,daily-mean heat index,95,3,month_pm7,calendar month +/- 7 days,,,,,"NOT TESTED - never run; not zero, not interpolated",,,,,,,,,,,,,,,,,,,,,,,,,
