state,run_a,run_b,definition_a,definition_b,window_a,window_b,n_axes_differing,axes_differing,single_axis,heatwave_days_a_QA_pooled,heatwave_days_b_QA_pooled,county_dates_shared,county_dates_a_only,county_dates_b_only,jaccard_day_level,dice_day_level,pct_of_a_also_in_b,pct_of_b_also_in_a,count_ratio_b_over_a,county_rank_spearman
TX,TMIN_P90_3D__month_pm7,MHI_P90_3D__month_pm7,TMIN_P90_3D,MHI_P90_3D,month_pm7,month_pm7,1,metric,metric,87272,71012,50279,36993,20733,0.4655,0.6353,57.61,70.8,0.8137,0.7845
TX,MHI_P85_2D__month,TMAX_P85_2D__month,MHI_P85_2D,TMAX_P85_2D,month,month,1,metric,metric,171115,158349,104725,66390,53624,0.466,0.6357,61.2,66.14,0.9254,0.747
TX,TMIN_P90_3D__w15,TMIN_P95_3D__w15,TMIN_P90_3D,TMIN_P95_3D,w15,w15,1,percentile,percentile,91133,42638,42638,48495,0,0.4679,0.6375,46.79,100.0,0.4679,0.9546
TX,TMIN_P90_3D__month,MHI_P90_3D__month,TMIN_P90_3D,MHI_P90_3D,month,month,1,metric,metric,93161,79886,55565,37596,24321,0.473,0.6422,59.64,69.56,0.8575,0.7912
TX,TMAX_P90_3D__month,TMAX_P95_3D__month,TMAX_P90_3D,TMAX_P95_3D,month,month,1,percentile,percentile,80451,38426,38426,42025,0,0.4776,0.6465,47.76,100.0,0.4776,0.9526
TX,MHI_P95_2D__w15,MHI_P90_2D__w15,MHI_P95_2D,MHI_P90_2D,w15,w15,1,percentile,percentile,52786,110243,52786,0,57457,0.4788,0.6476,100.0,47.88,2.0885,0.9715
TX,TMAX_P90_3D__w15,TMAX_P95_3D__w15,TMAX_P90_3D,TMAX_P95_3D,w15,w15,1,percentile,percentile,80755,38876,38876,41879,0,0.4814,0.6499,48.14,100.0,0.4814,0.9576
TX,MHI_P95_2D__month,MHI_P90_2D__month,MHI_P95_2D,MHI_P90_2D,month,month,1,percentile,percentile,53273,110334,53273,0,57061,0.4828,0.6512,100.0,48.28,2.0711,0.9759
TX,TMIN_P90_3D__w05,TMIN_P95_3D__w05,TMIN_P90_3D,TMIN_P95_3D,w05,w05,1,percentile,percentile,95876,47099,47099,48777,0,0.4912,0.6588,49.12,100.0,0.4912,0.9537
TX,TMIN_P90_2D__month_pm7,TMIN_P95_2D__month_pm7,TMIN_P90_2D,TMIN_P95_2D,month_pm7,month_pm7,1,percentile,percentile,115028,56590,56590,58438,0,0.492,0.6595,49.2,100.0,0.492,0.9637
TX,TMAX_P90_2D__month_pm7,TMAX_P95_2D__month_pm7,TMAX_P90_2D,TMAX_P95_2D,month_pm7,month_pm7,1,percentile,percentile,97478,48059,48059,49419,0,0.493,0.6604,49.3,100.0,0.493,0.9586
TX,TMIN_P90_2D__month_pm7,MHI_P90_2D__month_pm7,TMIN_P90_2D,MHI_P90_2D,month_pm7,month_pm7,1,metric,metric,115028,99482,71457,43571,28025,0.4995,0.6662,62.12,71.83,0.8649,0.7824
TX,TMIN_P90_2D__w15,MHI_P90_2D__w15,TMIN_P90_2D,MHI_P90_2D,w15,w15,1,metric,metric,121777,110243,77320,44457,32923,0.4998,0.6665,63.49,70.14,0.9053,0.8034
TX,TMIN_P90_2D__w05,MHI_P90_2D__w05,TMIN_P90_2D,MHI_P90_2D,w05,w05,1,metric,metric,127906,116802,81662,46244,35140,0.5009,0.6674,63.85,69.91,0.9132,0.8136
TX,MHI_P95_2D__w05,MHI_P90_2D__w05,MHI_P95_2D,MHI_P90_2D,w05,w05,1,percentile,percentile,58890,116802,58890,0,57912,0.5042,0.6704,100.0,50.42,1.9834,0.976
TX,TMIN_P90_2D__w15,TMIN_P95_2D__w15,TMIN_P90_2D,TMIN_P95_2D,w15,w15,1,percentile,percentile,121777,61496,61496,60281,0,0.505,0.6711,50.5,100.0,0.505,0.9641
TX,TMIN_P90_2D__month,TMIN_P95_2D__month,TMIN_P90_2D,TMIN_P95_2D,month,month,1,percentile,percentile,122363,61903,61903,60460,0,0.5059,0.6719,50.59,100.0,0.5059,0.9644
TX,TMIN_P90_2D__month,MHI_P90_2D__month,TMIN_P90_2D,MHI_P90_2D,month,month,1,metric,metric,122363,110334,78551,43812,31783,0.5096,0.6751,64.2,71.19,0.9017,0.8002
TX,TMAX_P90_3D__w05,TMAX_P95_3D__w05,TMAX_P90_3D,TMAX_P95_3D,w05,w05,1,percentile,percentile,85949,43977,43977,41972,0,0.5117,0.677,51.17,100.0,0.5117,0.9668
TX,TMAX_P90_2D__month,TMAX_P95_2D__month,TMAX_P90_2D,TMAX_P95_2D,month,month,1,percentile,percentile,106769,55270,55270,51499,0,0.5177,0.6822,51.77,100.0,0.5177,0.9655
TX,TMAX_P90_2D__w15,TMAX_P95_2D__w15,TMAX_P90_2D,TMAX_P95_2D,w15,w15,1,percentile,percentile,108359,56576,56576,51783,0,0.5221,0.686,52.21,100.0,0.5221,0.9744
TX,TMIN_P90_2D__w05,TMIN_P95_2D__w05,TMIN_P90_2D,TMIN_P95_2D,w05,w05,1,percentile,percentile,127906,67525,67525,60381,0,0.5279,0.691,52.79,100.0,0.5279,0.9691
TX,MHI_P95_2D__w05,MHI_P95_2D__month_pm7,MHI_P95_2D,MHI_P95_2D,w05,month_pm7,1,window,window,58890,45107,36508,22382,8599,0.5409,0.7021,61.99,80.94,0.766,0.9645
TX,TMAX_P95_3D__w05,TMAX_P95_3D__month_pm7,TMAX_P95_3D,TMAX_P95_3D,w05,month_pm7,1,window,window,43977,32851,27158,16819,5693,0.5468,0.707,61.76,82.67,0.747,0.9539
TX,TMAX_P90_2D__w05,TMAX_P95_2D__w05,TMAX_P90_2D,TMAX_P95_2D,w05,w05,1,percentile,percentile,114603,62917,62917,51686,0,0.549,0.7088,54.9,100.0,0.549,0.9767
TX,MHI_P85_2D__month_pm7,TMIN_P85_2D__month_pm7,MHI_P85_2D,TMIN_P85_2D,month_pm7,month_pm7,1,metric,metric,159534,174134,119013,40521,55121,0.5544,0.7134,74.6,68.35,1.0915,0.7915
