definition_id,metric,percentile,minimum_duration,window,month,heatwave_days,eligible_days,heatwave_days_per_1000_eligible_county_days,month_share_pct_of_all_heatwave_days,is_jun_sep
TMAX_P90_2D,TMAX,90,2,w05,11,8394,83820,100.143,7.32,False
TMAX_P90_2D,TMAX,90,2,w05,12,12518,86614,144.526,10.92,False
TMAX_P90_2D,TMAX,90,2,w15,1,5711,86614,65.936,5.27,False
TMAX_P90_2D,TMAX,90,2,w15,2,9203,78994,116.503,8.49,False
TMAX_P90_2D,TMAX,90,2,w15,3,8143,86614,94.015,7.51,False
TMAX_P90_2D,TMAX,90,2,w15,4,4395,83820,52.434,4.06,False
TMAX_P90_2D,TMAX,90,2,w15,5,8610,86614,99.407,7.95,False
TMAX_P90_2D,TMAX,90,2,w15,6,8466,83820,101.002,7.81,True
TMAX_P90_2D,TMAX,90,2,w15,7,10470,86614,120.881,9.66,True
TMAX_P90_2D,TMAX,90,2,w15,8,12428,86614,143.487,11.47,True
TMAX_P90_2D,TMAX,90,2,w15,9,9383,83820,111.942,8.66,True
TMAX_P90_2D,TMAX,90,2,w15,10,11923,86614,137.657,11.0,False
TMAX_P90_2D,TMAX,90,2,w15,11,7781,83820,92.83,7.18,False
TMAX_P90_2D,TMAX,90,2,w15,12,11846,86614,136.768,10.93,False
TMAX_P90_3D,TMAX,90,3,month,1,2934,86614,33.874,3.65,False
TMAX_P90_3D,TMAX,90,3,month,2,5481,78994,69.385,6.81,False
