pair,county_fips,a_only,b_only,shared,total_classified_by_either,disagreement_rate_pct,county_name,climate_division,temperature_imputation_pct,fully_imputed_county,data_complete
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48261,489,302,242,1033,76.57,Kenedy,South Texas,33.0,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48263,305,219,208,732,71.58,Kent,Low Rolling Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48265,319,314,129,762,83.07,Kerr,Edwards Plateau,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48267,371,311,147,829,82.27,Kimble,Edwards Plateau,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48269,168,319,167,654,74.46,King,Low Rolling Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48271,186,212,74,472,84.32,Kinney,Edwards Plateau,43.5,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48273,370,366,197,933,78.89,Kleberg,South Central,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48275,230,228,149,607,75.45,Knox,Low Rolling Plains,11.2,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48277,158,213,135,506,73.32,Lamar,North Central,0.1,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48279,255,278,142,675,78.96,Lamb,High Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48281,234,268,183,685,73.28,Lampasas,Edwards Plateau,80.3,False,False
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48283,346,514,362,1222,70.38,La Salle,South Texas,0.7,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48285,380,375,317,1072,70.43,Lavaca,South Central,0.8,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48287,244,297,212,753,71.85,Lee,South Central,2.2,False,True
TMAX_P90_2D_w15_vs_TMIN_P90_2D_w15,48289,241,199,107,547,80.44,Leon,East Texas,1.8,False,True
