state,run_id,definition_id,def_number,metric,percentile,minimum_duration_days,window,window_label,counties_total,counties_with_any_heatwave_day,counties_with_zero_heatwave_days,eligible_county_days_QA_pooled,heatwave_days_QA_pooled_2015_2025,heatwave_events_QA_pooled_2015_2025,heatwave_days_per_1000_eligible_QA_pooled,per_county_heatwave_days_2015_2025_median,per_county_heatwave_days_2015_2025_q25,per_county_heatwave_days_2015_2025_q75,per_county_heatwave_days_2015_2025_min,per_county_heatwave_days_2015_2025_max,event_duration_days_median,event_duration_days_q75,event_duration_days_max,events_of_2_days,events_of_3_days,events_7_days_or_more,events_at_or_over_review_length,events_crossing_a_month_boundary,events_crossing_a_year_boundary,rate_jun_sep_per_1000_eligible,rate_oct_may_per_1000_eligible,pct_heatwave_days_in_jun_sep,peak_month_by_rate,heatwave_days_imputed_QA_pooled,pct_heatwave_days_imputed,artifact_county_days_excluded,reference_method,season_rule,absolute_floor,comparison_op
TX,TMIN_P95_2D__w15,TMIN_P95_2D,8,TMIN,95,2,w15,centered 15-day window (+/-7 days),254,254,0,1020572,61496,19215,60.26,231.0,169.25,298.5,17,682,3.0,4.0,48,9429,4352,972,4,1169,60,81.19,49.76,45.0,Aug,11016,17.91,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P95_2D__month,TMIN_P95_2D,8,TMIN,95,2,month,calendar-month bucket,254,254,0,1020572,61903,19193,60.66,234.0,174.0,295.0,17,673,3.0,4.0,48,9297,4367,1042,7,810,57,81.74,50.08,45.01,Aug,10983,17.74,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P95_2D__month_pm7,TMIN_P95_2D,8,TMIN,95,2,month_pm7,calendar month +/- 7 days,254,254,0,1020572,56590,17579,55.45,213.5,149.5,272.75,13,631,3.0,4.0,48,8589,4010,947,8,759,51,79.56,43.36,47.93,Aug,9859,17.42,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,MHI_P90_2D__w05,MHI_P90_2D,9,MHI,90,2,w05,centered 5-day window (+/-2 days),254,254,0,1020475,116802,35358,114.46,448.0,369.0,537.75,82,930,3.0,4.0,48,16989,7999,2593,8,2193,158,123.27,110.04,35.97,Dec,19634,16.81,97,walk_forward_1979_to_Yminus1,year_round,none,>
TX,MHI_P90_2D__w15,MHI_P90_2D,9,MHI,90,2,w15,centered 15-day window (+/-7 days),254,254,0,1020475,110243,33508,108.03,425.0,343.0,514.5,66,875,3.0,4.0,48,16229,7521,2432,6,2029,179,119.21,102.42,36.86,Dec,18256,16.56,97,walk_forward_1979_to_Yminus1,year_round,none,>
TX,MHI_P90_2D__month,MHI_P90_2D,9,MHI,90,2,month,calendar-month bucket,254,254,0,1020475,110334,33139,108.12,426.0,348.5,512.5,75,877,3.0,4.0,48,15224,7743,2340,7,1174,148,117.63,103.35,36.34,Dec,18264,16.55,97,walk_forward_1979_to_Yminus1,year_round,none,>
TX,MHI_P90_2D__month_pm7,MHI_P90_2D,9,MHI,90,2,month_pm7,calendar month +/- 7 days,254,254,0,1020475,99482,30244,97.49,384.0,312.0,470.5,60,832,3.0,4.0,48,14235,7069,2017,9,1084,133,112.84,89.79,38.66,Aug,16230,16.31,97,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P90_3D__w05,TMAX_P90_3D,10,TMAX,90,3,w05,centered 5-day window (+/-2 days),254,254,0,1020572,85949,17636,84.22,314.0,253.25,399.75,63,782,4.0,5.0,48,0,7307,3145,72,1622,208,104.34,74.13,41.38,Aug,13456,15.66,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P90_3D__w15,TMAX_P90_3D,10,TMAX,90,3,w15,centered 15-day window (+/-7 days),254,254,0,1020572,80755,16701,79.13,297.5,239.25,373.75,59,747,4.0,5.0,47,0,7100,2868,69,1573,208,100.73,68.3,42.52,Aug,12669,15.69,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P90_3D__month,TMAX_P90_3D,10,TMAX,90,3,month,calendar-month bucket,254,254,0,1020572,80451,16596,78.83,299.0,238.25,375.5,49,715,4.0,5.0,48,0,6865,2760,80,935,156,96.84,69.8,41.03,Aug,12628,15.7,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P90_3D__month_pm7,TMAX_P90_3D,10,TMAX,90,3,month_pm7,calendar month +/- 7 days,254,254,0,1020572,72426,15063,70.97,270.5,216.25,337.75,41,636,4.0,5.0,48,0,6380,2401,81,888,143,92.72,60.06,43.64,Aug,11362,15.69,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P90_3D__w05,TMIN_P90_3D,11,TMIN,90,3,w05,centered 5-day window (+/-2 days),254,254,0,1020572,95876,20621,93.94,362.5,278.25,458.5,76,965,4.0,5.0,48,0,8371,3075,20,1974,104,127.65,77.04,45.38,Aug,18754,19.56,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P90_3D__w15,TMIN_P90_3D,11,TMIN,90,3,w15,centered 15-day window (+/-7 days),254,254,0,1020572,91133,19629,89.3,348.5,265.0,433.5,80,953,4.0,5.0,48,0,7942,2871,19,1821,127,122.69,72.55,45.89,Aug,17772,19.5,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P90_3D__month,TMIN_P90_3D,11,TMIN,90,3,month,calendar-month bucket,254,254,0,1020572,93161,19818,91.28,360.0,277.25,441.0,54,955,4.0,5.0,48,0,7651,3074,29,1339,89,126.57,73.59,46.31,Aug,18373,19.72,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P90_3D__month_pm7,TMIN_P90_3D,11,TMIN,90,3,month_pm7,calendar month +/- 7 days,254,254,0,1020572,87272,18621,85.51,334.5,253.0,414.75,48,876,4.0,5.0,48,0,7280,2830,29,1295,83,124.24,66.09,48.52,Aug,17018,19.5,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P85_3D__w05,TMAX_P85_3D,12,TMAX,85,3,w05,centered 5-day window (+/-2 days),254,254,0,1020572,130118,25469,127.5,486.0,407.25,599.75,140,1059,4.0,6.0,66,0,9996,5006,162,2640,274,154.41,114.0,40.45,Oct,21348,16.41,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P85_3D__w15,TMAX_P85_3D,12,TMAX,85,3,w15,centered 15-day window (+/-7 days),254,254,0,1020572,124812,24535,122.3,470.5,391.5,576.5,125,1016,4.0,6.0,66,0,9764,4755,160,2574,284,151.58,107.61,41.4,Aug,20553,16.47,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P85_3D__month,TMAX_P85_3D,12,TMAX,85,3,month,calendar-month bucket,254,254,0,1020572,124531,24409,122.02,476.5,398.0,562.75,129,999,4.0,6.0,66,0,9316,4684,167,1670,222,146.51,109.74,40.1,Aug,20697,16.62,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMAX_P85_3D__month_pm7,TMAX_P85_3D,12,TMAX,85,3,month_pm7,calendar month +/- 7 days,254,254,0,1020572,115678,22874,113.35,433.5,371.25,526.0,101,912,4.0,6.0,69,0,8955,4249,164,1593,217,140.67,99.64,41.45,Aug,19124,16.53,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P85_3D__w05,TMIN_P85_3D,13,TMIN,85,3,w05,centered 5-day window (+/-2 days),254,254,0,1020572,148116,30116,145.13,575.5,469.0,693.0,138,1281,4.0,6.0,50,0,11244,5533,67,3227,247,188.27,123.5,43.33,Aug,29369,19.83,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P85_3D__w15,TMIN_P85_3D,13,TMIN,85,3,w15,centered 15-day window (+/-7 days),254,254,0,1020572,143020,28981,140.14,556.0,449.0,675.75,118,1256,4.0,6.0,66,0,10686,5371,68,3030,301,184.36,117.96,43.94,Aug,28367,19.83,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P85_3D__month,TMIN_P85_3D,13,TMIN,85,3,month,calendar-month bucket,254,254,0,1020572,145237,29101,142.31,564.0,451.75,681.0,125,1241,4.0,6.0,66,0,10362,5580,76,2259,187,188.74,119.02,44.3,Aug,28877,19.88,0,walk_forward_1979_to_Yminus1,year_round,none,>
TX,TMIN_P85_3D__month_pm7,TMIN_P85_3D,13,TMIN,85,3,month_pm7,calendar month +/- 7 days,254,254,0,1020572,138124,27722,135.34,537.0,424.25,654.25,106,1135,4.0,6.0,66,0,9895,5235,82,2180,176,185.73,110.07,45.84,Aug,27322,19.78,0,walk_forward_1979_to_Yminus1,year_round,none,>
