county_fips,year,classified_dates,events_started
48177,2015,6,1
48177,2016,12,3
48177,2017,4,1
48177,2018,11,2
48177,2021,6,1
48177,2022,22,5
48177,2023,50,7
48177,2024,17,3
48177,2025,29,7
48179,2015,3,1
48179,2016,3,1
48179,2018,4,1
48179,2020,3,1
48179,2021,4,1
48179,2022,3,1
48179,2023,3,1
48179,2024,11,3
48179,2025,9,2
48181,2016,4,1
48181,2018,9,2
48181,2021,9,2
48181,2022,13,3
48181,2023,19,4
48181,2025,9,2
48183,2015,5,1
48183,2016,9,2
48183,2017,6,2
48183,2018,8,2
48183,2020,4,1
48183,2021,10,2
48183,2022,7,2
48183,2023,21,3
48183,2024,8,2
48183,2025,14,3
48185,2015,9,2
48185,2016,8,2
48185,2017,3,1
48185,2019,5,1
48185,2020,3,1
48185,2021,11,2
48185,2022,30,7
48185,2023,32,5
48185,2024,10,2
48185,2025,19,3
48187,2015,8,2
48187,2016,6,2
48187,2017,9,3
48187,2018,8,2
48187,2020,13,3
48187,2021,5,2
48187,2022,28,7
48187,2023,55,7
48187,2024,19,5
48187,2025,22,5
48189,2015,5,1
48189,2016,7,2
48189,2018,8,2
48189,2019,4,1
48189,2020,9,2
48189,2022,4,1
48189,2023,9,3
48189,2024,10,2
48189,2025,12,3
48191,2015,5,1
48191,2018,5,1
48191,2019,4,1
48191,2020,7,2
48191,2022,4,1
48191,2023,6,2
48191,2024,9,1
48191,2025,9,2
48193,2015,5,1
48193,2018,7,1
48193,2020,3,1
48193,2021,7,1
48193,2022,35,6
48193,2023,41,7
48193,2024,7,2
48193,2025,16,4
48195,2015,4,1
48195,2016,6,2
48195,2017,3,1
48195,2018,3,1
48195,2020,7,2
48195,2024,10,3
48195,2025,6,1
48197,2021,4,1
48197,2022,3,1
48197,2023,3,1
48197,2024,7,2
48197,2025,12,3
48199,2015,18,4
48199,2017,16,4
48199,2018,3,1
48199,2020,5,1
48199,2021,6,2
48199,2022,37,8
48199,2023,75,10
48199,2025,14,3
48201,2015,12,3
48201,2016,8,2
48201,2017,16,3
48201,2020,5,1
48201,2021,12,2
48201,2022,29,7
48201,2023,52,9
48201,2024,11,3
48201,2025,17,4
48203,2015,5,1
48203,2018,4,1
48203,2019,3,1
48203,2020,3,1
48203,2021,10,2
48203,2022,5,1
48203,2023,14,3
48203,2024,8,1
48203,2025,9,2
48205,2015,7,2
48205,2016,6,2
48205,2017,3,1
48205,2018,4,1
48205,2019,8,2
48205,2020,12,2
48205,2021,3,1
48205,2022,11,3
48205,2023,4,1
48205,2024,10,3
48205,2025,9,2
48207,2015,5,1
48207,2017,3,1
48207,2018,5,1
48207,2022,9,3
48207,2023,8,2
48207,2024,6,1
48207,2025,12,2
48209,2016,5,1
48209,2021,3,1
48209,2022,19,5
48209,2023,29,5
48209,2024,4,1
48209,2025,11,3
48211,2015,4,1
48211,2018,3,1
48211,2021,4,1
48211,2025,9,2
48213,2015,5,1
48213,2016,3,1
48213,2017,3,1
48213,2018,10,2
48213,2020,3,1
48213,2021,3,1
48213,2022,5,1
48213,2023,16,4
48213,2024,6,1
48213,2025,9,3
48215,2015,3,1
48215,2016,25,5
48215,2017,13,4
48215,2018,21,4
48215,2019,14,3
48215,2020,14,4
48215,2021,6,2
48215,2022,5,1
48215,2023,61,9
48215,2024,27,6
48215,2025,28,8
48217,2015,5,1
48217,2016,3,1
48217,2018,5,1
48217,2019,9,2
48217,2021,10,2
48217,2022,25,6
48217,2023,42,6
48217,2024,7,2
48217,2025,15,3
48219,2017,3,1
48219,2020,3,1
48219,2024,6,2
48219,2025,12,3
48221,2016,4,1
48221,2017,3,1
48221,2018,14,3
48221,2019,6,2
48221,2020,4,1
48221,2021,9,2
48221,2022,28,5
48221,2023,30,5
48221,2025,11,3
48223,2016,3,1
48223,2017,3,1
48223,2018,4,1
48223,2020,3,1
48223,2021,3,1
48223,2023,3,1
48223,2024,3,1
48223,2025,3,1
48225,2015,10,2
48225,2016,7,2
48225,2017,7,2
48225,2020,3,1
48225,2021,5,1
48225,2022,2,0
48225,2023,8,2
48225,2025,6,1
48227,2016,3,1
48227,2017,3,1
48227,2018,8,2
48227,2020,11,3
48227,2021,4,1
48227,2022,11,3
48227,2023,32,8
48227,2024,5,1
48227,2025,13,3
48229,2015,9,2
48229,2016,5,1
48229,2017,16,4
48229,2018,11,3
48229,2019,3,1
48229,2020,40,8
48229,2021,11,3
48229,2022,11,3
48229,2023,31,7
48229,2024,15,5
48229,2025,26,4
48231,2015,5,1
48231,2016,3,1
48231,2017,4,1
48231,2018,6,1
48231,2019,3,1
48231,2020,3,1
48231,2021,8,2
48231,2022,11,3
48231,2025,8,2
48233,2015,3,1
48233,2016,6,2
48233,2017,3,1
48233,2018,10,2
48233,2019,8,2
48233,2020,11,2
48233,2021,7,2
48233,2022,8,2
48233,2023,12,3
