event_label,county_fips,county_name,start_date,end_date,event_duration_days,peak_mean_hi_f,peak_day_date,peak_day_tmax_f,peak_day_tmean_f,peak_day_rmin_pct,peak_day_threshold_f,tmax_max_f,tmean_mean_f,peak_exceedance_f,cumulative_exceedance_f,n_imputed_days,event_contains_imputed_day,onset_year
48001_2017_005,48001,Anderson,2017-11-03,2017-11-06,4.0,78.59,2017-11-03,86.6,77.5,55.0,75.1,86.58,77.41,3.69,13.89,0,False,2017
48001_2018_001,48001,Anderson,2018-02-19,2018-02-20,2.0,72.1,2018-02-20,77.3,71.6,55.1,68.7,77.3,70.42,3.39,3.49,0,False,2018
48001_2018_002,48001,Anderson,2018-03-24,2018-03-26,3.0,73.87,2018-03-26,81.7,74.1,39.8,73.1,81.72,73.6,0.73,1.47,0,False,2018
48001_2018_003,48001,Anderson,2018-10-04,2018-10-07,4.0,86.6,2018-10-07,89.0,81.5,53.5,80.7,89.74,81.05,5.86,10.78,0,False,2018
48001_2019_001,48001,Anderson,2019-02-04,2019-02-06,3.0,71.5,2019-02-05,76.6,71.4,57.6,65.7,76.55,70.61,5.83,14.26,0,False,2019
48001_2019_002,48001,Anderson,2019-04-30,2019-05-01,2.0,79.55,2019-04-30,84.1,79.0,52.3,78.9,84.74,78.62,0.65,1.11,0,False,2019
48001_2019_003,48001,Anderson,2019-09-28,2019-10-01,4.0,92.4,2019-09-29,93.7,84.6,44.1,87.5,94.14,83.45,4.94,8.42,0,False,2019
48001_2020_001,48001,Anderson,2020-03-12,2020-03-14,3.0,73.96,2020-03-13,81.4,74.1,43.9,72.7,82.13,73.36,1.29,2.01,0,False,2020
48001_2020_002,48001,Anderson,2020-03-18,2020-03-19,2.0,73.9,2020-03-19,78.4,73.7,52.5,72.8,78.38,73.38,1.07,1.41,0,False,2020
48001_2020_003,48001,Anderson,2020-03-26,2020-03-27,2.0,74.64,2020-03-27,86.1,75.0,38.0,73.4,86.14,74.7,1.24,2.32,0,False,2020
48001_2020_004,48001,Anderson,2020-04-07,2020-04-08,2.0,80.51,2020-04-08,88.5,79.9,48.5,74.8,88.52,79.07,5.75,9.98,0,False,2020
48001_2020_005,48001,Anderson,2020-08-30,2020-09-01,3.0,97.15,2020-09-01,96.3,86.9,39.9,94.5,97.92,87.53,2.65,3.78,0,False,2020
48001_2020_006,48001,Anderson,2020-10-18,2020-10-19,2.0,80.43,2020-10-18,87.5,79.6,46.7,78.8,87.5,79.35,1.63,2.87,0,False,2020
48001_2021_001,48001,Anderson,2021-12-15,2021-12-17,3.0,73.64,2021-12-16,79.0,73.5,53.3,66.1,79.03,72.93,7.53,20.16,0,False,2021
48001_2021_002,48001,Anderson,2021-12-24,2021-12-29,6.0,71.72,2021-12-27,77.9,71.9,48.4,65.6,78.12,69.04,6.1,21.75,0,False,2021
48001_2022_001,48001,Anderson,2022-05-08,2022-05-10,3.0,84.37,2022-05-09,90.3,82.1,42.1,80.9,90.32,81.67,3.52,8.7,0,False,2022
48001_2022_002,48001,Anderson,2022-07-11,2022-07-12,2.0,96.98,2022-07-11,103.0,90.1,27.8,96.3,104.54,90.43,0.73,1.08,0,False,2022
48001_2022_003,48001,Anderson,2022-11-08,2022-11-09,2.0,75.27,2022-11-09,83.7,74.9,43.2,73.9,83.7,74.66,1.35,2.16,0,False,2022
48001_2022_004,48001,Anderson,2022-12-06,2022-12-10,5.0,73.81,2022-12-07,79.7,73.6,51.4,68.5,79.7,71.4,5.27,14.38,0,False,2022
48001_2023_001,48001,Anderson,2023-02-21,2023-02-22,2.0,70.15,2023-02-21,82.1,70.6,40.7,68.7,82.08,70.46,1.43,2.77,0,False,2023
48001_2023_002,48001,Anderson,2023-04-03,2023-04-04,2.0,75.8,2023-04-04,84.4,75.6,54.2,74.7,85.42,75.26,1.15,1.15,0,False,2023
48001_2023_003,48001,Anderson,2023-06-19,2023-06-21,3.0,98.17,2023-06-21,95.1,86.4,49.0,93.1,95.99,86.84,5.04,9.6,0,False,2023
48001_2023_004,48001,Anderson,2023-07-10,2023-07-11,2.0,99.72,2023-07-10,97.4,87.4,45.4,96.3,97.43,87.05,3.4,4.29,0,False,2023
48001_2023_005,48001,Anderson,2023-08-09,2023-08-10,2.0,99.01,2023-08-10,105.0,93.4,21.1,97.5,105.04,92.66,1.47,2.29,0,False,2023
48001_2023_006,48001,Anderson,2023-08-21,2023-08-22,2.0,98.05,2023-08-21,105.5,92.5,21.0,96.5,105.53,91.55,1.53,2.81,0,False,2023
48001_2023_007,48001,Anderson,2023-08-24,2023-08-27,4.0,98.83,2023-08-25,107.8,93.9,17.8,95.7,107.78,92.31,3.11,6.33,0,False,2023
48001_2023_008,48001,Anderson,2023-09-07,2023-09-08,2.0,98.14,2023-09-08,106.2,91.8,18.5,91.8,106.16,91.34,6.32,7.63,0,False,2023
48001_2023_009,48001,Anderson,2023-10-27,2023-10-28,2.0,78.05,2023-10-28,81.3,76.9,64.6,76.2,82.22,76.67,1.88,2.7,0,False,2023
48001_2024_001,48001,Anderson,2024-02-26,2024-02-27,2.0,71.75,2024-02-27,79.8,71.0,68.2,69.3,84.11,71.05,2.44,4.58,0,False,2024
48001_2024_002,48001,Anderson,2024-04-17,2024-04-18,2.0,78.52,2024-04-18,85.2,77.7,51.5,76.5,85.24,77.22,2.05,3.09,0,False,2024
48001_2024_003,48001,Anderson,2024-05-24,2024-05-25,2.0,90.6,2024-05-25,90.9,82.7,60.3,86.8,90.92,82.6,3.86,7.66,0,False,2024
48001_2024_004,48001,Anderson,2024-06-25,2024-06-26,2.0,97.1,2024-06-25,95.3,85.9,50.6,93.8,95.27,85.42,3.33,4.22,0,False,2024
48001_2024_005,48001,Anderson,2024-06-28,2024-06-29,2.0,100.83,2024-06-29,96.6,87.6,46.7,94.2,96.62,86.75,6.66,8.76,0,False,2024
48001_2024_006,48001,Anderson,2024-07-01,2024-07-05,5.0,99.42,2024-07-04,97.2,87.0,47.0,95.5,97.79,86.56,4.49,13.53,0,False,2024
48001_2024_007,48001,Anderson,2024-10-26,2024-10-30,5.0,80.21,2024-10-30,86.6,79.6,48.4,76.1,90.8,78.07,4.14,10.16,0,False,2024
48001_2024_008,48001,Anderson,2024-11-03,2024-11-04,2.0,80.31,2024-11-04,84.9,79.1,53.4,74.8,84.92,78.63,5.52,9.19,0,False,2024
48001_2024_009,48001,Anderson,2024-12-15,2024-12-17,3.0,71.3,2024-12-16,78.6,71.2,50.1,66.5,78.56,70.77,4.78,11.65,0,False,2024
48001_2025_001,48001,Anderson,2025-02-03,2025-02-08,6.0,73.63,2025-02-08,86.3,73.6,31.0,66.5,86.3,72.0,7.6,35.27,0,False,2025
48001_2025_002,48001,Anderson,2025-03-29,2025-03-30,2.0,74.35,2025-03-30,82.9,73.6,55.0,73.7,83.78,73.61,0.64,0.94,0,False,2025
48001_2025_003,48001,Anderson,2025-04-02,2025-04-03,2.0,76.7,2025-04-03,84.0,75.8,62.7,74.7,84.02,75.6,2.03,3.31,0,False,2025
48001_2025_004,48001,Anderson,2025-05-16,2025-05-17,2.0,88.29,2025-05-17,90.4,82.3,54.8,84.2,90.44,82.37,4.11,7.65,0,False,2025
48001_2025_005,48001,Anderson,2025-05-23,2025-05-25,3.0,91.16,2025-05-25,92.0,83.7,50.6,87.0,93.26,83.34,4.17,7.32,0,False,2025
48001_2025_006,48001,Anderson,2025-06-07,2025-06-08,2.0,93.75,2025-06-07,92.5,84.6,51.5,90.8,92.6,84.34,2.98,4.48,0,False,2025
48001_2025_007,48001,Anderson,2025-09-22,2025-09-23,2.0,92.37,2025-09-23,97.4,86.5,38.7,89.8,97.4,85.68,2.56,2.63,0,False,2025
48001_2025_008,48001,Anderson,2025-11-15,2025-11-20,6.0,77.05,2025-11-18,85.0,76.6,43.3,70.7,85.7,74.9,6.33,23.17,0,False,2025
48001_2025_009,48001,Anderson,2025-12-23,2025-12-27,5.0,73.15,2025-12-26,82.0,73.4,41.4,65.9,81.98,71.77,7.22,25.78,0,False,2025
48003_2015_001,48003,Andrews,2015-07-19,2015-07-20,2.0,91.54,2015-07-20,102.0,88.5,20.5,88.1,102.92,87.76,3.43,3.54,0,False,2015
48003_2015_002,48003,Andrews,2015-07-27,2015-07-28,2.0,90.55,2015-07-28,102.0,89.0,18.1,88.3,102.02,89.24,2.25,3.94,0,False,2015
48003_2015_003,48003,Andrews,2015-09-18,2015-09-19,2.0,85.48,2015-09-18,98.1,84.0,23.2,83.3,98.06,82.49,2.19,3.46,0,False,2015
48003_2015_004,48003,Andrews,2015-12-11,2015-12-12,2.0,62.8,2015-12-12,78.1,64.0,24.5,56.7,78.98,63.77,6.13,9.93,0,False,2015
48003_2016_001,48003,Andrews,2016-02-19,2016-02-21,3.0,69.5,2016-02-21,84.9,70.0,20.3,62.0,86.0,68.48,7.5,17.5,0,False,2016
48003_2016_002,48003,Andrews,2016-07-12,2016-07-15,4.0,92.65,2016-07-13,107.1,92.0,13.9,88.2,107.06,89.87,4.42,8.53,0,False,2016
48003_2016_003,48003,Andrews,2016-10-16,2016-10-18,3.0,74.58,2016-10-17,93.0,75.5,11.6,73.4,95.0,74.81,1.15,1.79,0,False,2016
48003_2016_004,48003,Andrews,2016-10-30,2016-11-02,4.0,72.52,2016-11-02,88.0,72.5,42.1,68.6,87.98,71.26,3.93,6.08,0,False,2016
48003_2017_001,48003,Andrews,2017-01-10,2017-01-12,3.0,58.46,2017-01-12,79.0,60.5,19.0,55.1,78.98,59.33,3.4,5.07,0,False,2017
48003_2017_002,48003,Andrews,2017-02-11,2017-02-12,2.0,68.85,2017-02-12,90.0,70.0,24.5,60.0,89.96,68.72,8.87,14.62,0,False,2017
48003_2017_003,48003,Andrews,2017-03-20,2017-03-23,4.0,75.47,2017-03-21,93.0,76.6,7.7,68.7,93.02,74.16,6.76,17.46,0,False,2017
48003_2017_004,48003,Andrews,2017-06-30,2017-07-01,2.0,93.82,2017-07-01,106.0,86.0,34.3,90.7,105.98,87.76,3.08,4.11,0,False,2017
48003_2017_005,48003,Andrews,2017-09-15,2017-09-16,2.0,84.62,2017-09-15,102.9,86.0,16.1,83.8,102.92,85.28,0.84,1.02,0,False,2017
48003_2017_006,48003,Andrews,2017-09-21,2017-09-22,2.0,86.03,2017-09-22,98.1,83.6,32.6,83.0,98.06,83.3,3.07,3.32,0,False,2017
48003_2017_007,48003,Andrews,2017-11-05,2017-11-06,2.0,70.24,2017-11-05,88.0,71.5,15.9,68.2,87.98,70.52,2.07,2.54,0,False,2017
48003_2018_001,48003,Andrews,2018-03-25,2018-03-26,2.0,70.78,2018-03-26,82.6,72.3,18.2,69.8,87.08,72.28,1.01,1.86,0,False,2018
48003_2018_002,48003,Andrews,2018-10-03,2018-10-05,3.0,82.98,2018-10-04,93.5,81.3,29.7,78.6,93.47,79.74,4.36,6.01,0,False,2018
48003_2019_001,48003,Andrews,2019-02-02,2019-02-06,5.0,63.4,2019-02-06,75.9,64.5,22.2,57.1,75.92,61.38,6.25,13.12,0,False,2019
48003_2019_002,48003,Andrews,2019-02-14,2019-02-15,2.0,66.19,2019-02-15,79.0,67.0,18.4,61.1,78.98,65.48,5.07,5.33,0,False,2019
48003_2019_003,48003,Andrews,2019-03-28,2019-03-29,2.0,70.83,2019-03-28,86.0,71.5,23.4,70.4,87.08,71.51,0.46,0.74,0,False,2019
48003_2019_004,48003,Andrews,2019-08-07,2019-08-08,2.0,90.5,2019-08-08,100.9,89.0,21.2,88.8,102.02,88.74,1.68,2.1,0,False,2019
48003_2019_005,48003,Andrews,2019-08-18,2019-08-19,2.0,89.49,2019-08-18,104.0,89.5,16.1,88.8,104.0,88.97,0.71,0.82,0,False,2019
48003_2019_006,48003,Andrews,2019-08-25,2019-08-26,2.0,90.1,2019-08-26,111.0,92.0,6.6,87.7,111.02,90.28,2.41,3.47,0,False,2019
48003_2020_001,48003,Andrews,2020-04-27,2020-04-28,2.0,80.32,2020-04-28,98.1,82.0,5.6,77.4,98.06,79.79,2.9,3.01,0,False,2020
48003_2020_002,48003,Andrews,2020-05-01,2020-05-04,4.0,81.0,2020-05-01,100.9,82.9,4.6,78.1,100.94,82.87,2.92,8.53,0,False,2020
48003_2020_003,48003,Andrews,2020-07-09,2020-07-11,3.0,92.91,2020-07-09,107.1,92.0,13.6,89.3,107.06,91.34,3.61,8.83,0,False,2020
48003_2020_004,48003,Andrews,2020-07-13,2020-07-15,3.0,93.05,2020-07-14,109.9,96.0,4.6,88.3,109.94,93.5,4.72,6.12,0,False,2020
48003_2020_005,48003,Andrews,2020-07-29,2020-07-30,2.0,89.34,2020-07-30,102.0,87.0,17.4,88.5,102.02,87.71,0.79,1.02,0,False,2020
48003_2020_006,48003,Andrews,2020-10-10,2020-10-11,2.0,78.49,2020-10-10,97.0,80.0,1.4,76.6,96.98,79.47,1.9,3.3,0,False,2020
48003_2020_007,48003,Andrews,2020-11-08,2020-11-09,2.0,70.61,2020-11-09,84.0,71.0,22.3,66.5,84.02,69.76,4.07,4.55,0,False,2020
48003_2021_001,48003,Andrews,2021-10-08,2021-10-09,2.0,80.43,2021-10-09,97.0,81.5,11.2,77.3,96.98,80.74,3.13,4.86,0,False,2021
48003_2021_002,48003,Andrews,2021-12-02,2021-12-03,2.0,62.0,2021-12-03,80.1,63.5,18.0,58.0,80.06,62.51,3.98,4.58,0,False,2021
48003_2021_003,48003,Andrews,2021-12-09,2021-12-10,2.0,61.51,2021-12-10,71.1,63.0,19.1,57.5,73.04,62.28,4.06,4.89,0,False,2021
