county_fips,year,classified_dates,events_started
48047,2018,4,1
48047,2019,19,6
48047,2020,32,12
48047,2021,40,13
48047,2022,28,9
48047,2023,66,17
48047,2024,22,7
48047,2025,41,9
48049,2015,72,22
48049,2016,63,20
48049,2017,56,19
48049,2018,41,16
48049,2019,45,16
48049,2020,36,12
48049,2021,51,14
48049,2022,45,17
48049,2023,48,17
48049,2024,51,14
48049,2025,55,17
48051,2015,57,20
48051,2016,108,23
48051,2017,95,32
48051,2018,42,15
48051,2019,95,24
48051,2020,46,15
48051,2021,53,17
48051,2022,44,17
48051,2023,59,18
48051,2024,64,21
48051,2025,64,17
48053,2015,50,16
48053,2016,64,14
48053,2017,74,23
48053,2018,34,13
48053,2019,54,19
48053,2020,59,20
48053,2021,55,13
48053,2022,57,19
48053,2023,84,23
48053,2024,87,23
48053,2025,79,22
48055,2015,43,12
48055,2016,64,18
48055,2017,109,36
48055,2018,36,13
48055,2019,71,21
48055,2020,76,27
48055,2021,57,18
48055,2022,86,28
48055,2023,81,21
48055,2024,97,27
48055,2025,108,28
48057,2015,32,10
48057,2016,76,21
48057,2017,74,19
48057,2018,36,11
48057,2019,23,7
48057,2020,77,25
48057,2021,55,15
48057,2022,63,17
48057,2023,155,20
48057,2024,115,27
48057,2025,118,28
48059,2015,49,14
48059,2016,59,14
48059,2017,55,20
48059,2018,35,13
48059,2019,37,13
48059,2020,57,22
48059,2021,47,11
48059,2022,58,20
48059,2023,48,18
48059,2024,68,21
48059,2025,69,22
48061,2015,31,9
48061,2016,106,26
48061,2017,113,30
48061,2018,102,25
48061,2019,87,23
48061,2020,104,29
48061,2021,66,18
48061,2022,92,21
48061,2023,161,18
48061,2024,86,21
48061,2025,94,21
48063,2015,97,24
48063,2016,103,24
48063,2017,62,21
48063,2018,37,11
48063,2019,45,9
48063,2020,46,16
48063,2021,42,12
48063,2022,57,14
48063,2023,76,20
48063,2024,81,23
48063,2025,74,18
48065,2015,60,19
48065,2016,58,16
48065,2017,67,23
48065,2018,61,20
48065,2019,58,20
48065,2020,58,21
48065,2021,53,17
48065,2022,58,21
48065,2023,86,26
48065,2024,88,24
48065,2025,83,24
48067,2015,77,22
48067,2016,94,25
48067,2017,55,18
48067,2018,36,11
48067,2019,54,13
48067,2020,39,14
48067,2021,44,16
48067,2022,78,29
48067,2023,65,22
48067,2024,70,24
48067,2025,59,16
48069,2015,56,19
48069,2016,53,19
48069,2017,50,17
48069,2018,36,15
48069,2019,50,19
48069,2020,43,18
48069,2021,41,14
48069,2022,31,13
48069,2023,43,15
48069,2024,52,21
48069,2025,55,20
48071,2015,43,13
48071,2016,60,15
48071,2017,57,15
48071,2018,49,13
48071,2019,35,12
48071,2020,38,12
48071,2021,33,10
48071,2022,32,11
48071,2023,80,19
48071,2024,65,23
48071,2025,61,14
48073,2015,40,13
48073,2016,73,22
48073,2017,47,15
48073,2018,36,15
48073,2019,37,12
48073,2020,49,15
48073,2021,52,15
48073,2022,58,21
48073,2023,55,18
48073,2024,62,17
48073,2025,53,13
48075,2015,74,21
48075,2016,85,25
48075,2017,58,18
48075,2018,57,20
48075,2019,53,19
48075,2020,73,23
48075,2021,75,23
48075,2022,60,19
48075,2023,70,26
48075,2024,84,21
48075,2025,83,23
48077,2015,45,12
48077,2016,66,18
48077,2017,59,17
48077,2018,38,15
48077,2019,26,9
48077,2020,61,22
48077,2021,44,10
48077,2022,49,18
48077,2023,61,19
48077,2024,64,18
48077,2025,68,18
48079,2015,67,24
48079,2016,56,17
48079,2017,73,24
48079,2018,43,18
48079,2019,58,22
48079,2020,62,25
48079,2021,51,17
48079,2022,49,20
48079,2023,52,20
48079,2024,66,22
48079,2025,64,23
48081,2015,33,11
48081,2016,42,12
48081,2017,52,19
48081,2018,27,12
48081,2019,27,10
48081,2020,36,15
48081,2021,36,9
48081,2022,32,12
48081,2023,36,13
48081,2024,54,18
48081,2025,58,19
48083,2015,54,16
48083,2016,67,14
48083,2017,80,26
48083,2018,56,22
48083,2019,64,21
48083,2020,84,26
48083,2021,59,15
48083,2022,49,15
48083,2023,65,21
48083,2024,69,19
48083,2025,63,18
48085,2015,38,10
