county_fips,year,classified_dates,events_started
48159,2025,2,1
48161,2016,2,1
48161,2019,2,1
48161,2023,3,1
48161,2024,7,3
48163,2015,12,3
48163,2016,13,5
48165,2015,4,1
48165,2019,4,2
48165,2020,5,2
48165,2021,3,1
48165,2023,10,3
48165,2025,2,1
48167,2016,3,1
48167,2017,2,1
48167,2018,5,1
48167,2019,13,4
48167,2020,10,2
48167,2021,12,4
48167,2022,33,5
48167,2023,24,4
48167,2024,16,6
48169,2015,7,2
48169,2016,14,5
48169,2017,6,3
48169,2018,8,4
48169,2019,15,7
48169,2020,5,2
48169,2021,2,1
48169,2022,4,2
48169,2023,20,8
48169,2024,3,1
48169,2025,3,1
48171,2019,8,4
48171,2020,4,1
48171,2022,7,2
48171,2023,16,4
48171,2024,4,2
48173,2015,2,1
48173,2017,2,1
48173,2019,5,2
48173,2020,2,1
48173,2022,2,1
48173,2023,19,5
48173,2024,5,2
48177,2015,4,2
48177,2016,2,1
48177,2017,2,1
48177,2018,3,1
48177,2019,8,3
48177,2020,4,1
48177,2022,10,3
48177,2023,32,7
48177,2024,7,2
48177,2025,6,3
48179,2015,4,2
48179,2019,4,2
48179,2020,4,2
48179,2021,2,1
48179,2022,2,1
48179,2023,7,3
48179,2024,17,6
48179,2025,2,1
48181,2015,10,3
48181,2016,14,5
48181,2017,2,1
48181,2019,4,2
48181,2023,10,3
48181,2024,13,4
48183,2015,2,1
48183,2016,4,1
48183,2018,3,1
48183,2019,18,6
48183,2023,8,4
48183,2024,8,2
48185,2015,2,1
48185,2016,20,6
48185,2017,2,1
48185,2018,2,1
48185,2019,2,1
48185,2020,5,1
48185,2022,4,2
48185,2023,37,9
48185,2024,23,7
48187,2015,5,2
48187,2016,2,1
48187,2017,2,1
48187,2018,2,1
48187,2019,11,3
48187,2020,8,2
48187,2022,19,5
48187,2023,31,5
48187,2024,9,3
48189,2015,7,3
48189,2016,7,2
48189,2018,2,1
48189,2019,5,2
48189,2020,5,2
48189,2021,2,1
48189,2022,12,6
48189,2023,10,4
48189,2024,12,4
48191,2015,6,3
48191,2016,5,2
48191,2017,2,1
48191,2018,4,2
48191,2019,6,2
48191,2020,6,3
48191,2022,8,4
48191,2023,12,5
48191,2024,12,5
48193,2016,6,2
48193,2019,5,2
48193,2022,17,5
48193,2023,39,8
48193,2024,18,5
48193,2025,2,1
48195,2015,4,2
48195,2016,2,1
48195,2017,7,3
48195,2018,2,1
48195,2019,2,1
48195,2020,9,4
48195,2021,9,4
48195,2022,4,2
48195,2023,7,3
48195,2024,10,4
48197,2016,2,1
48197,2022,2,1
48197,2023,9,3
48199,2015,5,2
48199,2016,2,1
48199,2018,6,3
48199,2021,7,2
48199,2022,5,2
48199,2023,43,10
48199,2024,18,7
48199,2025,7,3
48201,2015,7,2
48201,2016,27,7
48201,2017,8,4
48201,2019,7,3
48201,2020,5,1
48201,2021,15,5
48201,2022,13,3
48201,2023,48,10
48201,2024,17,4
48203,2016,4,1
48203,2018,5,2
48203,2020,2,1
48203,2021,2,1
48203,2022,3,1
48203,2023,9,4
48203,2024,5,2
48203,2025,2,1
48205,2015,4,1
48205,2016,10,4
48205,2017,4,2
48205,2018,7,2
48205,2019,18,6
48205,2020,15,4
48205,2021,9,3
48205,2022,10,3
48205,2023,11,4
48205,2024,27,8
48205,2025,7,2
48207,2015,4,2
48207,2016,18,6
48207,2017,3,1
48207,2019,4,2
48207,2022,6,3
48207,2023,7,3
48207,2024,5,2
48209,2017,6,3
48209,2019,2,1
48209,2020,4,1
48209,2022,5,2
48209,2023,18,3
48211,2022,2,1
48211,2023,11,4
48211,2024,5,2
48213,2015,3,1
48213,2016,7,2
48213,2018,3,1
48213,2019,4,2
48213,2020,3,1
48213,2023,4,2
48213,2024,5,2
48215,2015,3,1
48215,2016,19,7
48215,2017,13,6
48215,2018,25,8
48215,2019,45,8
48215,2020,8,1
48215,2022,6,2
48215,2023,61,11
48215,2024,23,7
48215,2025,14,6
48217,2016,7,1
48217,2018,4,2
48217,2019,5,2
48217,2020,4,1
48217,2021,2,1
48217,2022,6,2
48217,2023,52,7
48217,2024,38,8
48219,2022,2,1
48219,2024,3,1
48221,2015,2,1
48221,2016,38,9
48221,2017,2,1
48221,2019,9,4
48221,2020,8,2
48221,2021,11,4
48221,2022,11,3
48221,2023,32,10
48221,2024,9,4
48221,2025,3,1
48223,2016,4,2
48223,2018,2,1
48223,2019,2,1
48223,2020,2,1
48223,2024,4,2
48225,2015,13,5
48225,2016,24,7
48225,2019,2,1
48225,2023,4,2
48225,2024,3,1
48227,2016,7,3
48227,2017,4,2
48227,2018,2,1
48227,2019,4,2
48227,2020,8,3
48227,2022,4,2
48227,2023,25,5
48227,2024,9,4
48229,2015,19,6
48229,2016,7,3
48229,2017,12,5
48229,2018,9,3
48229,2019,7,3
48229,2020,20,8
48229,2021,11,4
48229,2022,9,3
48229,2023,29,9
48229,2024,27,11
48229,2025,13,6
48231,2015,2,1
48231,2016,12,4
48231,2017,2,1
48231,2019,12,4
48231,2020,2,1
48231,2021,2,1
48231,2022,2,1
48231,2023,2,1
48231,2024,10,2
48233,2015,3,1
48233,2016,5,2
48233,2018,9,3
48233,2019,8,3
48233,2020,21,6
48233,2021,5,2
48233,2022,6,2
48233,2023,22,7
48233,2024,27,7
48233,2025,2,1
48235,2015,2,1
48235,2016,9,3
48235,2017,4,2
48235,2018,5,2
48235,2019,11,4
48235,2020,7,2
48235,2022,6,3
48235,2023,21,7
48235,2024,2,1
48235,2025,2,1
48237,2015,2,1
48237,2017,2,1
48237,2019,2,1
48237,2020,2,1
48237,2022,7,3
48237,2023,6,2
48239,2015,5,2
48239,2016,9,2
48239,2017,9,4
48239,2018,6,3
48239,2019,13,5
48239,2020,8,2
48239,2021,6,3
48239,2022,12,4
48239,2023,54,10
48239,2024,17,6
48239,2025,3,1
48241,2015,6,3
48241,2016,10,4
48241,2017,2,1
48241,2019,3,1
48241,2022,4,2
48241,2024,5,2
48243,2015,6,2
48243,2016,8,2
48243,2017,6,3
48243,2018,7,3
48243,2019,13,5
48243,2020,25,8
48243,2021,7,2
48243,2022,8,3
48243,2023,31,8
48243,2024,13,4
48243,2025,2,1
48245,2015,3,1
48245,2016,5,2
48245,2018,3,1
48245,2022,2,1
48245,2023,13,6
48245,2024,23,6
48247,2020,5,1
48247,2023,5,2
48247,2024,5,2
