county_fips,year,classified_assessment_dates
48143,2011,75
48143,2012,36
48143,2013,30
48143,2014,13
48143,2015,18
48143,2016,20
48143,2017,7
48143,2018,49
48143,2019,18
48143,2020,27
48143,2021,1
48143,2022,63
48143,2023,73
48143,2024,31
48143,2025,1
48145,1980,47
48145,1981,2
48145,1982,32
48145,1983,8
48145,1984,14
48145,1985,27
48145,1986,3
48145,1987,8
48145,1988,13
48145,1989,2
48145,1990,9
48145,1993,7
48145,1994,14
48145,1995,10
48145,1996,22
48145,1997,12
48145,1998,61
48145,1999,18
48145,2000,43
48145,2001,20
48145,2002,2
48145,2003,4
48145,2005,4
48145,2006,35
48145,2008,10
48145,2009,56
48145,2010,34
48145,2011,77
48145,2012,31
48145,2013,32
48145,2014,9
48145,2015,18
48145,2016,27
48145,2017,9
48145,2018,32
48145,2019,20
48145,2020,22
48145,2022,62
48145,2023,71
48145,2024,31
48145,2025,3
48147,1979,1
48147,1980,59
48147,1981,3
48147,1983,3
48147,1984,9
48147,1985,31
48147,1986,12
48147,1987,28
48147,1988,4
48147,1990,14
48147,1993,14
48147,1995,9
48147,1996,9
48147,1997,5
48147,1998,41
48147,1999,15
48147,2000,35
48147,2001,26
48147,2003,3
48147,2005,10
48147,2006,39
48147,2007,4
48147,2008,11
48147,2009,12
48147,2010,44
48147,2011,69
48147,2012,27
48147,2013,25
48147,2014,6
48147,2015,26
48147,2016,29
48147,2017,1
48147,2018,20
48147,2019,17
48147,2020,8
48147,2021,7
48147,2022,45
48147,2023,35
48147,2024,47
48147,2025,14
48149,1980,34
48149,1982,24
48149,1984,9
48149,1985,23
48149,1986,16
48149,1987,8
48149,1988,18
48149,1989,8
48149,1990,18
48149,1993,6
48149,1994,10
48149,1995,11
48149,1996,24
48149,1997,10
48149,1998,53
48149,1999,14
48149,2000,19
48149,2001,6
48149,2003,4
48149,2005,13
48149,2006,24
48149,2007,2
48149,2008,12
48149,2009,72
48149,2010,15
48149,2011,57
48149,2012,16
48149,2013,29
48149,2014,34
48149,2015,19
48149,2016,24
48149,2017,21
48149,2018,16
48149,2019,30
48149,2020,37
48149,2021,3
48149,2022,59
48149,2023,78
48149,2024,15
48149,2025,4
48151,1979,6
48151,1980,44
48151,1981,12
48151,1982,4
48151,1983,10
48151,1984,8
48151,1985,7
48151,1986,12
48151,1987,10
48151,1988,5
48151,1989,13
48151,1990,6
48151,1991,2
48151,1993,13
48151,1994,24
48151,1995,10
48151,1996,19
48151,1997,3
48151,1998,53
48151,1999,18
48151,2000,14
48151,2001,22
48151,2002,4
48151,2003,26
48151,2004,3
48151,2006,29
48151,2008,4
48151,2009,15
48151,2010,7
48151,2011,84
48151,2012,35
48151,2013,21
48151,2014,21
48151,2015,23
48151,2016,33
48151,2017,15
48151,2018,46
48151,2019,27
48151,2020,33
48151,2022,43
48151,2023,55
48151,2024,34
48151,2025,3
48153,1979,3
48153,1980,17
48153,1981,12
48153,1982,6
48153,1983,20
48153,1984,3
48153,1985,4
48153,1986,5
48153,1987,6
48153,1988,1
48153,1989,4
48153,1990,21
48153,1991,1
48153,1992,2
48153,1993,15
48153,1994,15
48153,1995,13
48153,1996,21
48153,1997,7
48153,1998,49
48153,1999,24
48153,2000,27
48153,2001,28
48153,2002,6
48153,2003,22
48153,2004,2
48153,2005,3
48153,2006,21
48153,2008,4
48153,2009,13
48153,2010,5
48153,2011,71
48153,2012,18
48153,2013,12
48153,2014,2
48153,2015,3
48153,2016,18
48153,2017,4
48153,2018,13
48153,2019,19
48153,2020,23
48153,2021,6
48153,2022,43
48153,2023,38
48153,2024,32
48153,2025,9
48155,1980,43
48155,1981,20
48155,1982,3
48155,1983,25
48155,1984,9
48155,1985,13
48155,1986,12
48155,1987,2
48155,1988,2
48155,1989,3
48155,1990,11
48155,1991,3
48155,1993,19
48155,1994,12
48155,1995,5
48155,1996,18
48155,1997,2
48155,1998,52
48155,1999,22
48155,2000,37
48155,2001,32
48155,2002,5
48155,2003,22
48155,2005,1
48155,2006,36
48155,2008,9
48155,2009,12
48155,2010,11
48155,2011,82
48155,2012,31
48155,2013,19
48155,2014,7
48155,2015,12
48155,2016,20
48155,2017,8
48155,2018,20
48155,2019,22
48155,2020,28
48155,2021,3
48155,2022,53
48155,2023,53
48155,2024,36
48155,2025,7
48157,1980,33
48157,1981,3
48157,1982,6
48157,1985,5
48157,1986,15
48157,1987,16
48157,1988,11
48157,1989,4
48157,1990,11
48157,1993,16
48157,1994,4
48157,1995,10
48157,1996,7
48157,1997,18
48157,1998,63
48157,1999,30
48157,2000,31
48157,2001,8
48157,2003,4
48157,2004,7
48157,2005,23
48157,2006,3
48157,2007,5
48157,2008,15
48157,2009,49
48157,2010,25
48157,2011,65
48157,2012,21
48157,2013,28
48157,2014,10
48157,2015,20
48157,2016,14
48157,2017,12
48157,2018,24
48157,2019,14
48157,2020,32
48157,2021,15
48157,2022,48
48157,2023,85
48157,2024,42
48157,2025,17
48159,1980,40
48159,1982,5
48159,1983,4
48159,1984,6
48159,1985,6
48159,1986,9
48159,1987,21
48159,1988,8
48159,1990,11
48159,1991,3
48159,1993,21
48159,1995,13
48159,1996,9
48159,1997,8
48159,1998,58
48159,1999,19
48159,2000,32
48159,2001,18
48159,2002,2
48159,2003,17
48159,2004,3
48159,2005,30
48159,2006,43
48159,2007,9
48159,2008,11
48159,2009,8
48159,2010,25
48159,2011,77
48159,2012,29
48159,2013,21
48159,2014,3
48159,2015,27
48159,2016,30
48159,2017,6
48159,2018,34
48159,2019,14
48159,2020,10
48159,2021,7
48159,2022,43
48159,2023,42
48159,2024,10
48159,2025,6
48161,1980,35
48161,1982,20
48161,1984,22
48161,1985,30
48161,1986,14
48161,1987,23
48161,1988,23
48161,1989,14
48161,1990,21
48161,1993,20
48161,1994,3
48161,1995,3
48161,1996,28
48161,1997,4
48161,1998,60
48161,1999,19
48161,2000,35
48161,2001,8
48161,2003,9
48161,2004,2
48161,2005,3
48161,2006,35
48161,2008,9
48161,2009,23
48161,2010,24
48161,2011,75
48161,2012,30
48161,2013,23
48161,2014,5
48161,2015,16
48161,2016,22
48161,2017,5
48161,2018,27
48161,2019,16
48161,2020,17
48161,2022,51
48161,2023,62
48161,2024,22
48161,2025,2
48163,1979,6
48163,1980,44
48163,1981,4
48163,1982,44
48163,1983,19
48163,1985,32
48163,1986,27
48163,1987,5
48163,1989,38
48163,1990,5
48163,1991,7
48163,1992,1
48163,1995,16
48163,1996,30
48163,1997,11
48163,1998,34
48163,2000,6
48163,2001,47
48163,2002,6
48163,2003,2
48163,2005,12
48163,2006,15
48163,2009,4
48163,2010,2
48163,2011,76
48163,2012,36
48163,2013,61
48163,2014,36
48163,2015,31
48163,2016,26
48163,2017,31
48163,2018,39
48163,2019,27
48163,2020,22
48163,2021,2
48163,2022,42
48163,2023,77
48163,2024,50
48163,2025,4
48165,1980,40
48165,1981,12
48165,1982,6
48165,1983,11
48165,1985,8
48165,1986,8
48165,1987,10
48165,1989,11
48165,1990,19
48165,1991,1
