county_fips,year,month,classified_assessment_dates
48017,2011,6,15
48017,2011,7,25
48017,2011,8,28
48017,2011,9,1
48017,2012,6,5
48017,2012,7,5
48017,2012,8,15
48017,2013,6,6
48017,2013,7,3
48017,2013,8,1
48017,2014,6,2
48017,2014,7,6
48017,2014,8,2
48017,2014,9,1
48017,2015,8,4
48017,2016,7,14
48017,2016,8,1
48017,2017,6,6
48017,2018,6,6
48017,2018,7,5
48017,2018,8,2
48017,2019,7,4
48017,2019,8,12
48017,2020,6,6
48017,2020,7,13
48017,2020,8,12
48017,2021,6,7
48017,2021,8,1
48017,2022,6,6
48017,2022,7,18
48017,2022,8,8
48017,2023,6,5
48017,2023,7,16
48017,2023,8,17
48017,2023,9,1
48017,2024,6,8
48017,2024,7,7
48017,2024,8,14
48017,2025,6,3
48017,2025,7,3
48017,2025,8,6
48019,1979,7,3
48019,1980,6,14
48019,1980,7,24
48019,1980,8,3
48019,1981,7,2
48019,1981,8,7
48019,1982,7,3
48019,1982,8,6
48019,1983,7,6
48019,1983,8,2
48019,1983,9,1
48019,1984,6,2
48019,1984,7,4
48019,1984,8,3
48019,1985,8,7
48019,1986,7,5
48019,1986,8,9
48019,1987,7,3
48019,1987,8,12
48019,1988,7,4
48019,1988,8,8
48019,1989,5,2
48019,1989,7,13
48019,1989,8,8
48019,1989,9,6
48019,1990,6,14
48019,1990,7,4
48019,1991,8,6
48019,1992,7,1
48019,1993,7,1
48019,1993,8,1
48019,1994,6,3
48019,1994,7,5
48019,1994,8,4
48019,1995,7,8
48019,1995,8,3
48019,1996,6,3
48019,1996,7,12
48019,1996,8,9
48019,1997,8,7
48019,1998,6,3
48019,1998,7,16
48019,1998,8,1
48019,1999,8,1
48019,2000,7,17
48019,2000,8,13
48019,2000,9,9
48019,2001,6,1
48019,2001,7,21
48019,2001,8,20
48019,2002,8,5
48019,2003,6,1
48019,2003,8,5
48019,2005,7,2
48019,2006,7,1
48019,2006,8,18
48019,2009,6,12
48019,2009,7,9
48019,2009,8,11
48019,2010,8,6
48019,2011,5,4
48019,2011,6,10
48019,2011,7,18
48019,2011,8,27
48019,2012,6,4
48019,2012,8,12
48019,2013,7,3
48019,2013,8,10
48019,2014,8,8
48019,2014,9,2
48019,2015,7,10
48019,2015,8,10
48019,2015,9,6
48019,2016,6,1
48019,2016,7,20
48019,2016,8,12
48019,2017,6,3
48019,2017,7,19
48019,2017,8,13
48019,2017,9,3
48019,2018,6,20
48019,2018,7,16
48019,2018,8,7
48019,2019,7,5
48019,2019,8,28
48019,2019,9,5
48019,2019,10,1
48019,2020,7,19
48019,2020,8,14
48019,2020,9,3
48019,2021,8,1
48019,2021,9,1
48019,2022,5,2
48019,2022,6,17
48019,2022,7,28
48019,2022,8,15
48019,2023,6,17
48019,2023,7,26
48019,2023,8,26
48019,2023,9,9
48019,2024,5,4
48019,2024,6,13
48019,2024,7,10
48019,2024,8,26
48019,2024,9,1
48019,2025,8,15
48021,1980,6,6
48021,1980,7,27
48021,1980,8,7
48021,1981,8,1
48021,1982,7,13
48021,1982,8,18
48021,1983,7,2
48021,1984,6,4
48021,1984,7,3
48021,1984,8,6
48021,1985,8,15
48021,1985,9,3
48021,1986,7,5
48021,1986,8,7
48021,1987,8,1
48021,1988,7,3
48021,1988,8,12
48021,1989,7,2
48021,1990,6,4
48021,1990,7,1
48021,1990,8,9
48021,1990,9,1
48021,1993,8,2
48021,1994,7,5
48021,1995,7,12
48021,1995,9,1
48021,1996,6,3
48021,1996,7,12
48021,1996,8,9
48021,1997,7,1
