county_fips,calendar_month,analysis_year,threshold_value_f,n_reference_values,definition_id,percentile,window_method,threshold_quality_flag
48003,9,2016,81.1255693203352,1110,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,10,2016,72.02933645535,1147,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,11,2016,60.835574824575,1110,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,12,2016,51.63908592540312,1147,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,1,2017,50.5835219284875,1178,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,2,2017,56.511404619775,1074,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,3,2017,63.30101630210244,1178,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,4,2017,71.28769927572499,1140,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,5,2017,79.50592166152225,1178,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,6,2017,86.10829063430498,1140,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,7,2017,86.51725714386396,1178,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,8,2017,86.41854072963777,1178,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,9,2017,80.86469915893336,1140,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,10,2017,72.11694259275001,1178,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,11,2017,60.95496420597913,1140,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,12,2017,51.63872761357656,1178,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,1,2018,50.7369643062,1209,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,2,2018,56.706780713275,1102,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,3,2018,63.42872254710001,1209,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,4,2018,71.36002399505,1170,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,5,2018,79.49538113970202,1209,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,6,2018,86.15217504701516,1170,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,7,2018,86.52686616679067,1209,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,8,2018,86.37438798080612,1209,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,9,2018,81.1544425702936,1170,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,10,2018,72.13774858000001,1209,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,11,2018,61.14936070729778,1170,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,12,2018,51.63892635219167,1209,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,1,2019,50.5814106506625,1240,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,2,2019,56.706131740975,1130,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,3,2019,63.46047900599999,1240,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,4,2019,71.280897558425,1200,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,5,2019,79.64389962545,1240,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,6,2019,86.16532668267924,1200,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,7,2019,86.51518940762254,1240,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,8,2019,86.34386976377108,1240,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,9,2019,81.05159708987684,1200,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48003,10,2019,72.2602758054,1240,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
