county_fips,year,classified_dates,events_started
48211,2022,27,10
48211,2023,61,21
48211,2024,48,18
48211,2025,46,13
48213,2015,41,14
48213,2016,50,15
48213,2017,60,21
48213,2018,17,7
48213,2019,23,7
48213,2020,24,8
48213,2021,30,7
48213,2022,21,7
48213,2023,26,11
48213,2024,58,15
48213,2025,51,14
48215,2015,14,5
48215,2016,67,16
48215,2017,62,22
48215,2018,58,18
48215,2019,63,19
48215,2020,60,20
48215,2021,29,11
48215,2022,45,11
48215,2023,96,18
48215,2024,71,17
48215,2025,80,17
48217,2015,19,6
48217,2016,39,9
48217,2017,43,16
48217,2018,11,5
48217,2019,23,8
48217,2020,30,13
48217,2021,46,12
48217,2022,31,11
48217,2023,64,20
48217,2024,103,26
48217,2025,50,11
48219,2015,36,14
48219,2016,28,12
48219,2017,42,16
48219,2018,22,11
48219,2019,18,8
48219,2020,17,8
48219,2021,24,8
48219,2022,15,7
48219,2023,21,8
48219,2024,23,10
48219,2025,44,17
48221,2015,42,12
48221,2016,80,22
48221,2017,48,18
48221,2018,15,6
48221,2019,29,11
48221,2020,43,17
48221,2021,48,13
48221,2022,30,13
48221,2023,34,12
48221,2024,64,18
48221,2025,45,14
48223,2015,34,12
48223,2016,67,20
48223,2017,35,15
48223,2018,11,5
48223,2019,22,8
48223,2020,39,15
48223,2021,24,6
48223,2022,21,8
48223,2023,36,14
48223,2024,52,16
48223,2025,38,11
48225,2015,58,17
48225,2016,73,17
48225,2017,44,15
48225,2018,29,9
48225,2019,32,11
48225,2020,32,11
48225,2021,31,9
48225,2022,20,7
48225,2023,29,10
48225,2024,53,15
48225,2025,38,8
48227,2015,31,9
48227,2016,47,13
48227,2017,43,13
48227,2018,20,9
48227,2019,13,5
48227,2020,24,10
48227,2021,46,15
48227,2022,12,6
48227,2023,34,11
48227,2024,40,15
48227,2025,41,12
48229,2015,77,25
48229,2016,74,17
48229,2017,96,27
48229,2018,67,22
48229,2019,57,20
48229,2020,54,18
48229,2021,60,21
48229,2022,53,19
48229,2023,102,37
48229,2024,101,28
48229,2025,80,23
48231,2015,49,15
48231,2016,73,20
48231,2017,50,18
48231,2018,36,13
48231,2019,32,12
48231,2020,43,15
48231,2021,37,9
48231,2022,29,11
48231,2023,42,13
48231,2024,59,16
48231,2025,42,13
48233,2015,52,20
48233,2016,71,20
48233,2017,71,23
48233,2018,74,24
48233,2019,60,16
48233,2020,71,21
48233,2021,73,25
48233,2022,45,17
48233,2023,80,22
48233,2024,76,25
48233,2025,55,16
48235,2015,42,15
48235,2016,64,20
48235,2017,61,22
48235,2018,28,12
48235,2019,46,18
48235,2020,40,17
48235,2021,51,14
48235,2022,31,13
48235,2023,51,18
48235,2024,39,11
48235,2025,39,8
48237,2015,41,15
48237,2016,49,18
48237,2017,43,18
48237,2018,26,10
48237,2019,14,6
48237,2020,35,14
48237,2021,30,9
48237,2022,27,12
48237,2023,41,17
48237,2024,47,16
48237,2025,39,12
48239,2015,34,8
48239,2016,58,13
48239,2017,61,19
48239,2018,23,7
48239,2019,24,9
48239,2020,44,16
48239,2021,38,10
48239,2022,63,16
48239,2023,113,19
48239,2024,81,23
48239,2025,74,18
48241,2015,44,13
48241,2016,65,17
48241,2017,68,19
48241,2018,49,17
48241,2019,35,13
48241,2020,33,12
48241,2021,34,10
48241,2022,75,18
48241,2023,115,30
48241,2024,37,15
48241,2025,40,10
48243,2015,59,20
48243,2016,83,20
48243,2017,80,24
48243,2018,65,23
48243,2019,53,19
48243,2020,66,21
48243,2021,57,17
48243,2022,27,10
48243,2023,67,22
48243,2024,58,17
48243,2025,69,19
48245,2015,52,13
48245,2016,57,15
48245,2017,70,19
48245,2018,52,12
48245,2019,38,13
48245,2020,31,10
48245,2021,34,9
48245,2022,30,9
48245,2023,62,18
48245,2024,65,22
48245,2025,54,13
48247,2015,10,3
48247,2016,15,5
48247,2017,24,10
48247,2018,2,1
48247,2019,10,3
48247,2020,7,3
48247,2021,22,6
48247,2022,19,5
48247,2023,64,15
48247,2024,31,9
48247,2025,36,8
48249,2015,19,6
48249,2016,40,11
48249,2017,57,18
48249,2018,23,7
48249,2019,44,16
48249,2020,40,13
48249,2021,41,12
48249,2022,50,14
48249,2023,108,22
48249,2024,61,17
48249,2025,68,17
48251,2015,20,6
48251,2016,38,10
48251,2017,33,11
48251,2018,11,4
48251,2019,11,4
48251,2020,22,10
48251,2021,28,7
48251,2022,20,6
48251,2023,24,9
48251,2024,39,12
48251,2025,39,11
48253,2015,39,13
48253,2016,44,16
48253,2017,54,21
48253,2018,18,8
48253,2019,24,9
48253,2020,35,13
48253,2021,41,11
48253,2022,41,17
48253,2023,52,19
48253,2024,49,19
48253,2025,49,17
48255,2015,16,7
48255,2016,32,9
48255,2017,25,9
48255,2019,11,5
48255,2020,16,6
48255,2021,27,7
48255,2022,21,8
48255,2023,46,14
48255,2024,34,10
48255,2025,51,13
48257,2015,48,14
48257,2016,41,13
48257,2017,39,15
48257,2018,14,5
48257,2019,31,12
48257,2020,35,13
48257,2021,39,9
48257,2022,27,11
48257,2023,27,10
48257,2024,57,17
48257,2025,52,14
48259,2015,28,11
48259,2016,48,15
48259,2017,51,18
48259,2018,14,6
48259,2019,54,17
48259,2020,61,23
48259,2021,60,17
48259,2022,127,26
48259,2023,103,23
48259,2024,82,20
48259,2025,90,23
48261,2015,27,9
48261,2016,78,23
48261,2017,73,23
48261,2018,19,5
48261,2019,18,5
48261,2020,37,11
48261,2021,89,25
48261,2022,101,28
48261,2023,158,25
48261,2024,108,26
48261,2025,133,29
48263,2015,59,19
48263,2016,57,18
48263,2017,85,33
48263,2018,45,20
48263,2019,55,19
48263,2020,73,29
48263,2021,46,18
48263,2022,41,15
48263,2023,49,19
48263,2024,53,21
48263,2025,57,18
48265,2015,24,8
48265,2016,36,9
48265,2017,39,13
48265,2018,12,6
48265,2019,34,14
48265,2020,30,13
48265,2021,27,10
48265,2022,40,13
48265,2023,54,17
48265,2024,58,18
48265,2025,59,15
48267,2015,26,9
48267,2016,52,12
48267,2017,62,18
48267,2018,21,9
48267,2019,45,18
48267,2020,44,14
48267,2021,38,10
48267,2022,24,8
48267,2023,50,14
48267,2024,50,13
48267,2025,48,13
48269,2015,48,17
48269,2016,43,16
48269,2017,49,20
48269,2018,24,11
48269,2019,28,12
48269,2020,36,16
48269,2021,27,10
48269,2022,21,9
48269,2023,33,13
48269,2024,32,12
48269,2025,37,13
48271,2015,8,3
48271,2016,9,4
48271,2017,21,7
48271,2018,6,3
48271,2019,11,5
48271,2020,15,6
48271,2021,21,6
48271,2022,9,4
48271,2023,43,13
48271,2024,25,7
48271,2025,36,8
48273,2015,24,8
48273,2016,41,12
48273,2017,70,24
48273,2018,38,9
48273,2019,39,15
48273,2020,51,15
48273,2021,49,15
48273,2022,63,19
48273,2023,141,17
48273,2024,70,17
48273,2025,56,17
48275,2015,36,13
48275,2016,45,15
48275,2017,42,16
48275,2018,21,9
48275,2019,28,10
48275,2020,45,18
48275,2021,39,12
48275,2022,34,14
48275,2023,36,14
48275,2024,56,18
48275,2025,38,11
48277,2015,32,9
48277,2016,45,13
48277,2017,30,11
48277,2018,14,6
48277,2019,18,5
48277,2020,34,13
48277,2021,40,10
48277,2022,28,11
48277,2023,29,11
48277,2024,63,20
48277,2025,45,12
48279,2015,45,17
48279,2016,37,14
48279,2017,52,20
48279,2018,32,15
48279,2019,47,18
48279,2020,38,16
48279,2021,39,13
48279,2022,26,12
48279,2023,38,15
48279,2024,44,18
48279,2025,56,22
48281,2015,24,8
48281,2016,42,13
48281,2017,37,14
48281,2018,8,4
48281,2019,12,5
48281,2020,25,11
48281,2021,34,8
48281,2022,29,11
48281,2023,39,13
48281,2024,58,18
48281,2025,50,12
48283,2015,30,11
48283,2016,67,19
48283,2017,60,21
48283,2018,10,4
48283,2019,40,12
48283,2020,64,23
48283,2021,69,20
48283,2022,78,26
48283,2023,83,19
48283,2024,57,19
48283,2025,58,17
48285,2015,33,11
48285,2016,54,13
48285,2017,99,31
48285,2018,56,16
48285,2019,71,22
48285,2020,65,21
48285,2021,54,17
48285,2022,88,20
48285,2023,105,28
48285,2024,85,23
48285,2025,93,27
48287,2015,22,7
48287,2016,36,11
48287,2017,42,13
48287,2018,4,2
48287,2019,55,15
48287,2020,44,15
48287,2021,25,7
48287,2022,29,12
48287,2023,41,12
